"commit id","commit date","commit message"
"18fad27587d17b0f965644c12efaa1cc4b4c450b","2012-08-31 09:22:09+01:00","Merge branch 'master' into dev
"
"f22dbd0ba95078212516ff443d2f818155435246","2012-08-31 18:16:16+09:00","use JSONObject to parse GWT response. Faster?
"
"8c155f667001b2feec2986b74a3173d6bdb34b25","2012-08-31 20:42:11+02:00","Translation updates for de, es, fr, ja, nl, ru
"
"7361db6b35c99216c5a15426fa3c1b1f9ad3159a","2012-08-31 20:42:44+02:00","Merge branch 'dev' of https://github.com/AndlyticsProject/andlytics into dev
"
"1fabd9986a7b5aa3a52bf7fc998c7ba4e84831ec","2012-09-01 16:26:11+02:00","Catalan lang update
"
"f6d3245c7d74535b555f7d267af697c851e259fa","2012-09-03 11:03:29+09:00","Merge remote-tracking branch 'upstream/dev' into dev
"
"b8ae6fbb499af01917b2b5c7c66b528bc908375b","2012-09-03 19:35:27+02:00","Italian language update
"
"2d5337aa86f13e21038f5aff97e351bbd0b9b5e7","2012-09-21 14:05:28+02:00","fixed typo
"
"dae9bee98c94cbf275656913be27780685c554b8","2012-10-01 10:38:38+09:00","Merge remote-tracking branch 'upstream/dev' into dev
"
"407e810e84fee0147c6e83a2506acd3e3ba6853f","2012-10-01 14:41:46+09:00","parse and store comment replies
"
"276d3d38bdefc485d7ad17d4aa65663393aa4c77","2012-09-30 22:44:34-07:00","Merge pull request #201 from nelenkov/dev

Parse and store comment replies
"
"b7580a4ba23d7930f3a4ce27446171668a79b93f","2012-10-04 16:18:51+09:00","quick hack to show comment replies
"
"6eb3c0e5d69a64a0bb41b44fc641a6198ea01042","2012-10-04 00:21:09-07:00","Merge pull request #202 from nelenkov/dev

quick hack to show comment replies
"
"d19153d026b38eeef3aa4e72a36ab2560e3af465","2012-10-04 18:05:30+09:00","added back missing string
"
"8fa11810125c4894970f648621e95a9d9cbe3fc7","2012-10-04 18:19:27+09:00","removed 'by' in comments view; added reply date
"
"80a9c2b47b88a3fa6a53f4f5b3a6d1f9107cb2b6","2012-10-04 02:20:33-07:00","Merge pull request #204 from nelenkov/dev

removed 'by' in comments view; added reply date
"
"71bcee8a5c8293e8ad8fad1228e17cbeba2c50bd","2012-10-05 11:03:01+09:00","removed demo leftovers
"
"44d8b3261825cb8f56bd18465b03232ad1dc7158","2012-10-05 11:30:23+09:00","'comments_author' ('by ..') no longer used
"
"2eb3c118b0810babe8a0bb8dac5b3fbd98d48968","2012-10-04 19:32:21-07:00","Merge pull request #205 from nelenkov/dev

Removed demo leftovers and 'comments_author' (by) from resources
"
