"commit id","commit date","commit message"
"c2a20992c5ac5e9d31f1c0cc9c2aeeb4e27f4c23","2010-02-10 10:32:11+01:00","Fixed two typos in German translation.
"
"6017b49abfb16f5b480e61ce426bbb1523816c6e","2010-02-14 16:18:19+01:00","Show a warning before disabling of Google Talk service that it might affect market downlaods.
"
"e35e5e7c49463242862287e575fab34e09334d7e","2010-02-14 16:20:18+01:00","Normalized CHANGES file to only use spaces for indentation, let's keep it that way.
"
"cd0d6fa886b1b137318b99a353aa61e4a36591df","2010-02-14 17:37:06+01:00","Fixed regression: receiver labels were incorrectly read.
"
"ba0923f11d4ed21f2050286d36b166a6ffdbd5f2","2010-02-22 05:23:57+01:00","Yet another attempt to fix the su-hanging issue: We know pipe commands into a su shell, like most other root apps seem to do. Didn't help though, even though we can run most commands fine. The issue indeed seems to be trying to 'pm', which differs in that it's a Java/Dalvik program run via app_process.
"
"10492235e3ba668d049233ac1004463d7b9083ce","2010-02-22 05:47:44+01:00","Even more investigation into the hanging issue.
"
"879378d43cb09129d28357b20271ed9372862614","2010-02-22 14:28:56+01:00","Added another comment essay on another set of failures trying to fix the USB Debugging/hang issue.
"
"794b4c156d33939ebe1382980687e6e832c36581","2010-02-22 14:30:02+01:00","This is very likely fixed now that we use su-piping like every other root app out there.
"
"6334b173997b13541ef7b6674bdebef2d7c723a1","2010-02-22 14:43:24+01:00","Try different paths to su, including /data/bin/su which is currently used on the Archos.
"
"4bfd21443a2f1c42eb6e63095e8d06e8442fd40f","2010-02-22 14:44:40+01:00","Added another note.
"
"0216ac826d296441437b58b13c8a829a7bff468f","2010-02-22 15:03:06+01:00","For the purposes of debugging the Sholes 'pm not found' issue, try three different invocation purposes. This is test code and should not be in a releases build.
"
"219dc812b53d1a2185ad11096ba7e35600fee309","2010-02-22 15:03:34+01:00","Give us some credit.
"
"6622fdfd572db762a04db5cfeaa692be5fa6542a","2010-02-22 15:15:46+01:00","The previous test code was broken, always showed a failure message. We also include one additional syntax now.
"
"e14dced605c386445af9c59ec3731428cb54ef06","2010-02-22 15:15:54+01:00","Added TODO.
"
"2bbd17c2217db0bdee9aa1df99b1dbe862025a3b","2010-02-23 09:50:03+01:00","Users have confirmed that the simply 'pm' command works on the Sholes Mod now when piped into su.

We still leave in the alternatives, but change the logic so that they are only tried until one succeeds.
"
"d6bdde00e33249d63dfb85d5f4f4043f79a2ead9","2010-02-23 09:53:21+01:00","Prepare for new release.
"
