"commit id","commit date","commit message"
"95de8768ef0ff48298035bb32374fed5204558c8","2014-11-13 15:48:02+01:00","Update README.md
"
"e2b4ed427d992539c3b43bbc9df8847ba347f4f7","2014-11-08 13:43:15+01:00","Use material design search icon from appcompat-v7

Conflicts:
CacheCleaner/src/main/res/menu/main_menu.xml
"
"0f7e277e78850957f17c29d6f2aa5e755beab41f","2014-11-15 10:47:01+01:00","Fix action bar icon sizes
"
"1f1ccd781ef26424a81ea5e93b0e7c8ab4917f6b","2014-11-15 12:01:27+01:00","Settings: Fix navigation icon vertical alignment
"
"f7887e1ba65fff88cdc748e01de14621fc06fcf0","2014-11-15 19:24:45+01:00","Merge all features of CacheManager into CleanerService
"
"c3b2b77426e8eaeb6e51103aa3b029543e0f6bc9","2014-11-15 22:32:09+01:00","CleanerActivity: Use a fragment
"
"af60f1c227f05a072be03664823360a7feec1f4a","2014-11-15 22:45:01+01:00","Fix potential null pointer exceptions
"
"437daacca7cef1284b76953aa920b46d2def9718","2014-11-15 22:52:28+01:00","SettingsActivity: Change value of ACTION_SETTINGS_ABOUT
"
"4f564fa45c30e222bde3c9c03c3438f13e1fc4be","2014-11-15 23:22:01+01:00","CleanerFragment: Fix IllegalStateException
"
"8f67f3e8ac2b1cf4367fdff0281fe9373d8fe0ee","2014-11-16 17:23:30+01:00","Cache Cleaner v2.1.0
"
