"commit id","commit date","commit message"
"c27a875f73d140f24b196ea944600a5364194e01","2012-07-25 14:54:40-07:00","Initial commit
"
"3047bcb5ff95eaff62e68fa8bafc9dbbe992a6cf","2012-07-26 06:02:00+08:00","Added specification list.
Signed-off-by: Zhou Chang <achang.zhou@gmail.com>
"
"2e671685ee33364540c2d3e6b0447c4863959987","2012-07-26 06:07:34+08:00","Added format tag in README.md
"
"7010e9f21ad6f3fab44916c85d3ff0561034052b","2012-07-26 11:11:52+08:00","Creating basic framework.
"
"40a50def66780db6a19c11ba7a78d0f4af03ea86","2012-07-26 16:51:24+08:00","Added build-in webserver.
"
"2141eb7eae3d02b06440e3b0cc0b0c3c755a3b5b","2012-07-26 21:43:59+08:00","Added ipaddress support.
Signed-off-by: Zhou Chang <achang.zhou@gmail.com>
"
"198f94a26fd44db5d3e9cf4d5165c3b067374f92","2012-07-26 21:44:25+08:00","Added webserver support files.
Signed-off-by: Zhou Chang <achang.zhou@gmail.com>
"
"464072f963926a952c22553a887132b44f098f7a","2012-07-27 06:45:06+08:00","Network address detecting is OK.
Signed-off-by: Zhou Chang <achang.zhou@gmail.com>
"
"b201d7ecd00e746dbe2c98333014643cf0ec6f4d","2012-07-27 13:41:16+08:00","Added assets file support in WebServer
"
"bcef5f4e6b9f4555a72894be3ad949166b3281af","2012-07-27 15:49:59+08:00","Continue backup for assets support in build-in web server.
"
"79ff711cc4e18cf20f8c0067f994c8095b470409","2012-07-27 16:48:03+08:00","Now web server works with assets.
"
"fb3cd893a71afa96147b6c991280c90ce80f176d","2012-07-28 06:06:53+08:00","Added assets floder and default page support.
Signed-off-by: Zhou Chang <achang.zhou@gmail.com>
"
"220782de2f2a9eb163c689471851a7b28e7b9acc","2012-07-28 09:59:52+08:00","Refine basic framework.
Signed-off-by: Zhou Chang <achang.zhou@gmail.com>
"
"4c88ad119f2d248acef2080a8f2fe14135cd7b3b","2012-07-29 06:49:39+08:00","Framework seem wokr.
"
"30d66f28193f8d5b28fc541025ee441e162ca59a","2012-07-29 06:49:39+08:00","Framework seem works.
"
"e6e0d9d50787c0a7189e8fea79a86ae1216725c5","2012-07-29 07:46:56+08:00","Get support resolution is OK!
"
"dc5b5ad38da4fa48f75e481029148456790e6b4c","2012-07-29 08:04:31+08:00","Fixed hardcode to auto detection.
"
"47afb327022f98936505c289302a936502d4567c","2012-07-29 08:11:29+08:00","Merge branch 'master' of github.com:Teaonly/android-eye

Conflicts:
assets/droideye.js
assets/index.html
"
"2e0c81c574207f25797d4b3f1de8fb3751ce8e7f","2012-07-30 06:32:34+08:00","Prepre for capture streaming.
"
"d9662834b00b2737cee8fd2a08a91347b24748b4","2012-07-30 09:50:33+08:00","Play video capture is OK.
"
"30942d638fa8b01dc5c2c479c4f22e575e96d473","2012-07-30 13:15:06+08:00","Begin video capture is OK.
"
"67825757ced3441b239873e4ddca375e7ae443fc","2012-07-30 14:15:14+08:00","Simplifing client&server protocol.
"
"9afcaaebdfb7d0653cd71e39d4fb3489c20a474f","2012-07-31 07:20:04+08:00","Prapre for a buffer.
"
"697f1aa10ca2ba775ea4d9615340422f8714a1f2","2012-08-02 16:45:13+08:00","Added videoframe object .
"
"e565342f37b7b1ae52ecb1ce73abafb5a4a7609e","2012-08-02 16:47:40+08:00","Format readme.md
"
"00a05bab62675e614b58b7e62d46b2f21fd04edb","2012-08-03 11:24:55+08:00","temp backup.
"
"81444b3367f51f24a6c85e8b236459b7fded7221","2012-08-03 16:20:20+08:00","Update jpeg based button press is ok, but image display is error!
"
"c61442a66eb28a8aa9964ac85d316292cb705997","2012-08-03 21:45:36+08:00","Added display timer support.
Signed-off-by: Zhou Chang <achang.zhou@gmail.com>
"
"442fcfcade9e65e4df1dbc44d55ae5eada394286","2012-08-04 17:01:17+08:00","Added motion jpeg support.
"
"b8aafe50ab994687e119c7f10934109737c90288","2012-08-04 18:49:03+08:00","Added resolution change.
"
"934e444ae861eeb8436f2020b13007ae90184823","2012-08-04 19:41:26+08:00","Prepare for jni support.
"
"eac979edead7831ae97a22efbe46104415f22c11","2012-08-04 19:53:16+08:00","Begin for image detecting in jni
"
"20bbec364cb5c1f44bcccfbf690dbc02c46ea997","2012-08-04 20:14:51+08:00","Update README.md

Edit online is simple
"
"eabff7dec6326adbc5f81284bbd32eac9dd85ede","2012-10-02 07:23:35+08:00","Updaed GUI
Signed-off-by: Zhou Chang <achang.zhou@gmail.com>
"
