"commit id","commit date","commit message"
"e0aa42f49565a90188b94f6d5150d0838557d6a0","2014-11-24 20:07:44+01:00","NEWS: Add changes for recent previous releases.
"
"c76e5fe4c136cdade049cd0d2a75e786ad711558","2014-11-25 09:38:15+01:00","Revert 'Temporarily remove translations.'

This reverts commit 3371f6a05c22d54ef9c6c204b5b93ef67e7d25d8.
"
"ce6fa3ae89188608a8f0eb316d0fb8d8c74395c5","2014-11-25 09:41:06+01:00","Import the updated Italian translation from Transifex.

Many thanks to Toky Rajaobelina.
"
"f61db4c1396be42db27e5cf3e4757efc6d109c96","2014-11-25 09:51:29+01:00","Translations: Use < and > instead of &lt; and &gt;

As in the English values/strings.xml.
"
"e11ecc0fc810987bbc51bc6bc80d639caca05211","2014-11-25 09:55:38+01:00","Italian translation: Escape an ' apostrophe.
"
"fe820fd2bbc8f1565bd44b1d6b5f9f73d6891742","2014-11-25 10:11:13+01:00","READM_transifex_client: Mention how transifex adds bad escaping.
"
"3f4ea9a8ed651c6ae479d65d3bf7d25242c486f9","2014-11-25 10:12:40+01:00","Temporarily remove most translations.

Because, apart from Italian, the only finished app translation
(German) doesn't have a finished decision-tree (website) translation,
and the only finished decision-tree (website) translations
don't have finished app translations.

Hopefully more app translations will be ready soon. Then I can
revert this commit.
"
"f4ede5209785c5469ac14bb274f0b802bcfb2320","2014-11-25 10:15:15+01:00","Remove unnecessary imports.
"
"69c6474d383760b7d346c77e17be72c8e359afac","2014-11-25 13:30:55+01:00","preferences.xml: Use the key strings from preferences_keys.xml

To avoid duplication.
"
"3a2fec8455af8797efcc8e85257bc9324c056c2e","2014-11-26 11:25:07+01:00","ClassifyFragment.showChildFragments: Make show=true mean show.

This was probably the result of a bad refactor. This does not change
the actual behaviour because this changes the call too.
"
"e5962528ffdf0cb3bb9259874a5efc9a3d2aebbb","2014-11-27 13:44:45+01:00","Improve the image opening animation on Android 5.0 (Lollipop).

By using changeBounds as well as changeImageTransform.
However, sometimes (not always) the image is then small when it is
'opened' in the next activity and the image often returns to
the wrong position. This seems worse so I might revert this later.
"
"f4fdd69dcf476be96972017e9e0adc9c9d805440","2014-11-27 16:21:57+01:00","IconsCache: Update the commented-out caching code.
"
"009ddd077968f1a2feac4de196ec814a74017c62","2014-11-28 09:57:05+01:00","ExampleViewerFragment: Use Picasso to load (and cache) images.

This seems to be much faster, even on the first load from the network,
compared to the simple AsyncTask doing a BitmapFactory.decodeStream().
"
"83795dac967bc855cba13ff7cc4ba5b324c0136a","2014-11-28 10:05:28+01:00","About: Mention our use of the Picasso library.
"
"2b8e1c637ccfdea627e9aa147b6200f2d6ee8463","2014-11-28 10:51:48+01:00","ListCursorAdaptor.onBindViewHolder(): Use Picasso instead of custom AsyncTask.

This code seems slightly simpler.
"
"8bd2aa40f487ed57928562bb6c6e8e4e44b3535c","2014-11-28 11:04:26+01:00","SubjectFragment: Use Picasso instead of our custom AsyncTask.
"
"9da94097fdbdae6959304da34a7e40ec8660f4bd","2014-11-28 11:05:17+01:00","Remove unnecessary imports.
"
"edcdb4dbc5e42fb057c627c026cd3215dbf6dd21","2014-11-28 12:52:40+01:00","Fix a typo.
"
"9a0eb83824d9476d0888ba079f283039fcaff9b9","2014-11-28 13:01:52+01:00","ListCursorAdapter: Don't show progress circle while loading from cache.

This might avoid some flickering.
"
