"commit id","commit date","commit message"
"95900a7b26b95e172417f19f617325c5c499b2a8","2011-09-15 23:18:24+01:00","Added some comments to better document the code.
"
"d3684618850e3118c16ee27a11bd529768b8a57a","2011-09-16 17:26:06+01:00","Added ignore rule for *.txt files.
"
"020593b5cc0284e079cfdf98505e35489e48be42","2011-09-16 17:27:22+01:00","Proguard now obsfuscates properly. Preparing release 1.1.2.1.
"
"53ff67315006529deb9da479e2ab4598e5c74c75","2011-09-22 12:35:48+01:00","obd-api is now a pure Java project.

Updates issue #10.
"
"a188f53f16df63d98155e4c3f8b330ec6a057330","2011-09-22 18:05:37+01:00","Removed 'command' stuff into the new 'api' project.

Updates issue #10.
"
"9b0d4d86f8caf0817522b2a215041f22ddbb887f","2011-09-27 00:46:17+01:00","Major refactor to commands.
Updates #10.
"
"09e9d0a3827350b5af73483876e748048aeafe1f","2011-09-27 20:48:53+01:00","Continuation of major refactoring to commands business-logic regarding bugs triggered by unit-testing.
Updates #10.
"
"92934887b90067f56bbabdf7e24bee7e0d49c2d6","2011-09-28 17:01:18+01:00","Continued major refactoring. More unit-tests and bug fixes discovered in the meanwhile.
Updates issue #10.
"
"6f28c8ea94d433d8da92704711c1d4312e01b40d","2011-09-28 17:38:50+01:00","Preparing for release version 1.3.
"
"693eb07aa6c148d84b6574dde3d7d271a7d47df2","2011-09-28 17:40:40+01:00","Implemented method to retrieve each command name. This will be used, for instance, on an user interface.
Updates issue #10.
"
"b69ac96641dd83eda4c03051455bde6690c9384f","2011-09-28 18:37:25+01:00","Refactored pressure, temperature and percentage-usage related commands. Unit-tests followed.
Updates issue #10.
"
"613fb5ce04c876b87f60e3d0b1474a4f6f03fc68","2011-10-06 16:14:54+01:00","Added more connection initialization commands.
Updates issue #10
"
"1aa0cd1b5dd0d54a00efee6d71dafb4f3097a5e6","2011-10-07 01:34:46+01:00","Heavy refactoring ahead!!

- Removed threading stuff.
- Imported new API.
- Added new ObdCommandJob which encapsulates an ObdCommand instance and will be managed in the service.
- Added new simplified ObdGatewayService based on FIFO queue with sequential dispatch of each job.
- Implemented callback from ObdGatewayService to MainActivity.
- Upload to web application is disabled from now on.
- Sending standalone commands is also disabled.

Updates issue #10.
"
"849c444d55fd00ff0743c488c5517a23be8e1f64","2011-10-07 01:43:28+01:00","Maven now signs the APK by default. The keystore needed for this is now versioned too.
Also, added build instructions to README.txt.

Updates issue #10
"
"cbf9b3ee6e7147a24187a1d4d1753c5a387fdf87","2011-10-07 11:31:07+01:00","Added more debug and fixed some comments in order to better understand and debug the app.

Updates issue #10
"
"a9bb48cd9dc6dd31f91697cef8689f4e5656b5a1","2011-10-07 11:32:16+01:00","ObdGatewayService is from now on non-exported to avoid RPC.

Updates issue #10
"
"d866419eeb1066a563a487c87b46c28f1e2d8b9e","2011-10-07 14:50:03+01:00","Updated maven-android-plugin to 3.0.0-alpha-11.
"
"fe6852de16c4412bfa76aae944a72fe8e837f9f5","2011-10-07 14:51:28+01:00","Added user-aware debug.

Updates issue #10
"
