"commit id","commit date","commit message"
"b674d0239664d0fd38ea3a5f473528744e11574e","2014-06-29 18:38:56-04:00","Allow the user to just convert the incompatible algos to the closest match, with a warning that states this may produce different results.  Also now list the algos that were ignored, if the checkbox was not checked.
"
"88102fcdc3742df7589ac0fc6b203df82fc060aa","2014-06-29 21:34:52-04:00","Allow using custom character sets.
"
"af94dca1927c057e41be44856cee8d4d9f7d86ff","2014-06-29 21:40:05-04:00","Only show verification code if number of characters is greater than 8.  This is an intermediate fix until I figure out how to do a timer correctly.  I like the idea that the chrome version does a 600 MS delay as well.
"
"534905f3b989d88ec08bd12483634c9654ddd480","2014-06-29 22:00:21-04:00","Add toast to declared that the password is copied to the clipboard.
"
"04e5d2586752164dce26a367a5d370717a1b3900","2014-06-29 22:19:49-04:00","Save inputs for some length of time, after user requested to save the inputs.  This though stores the user password in plain text, but nothing really that I can do about it, unless android gave me some shared secret that I could use at runtime, otherwise I would either have to hardcode the key used to encrypt, or write a key to disk, which if the user can get the encrypted password on disk, they can get the key on disk too.
"
"195bf13780c1346a0bf79fc6ecb1227225be06b4","2014-06-29 22:58:50-04:00","Allow creation of new folders for the account tree.  Also updated the import/export icon to something thats closer to the correct symbol.
"
"b439496cdb0dad98bf1a5d61a023e99f36863449","2014-06-29 23:13:46-04:00","Slightly better actionbar icons.
"
"e0f4212cc97089ff829286028183708f306cd934","2014-06-29 23:22:41-04:00","Adding a real app icon
"
"886f7cd5322ca1ab2d6a9ef7bfb931158ef68754","2014-07-01 20:37:22-04:00","Issue #5 - Fixed the way we do the Algo selection so that I can support the older MD5 version where it didn't trim the leading characters.
"
"15a35665c6343fd674c0bba4c5bf0e079f4adffb","2014-07-01 20:54:02-04:00","Making the default values for a new account be that of the default account.  Seems reasonable.
"
"82287bf218650e53b1e77f295eaedc5c5e6de5ec","2014-07-01 20:55:41-04:00","Update the message for the conversion warning in the import feature.
"
"c60cda2eefcda6adcd09422c176798dd8ca873d8","2014-07-01 22:48:51-04:00","Adding the ability to store the master password hash.
"
"3996a9caa1915cbce508586725f96240f46ba06b","2014-07-01 23:50:33-04:00","Added a button to generate a regex template to help with pattern creation.
"
"a85e96588dc8b35d8eb3215969299cfe65f4aa7b","2014-07-03 17:45:49-04:00","Adding this as a resource string.
"
"9bcce906ef2208e73a53235454862b2c19e9afa8","2014-07-03 19:15:46-04:00","the classic settings importer.  Though really the profiles doesn't make sense in the account layout, as profiles never had a set url, and only 1 profile can have a url parts and match on them.
"
"b5b4e0e75648986627db29b4dba663bece6d42cf","2014-07-03 19:16:32-04:00","Because this doesn't make sense, lets just delete the code.  I committed this so that it will be in git.
"
"157ad1b08c21c1db3b9039e321c208caccce30b5","2014-07-03 20:45:19-04:00","Allow ability to manually select an account by long clicking on an account.
"
"284d74cdc5577a6a0e494047fade85b3c05ac629","2014-07-03 21:38:10-04:00","Fixing lint warnings
"
"05a298038aff04b21f08675b9277ebd6bef360e1","2014-07-03 22:11:26-04:00","Allow release signing/packaging to work in gradle
"
"84ac5afeeb0b25bd9ac322f5c4cab0485e4c871e","2014-07-03 22:28:47-04:00","Filled in some more of the README.md file on how to build, package, and use.  Still assume some android experience.
"
"f92a0d3899bba47b941bf47d0029f7bf2c19a7dc","2014-07-03 22:29:52-04:00","Fixed headers
"
"d617d01933f8c5980ffcd893bf353ac89741f107","2014-07-03 22:38:57-04:00","adding general user section
"
"fc0d3978ceb2a2b988db0a27095544b35bb6850c","2014-07-03 22:41:14-04:00","One day I will remember which one needs () and which needs []
"
"78fe41ccaf9e81cee2cb513e23188516824a98cf","2014-07-03 22:43:35-04:00","Bumping version to next version
"
