"commit id","commit date","commit message"
"fce0e400374b9e27c0a629771ffd3f0af29033b2","2009-01-10 17:05:17+00:00","Initial directory structure.

git-svn-id: https://android-smspopup.googlecode.com/svn/trunk@1 dacd1dde-df38-11dd-9759-139c9ab14fc6
"
"de6b5e4bacb019c78980084414dcb8da12d86fee","2009-02-11 00:10:29+00:00","Initial import.

git-svn-id: https://android-smspopup.googlecode.com/svn/trunk@11 dacd1dde-df38-11dd-9759-139c9ab14fc6
"
"181a40e0928d8d2a8e70f66f0f247e5f11a5015d","2009-02-11 00:16:28+00:00","Initial upload.

git-svn-id: https://android-smspopup.googlecode.com/svn/trunk@12 dacd1dde-df38-11dd-9759-139c9ab14fc6
"
"72100d43491e3dd9df24ee7fbe9f99805772bf87","2009-02-13 03:04:12+00:00","-added 'Delete' button and functionality to popup including option to toggle the button on and off
-added Spanish i18n/localization strings xml
-separated out English strings xml

git-svn-id: https://android-smspopup.googlecode.com/svn/trunk@16 dacd1dde-df38-11dd-9759-139c9ab14fc6
"
"c7e1aad6e93018c92eb4385c8bcf9b8c354f81d8","2009-02-14 14:50:09+00:00","Fixed MMS force close when subject is not available

git-svn-id: https://android-smspopup.googlecode.com/svn/trunk@17 dacd1dde-df38-11dd-9759-139c9ab14fc6
"
"41c59cddd300e852f1a9ee7e9b26dce385926c37","2009-02-14 17:00:53+00:00","Bug fix for delete message button

git-svn-id: https://android-smspopup.googlecode.com/svn/trunk@20 dacd1dde-df38-11dd-9759-139c9ab14fc6
"
"a19d589af0f19724c8ad70bd5b5469732ca3a943","2009-02-17 05:00:09+00:00","-implemented feature to dim the popup screen (rather than full brightness)
-implemented feature to turn screen on for reminders
-implemented custom LED color selection
-fixed unread count on status bar notification icon
-fixed MMS delete message button

git-svn-id: https://android-smspopup.googlecode.com/svn/trunk@23 dacd1dde-df38-11dd-9759-139c9ab14fc6
"
"26fb2fd66737d48ac3b8d0d24ac9d326eac83cd9","2009-02-20 05:40:44+00:00","-implemented feature to customize LED blink speed
-added Russian localization
-changed WakeLock so it turns screen off immediately after timeout

git-svn-id: https://android-smspopup.googlecode.com/svn/trunk@24 dacd1dde-df38-11dd-9759-139c9ab14fc6
"
"0578fff5d5a396c253a1021386d37772ab8ac02d","2009-02-22 23:11:53+00:00","-cleaned up preferences screen
-changed notifications to update when popup activity finishes after a user interaction (rather than just clearing)

git-svn-id: https://android-smspopup.googlecode.com/svn/trunk@25 dacd1dde-df38-11dd-9759-139c9ab14fc6
"
"8d522236c210228dca6a5afd7c99b7ce6c8efb48","2009-03-11 17:38:04+00:00","-fix for notifications sometimes not firing

git-svn-id: https://android-smspopup.googlecode.com/svn/trunk@29 dacd1dde-df38-11dd-9759-139c9ab14fc6
"
