"commit id","commit date","commit message"
"e1cad3aedade64d7fdfb19a4b6e8dc8adb02aee9","2011-12-02 12:53:20-08:00","Initial commit
"
"2c1f109905ff650b077b07f85a4173b339ed7f6c","2011-12-02 13:05:20-08:00","Added gitignore
"
"aa4df1cf60bee252c8343656e58b82c7508cbed9","2011-12-02 13:05:56-08:00","Created Eclipse project
"
"b121777ef4508bd816110f8737b03ee8a6be9599","2011-12-02 13:22:54-08:00","Add DS_Store to gitignore
"
"80b5eeb678618b7a82a513da5d4cf480e6e1cde4","2011-12-02 13:23:17-08:00","Added test mp3
"
"a92a1757e7b882e0dbb00a7c580bfa3e09255083","2011-12-02 13:29:41-08:00","Added stop/start buttons
"
"348bb37f8e8fcb902c9a2f1dd59fd5c8ee3cae4d","2011-12-02 13:48:18-08:00","Added (messy) Visualizer code
"
"6fa6928b1e07f0004b05a5aed1634b0e43096054","2011-12-02 17:10:51-08:00","Recfactor FFT rendering into separate class
"
"8d8499861a5eb6f238616b11cf5f7da0175efa90","2011-12-02 23:46:31-08:00","Created circle renderer
"
"35d90a74d5f8a7c6705200517fa447bea697de71","2011-12-04 20:00:07-08:00","Added color cycling to CircleRenderer
"
"f6054190efd6bf3b99011c7a39da65817f492d4c","2011-12-04 20:03:07-08:00","Split out MainActivity
"
"650eea7332c1181aba05f39b9b6826ec7ee3dc90","2011-12-04 20:16:20-08:00","Created LineRenderer
"
"464d7441ca821166619e4750e205a06845b0fe67","2011-12-04 20:27:21-08:00","Move renderers to separate package & clean up
"
"40bb6f6c88a747de7c7486f84295c5638aa597c3","2011-12-04 20:54:25-08:00","Refactor link code into VisualizerView
"
"2aa27e6abb2c17daf1e45edba24b9d6bcd4cf0ea","2011-12-04 21:15:36-08:00","Updated README with license
"
"634f5c99f37b0414ecd335a2d77564325577d5c4","2011-12-04 21:46:15-08:00","Added license headers
"
"91dc724c72fc60cc25baed11a9ce6821eeee6350","2011-12-04 21:47:20-08:00","Updated gitignore to ignore Eclipse settings
"
"2c13b2787e7b4eb9a2e406677fdd4230088d96f7","2011-12-04 21:48:07-08:00","Make README markdown
"
"e0c6d6f3ed2a473a6d11594a38db715b60a5ef88","2011-12-05 15:16:11-08:00","Refactor so we pass canvas on render, rather than
in constructor
"
"5ecda63ade42269ca6b4a114db0c81b2c5146659","2011-12-08 21:47:16-08:00","Moved renderer creation & addition out of
VisualizerView
"
"d6e0e8fd21056fabb7a68e79337a9b919d9ccb1f","2011-12-08 22:00:38-08:00","Fixed some Acitvity life-cycle bugs
"
"7ad072cb5e19d4f62b44c2910b193c90b1d1fb23","2011-12-08 22:05:17-08:00","Changed colours for bar renderer
"
"328c7eaea3d25590e6f23c3d4052f97cdd376bb2","2011-12-08 23:06:52-08:00","Added demo video & gifs
"
"de21ddda49cf726af8aba8a645e2d677fb95e3e3","2011-12-08 23:19:22-08:00","Updated README to include demo gifs
"
"d472d6db20e741c71f2f2be8cac2b16af5c96e7a","2011-12-10 12:13:19-08:00","Added CircleBarRenderer & changed All to Clear
"
"4054f8b6e2153b07c5af275372b9609d1019727a","2011-12-10 12:16:01-08:00","Updated README
"
"a0227b318b91451daf3fd8d23fb1a5c44a4e187d","2013-12-05 23:39:13+09:00","Implement Tunnel Player workaround code

Issue: 'Visualization does not work on the new Galaxy devices'
https://github.com/felixpalmer/android-visualizer/issues/5
"
"57e96262c3d8d33a0b2ec26189ea1f06e690f1c3","2014-01-07 01:14:57-08:00","Merge pull request #6 from h6ah4i/feature/tunnel_player_workaround

Implement Tunnel Player workaround code
"
