"commit id","commit date","commit message"
"50d098ce3ac74638f4f3324d66d795f78090676b","2010-03-24 00:58:09-04:00","Read .aar header and meta
"
"f48e06b525fac8c9077c6c5f5a8f47df17a8a38d","2010-03-24 11:18:25-04:00","Add decompress method that tries gzip, then bz2, assumes bytes are uncompressed utf8 if decompression fails
"
"b30412d2bce883ff6918efdb790d2ba442a387da","2010-03-24 23:51:10-04:00","Create static util methods utf8(), uuid()
"
"43ff68d7531b6a242f3fda940cd66d05dbe9994d","2010-03-25 00:14:05-04:00","Refactor reading header, introduce Header class
"
"a78f52298556ecaa621a8cb2e367f0c8291d7952","2010-03-25 00:39:20-04:00","Parse metadata with Gson
"
"ce9077cdaa0c8186b812318c2b73f2dd353cb5ab","2010-03-25 00:52:21-04:00","Calculate index 1 and index 2 offsets
"
"84fe35d4bc35f9ad87bda5301708687fdbc38362","2010-03-27 15:33:26-04:00","Initial implementation of lookup
"
"26dbbef5c220075e35300d5be628be763824187b","2010-03-27 19:36:02-04:00","Initial implementation of lookup in dictionary collection
"
"0315aa00b9822e14d5e847eb7d5dccabc60929e8","2010-03-27 21:30:10-04:00","Split lookup word on '#' into lookup word proper and section
"
"5095a5bc5059f8b84566b94734228b8a70b85dde","2010-03-27 21:38:39-04:00","Make dictionary collection extend ArrayList
"
"ae747b4aa8cdb3473d3738825e1b1b442e6b5f3c","2010-03-28 21:13:40-04:00","Add Android app files and lookup activity stub
"
"2eb53d8fd8fc37be9850a03dfe37209bfd443b24","2010-03-28 22:22:37-04:00","Use org.json (bundled in Android) instead of Gson
"
"c5697d75b92ee355589b5b57089a87d49f502419","2010-03-29 01:44:30-04:00","Initial crude lookup/choose word/view article implementation
"
"a30dc9d5661e9e951d11e4661bcd4282719d1157","2010-03-30 00:51:58-04:00","Better load articles, follow article links
"
"663788bc7dae9c72ef3c6bd60b493b0e8a383072","2010-03-30 01:20:50-04:00","Start activity with Intent.ACTION_VIEW for external links
"
"297629e36f992e9123875584ae61f0ffee2779ca","2010-03-30 10:48:05-04:00","Change order of comparators in Dictionary to match Python version
"
"45add80368aac6ef24bf5f8b6955baabf278d181","2010-03-30 13:53:39-04:00","Implement redirects
"
"8b0e935529cdefaa4c17440fa685d3bad70999f4","2010-03-30 22:07:33-04:00","Implement lookup on key up in background
"
"1addd7752262a36852b2ac4c7bb0e4282bc236cb","2010-04-01 00:49:49-04:00","Don't read article in LookupActivity.

Instead pass dictionary id and article pointer to ArticleViewActivity.
"
"b70fa8f4b8c65ac6a84a37e333338e7db858602b","2010-04-01 01:14:04-04:00","Track history for going back
"
"ac9044cc6c1bbfed1a8453297f32699109f97fe1","2010-04-05 21:59:55-04:00","Close article view activity on long back key press
"
"b1da356f6d085784ce28dcb9e032bac31b43a0bc","2010-04-05 23:45:41-04:00","Return to lookup (finish article view activity) on search request instead of on long back key pressed which doesn't play nicely with regular back action
"
"05d280b7f7c2df57b320c3c07400d1a52a0bf3b9","2010-04-05 23:46:46-04:00","Close dictionaries when LookupActivity is destroyed, discover and open dictionaries in background thread while showing progress dialog
"
"6f1ecfd6c80cc6659bb97731ab492ed95520136f","2010-04-06 00:40:20-04:00","Remove title in ArticlewViewActivity
"
"2164e15e2d4c234308fdadeeaf8c56289c54b8e4","2010-04-06 00:40:51-04:00","Add ArticlewViewActivity menu
"
"75bd1bd55af5a1b437b5e1beb3e4fd2ca0b08104","2010-04-06 01:08:07-04:00","Implement history forward
"
"d5f1c6c82b4550f964b5668e223122a025feafef","2010-04-08 22:25:10-04:00","Implement 'View Online' article action
"
"84c952da9c96abb02aa1377467ca4d4ae323194c","2010-04-08 22:36:32-04:00","Add menu item text
"
"5f7ce144b75a208a250f61b2dbd2d2880c7712d3","2010-04-08 22:40:21-04:00","Make 'Back' menu return to lookup if no more back items in history
"
