"commit id","commit date","commit message"
"e2f42f77b60bdbbd857245eccab4dc5ca7b8c76d","2014-09-29 22:16:29+02:00","Readme for release version
"
"7b8750388184ea554ddb32b27a5ffaba26fcdf1f","2014-09-29 22:19:44+02:00","README - netia tip
"
"b36aefd55a92bd16c73d5071a2772f77e96e998e","2014-09-30 15:17:41+02:00","Update README.md
"
"79635e7649f5e7f3090778307353be451b6d0c33","2014-09-30 17:15:44+02:00","Catch UnknownHostException in connectivity check
"
"bce389cbd45fa0e47db5f405ed39e4d319e766f0","2014-10-10 17:44:04+02:00","added 'BTWIFI' to list of retarded BT SSIDs
"
"020a5e43e76e63429ed4327c7b1c5420b08cf4ec","2014-10-10 17:45:42+02:00","Fix compilation error
"
"b83102afaabe67771a20978c5777f8dd3dc96cc2","2014-10-10 18:01:39+02:00","README - fdroid accepted it
"
"0d0925c02f3ababc4d728f799f2582b64301171a","2014-10-10 18:27:21+02:00","Added Polish translation
"
"693a7cc3bd268ee26132e96a9d4f49af01285028","2014-10-12 12:59:29+02:00","Added Dutch translation.
"
"106fa9d181c41bd30d4549a50b3fc7ae218f608b","2014-10-12 13:07:04+02:00","Merge pull request #1 from Frenzie/master

Added Dutch translation.
"
"becc8d2cb98314d7b6e2a8ecfb01762704ed61c7","2014-10-12 13:12:25+02:00","Improved English.
"
"23f5314f4bafc9837c1ab5a2dc6ad102ada23046","2014-10-12 13:20:43+02:00","Merge pull request #2 from Frenzie/master

Improved English.
"
"0b5ad606593808df15b89b12286e57db466d2ce8","2014-10-14 16:39:04+02:00","Rename gpl.txt to LICENSE
"
"9fff200630a78235419879b651854714b45dbaf9","2014-11-14 14:07:08+01:00","Version bump to 1.4.9
"
"f65eb1250e146a6737e5cd7c3d6ded6a3cd51377","2014-11-14 14:08:17+01:00","Merge branch 'new-bt-hotspots'
"
"85a25966646445bf8cc509b48b807bc0e5f208d5","2014-11-14 14:10:50+01:00","Changelog
"
