"commit id","commit date","commit message"
"7c3f91e15ddb60071a212b695f06e9345b942287","2014-09-08 20:39:13+02:00","fix build

use correct play services (5.0.89)
"
"bd968fe1a647edc56bba0c333a726a15f9cf6bff","2014-09-08 21:37:56+02:00","update screenshots
"
"de6c68470fc532140d381bd5ca6509a76a1c8f30","2014-09-12 17:07:31+02:00","modify tab design

use slightly bigger and darker font
"
"7a04dd03fda7e0d2a0a93c2ebdbddc421982c12e","2014-09-12 17:17:41+02:00","run rm -r --cached on some ignored files
"
"31efaca569d617f7461b8155b67e8105c3f57b78","2014-09-12 17:26:05+02:00","modify .gitignore

add .gradle to .gitignore
cleanup some pathes
"
"922d50ad5da692e86a5c62c010e65d8a79fd9b13","2014-09-12 17:39:24+02:00","modify .gitignore

add */build/
"
"13c02c324fd606f707e628eff3f1311f61951a3b","2014-09-12 17:43:18+02:00","run rm -r --cached on some ignored files
"
"313cc569228b6c1f8341f8be3de15472601e8ce1","2014-09-12 17:52:25+02:00","add some android stuff to .gitignore
"
"1bedf3cca6cf8a1e24ffc51bdd8268907eec87c5","2014-09-12 23:19:24+02:00","use cards for mensa
"
"5b7a9a7cc094f1c2eaccf9a2a69274b0f2f20134","2014-09-13 00:51:13+02:00","improve design

add chip for grade and ects
"
"130c84bc0c3a4102c0e0c64d7aeed4a885e7760a","2014-09-13 11:26:53+02:00","fix exception handling
"
"44b5d6d39432462f6db42242c4002a8bb9a7975f","2014-09-13 11:47:26+02:00","modify name of output file

add version and time to name of apk automatically
"
"c92b2f97eafd3f691935bd4a6fcc9ad4682688f4","2014-09-13 14:32:51+02:00","link events to campus map

link event location to campus map
closes #5
"
"6b8b839d29e588e483e98b74d7b76d39887b4b6f","2014-09-13 14:33:19+02:00","fix build.gradle

remove time from apk-name
"
"9b0b04bccc93f02a9beea1e2c28e108f45d8f148","2014-09-13 15:36:03+02:00","link exams to kusss

open kusss in browser
"
"65e97d174a8f5ce7c7f971a17992922b458dc084","2014-09-13 16:49:07+02:00","custom sticky list headers
"
"c46063138877967149970a89b49709a72788aff6","2014-09-13 17:13:38+02:00","remove appcompat-v7

not necessary anymore because of minsdk 14
"
"70da763ba5d6cec0827a7d5193502d286e0d0cf3","2014-09-13 17:40:46+02:00","remove local libs
"
"e9458f145f445772c15a0f3ad342f2c97e905064","2014-09-13 17:41:30+02:00","Revert 'remove local libs'

This reverts commit 70da763ba5d6cec0827a7d5193502d286e0d0cf3.
"
"b995dd1f40eac64724c27f0ce7b26c6975e5eff6","2014-09-13 17:43:32+02:00","remove local libs
"
"615fdf97d7ae188499aee904c3e546246bfe53c9","2014-09-15 01:51:18+02:00","add stat screen

add new stat screen and move diagrams from lva and grades to
"
"20168aca0f1b606fcca9c8400a2536cfbbe93291","2014-09-15 19:33:25+02:00","grade cleanup
"
"755b147957942c95ab4158fbdb75fb6cdd1498ec","2014-09-15 19:33:36+02:00","lva cleanup
"
"7098d39511f59814216f3435d4913ca042bfbcda","2014-09-15 19:58:00+02:00","add grade to chart
"
"15b954b47d323ff2874b76dd8598b839d5557672","2014-09-15 20:49:14+02:00","update feature graphic

move text to center
"
"675cb21f2e91f1d36c7d26ac6abd3ad460c19fab","2014-09-18 22:05:16+02:00","group menus by day

add option to show menus grouped by day
"
"5c18e8d0cf22ba2edeb3f723e030e4fd27ec7d3f","2014-09-19 13:16:55+02:00","fix npe

fix npe while loading lvas
"
"64c90370bf96f2425803017850c7a81d256aba85","2014-09-19 13:19:57+02:00","Merge pull request #27 from marunjar/dev

pull Dev branch into master
"
"869370c291f5b875293b225692d37c0c8e5a138a","2014-09-20 08:38:34+02:00","fix npe

fix npe while loading exams
"
"3c0f5f182b2cb8ab9c10f7de416b2d726ae336df","2014-09-20 08:46:12+02:00","group menus by day

fix creation of tabs
"
"273e82aed3175f47b89783d01926da006b55d06c","2014-09-20 09:00:00+02:00","push version

push version to 0.20
"
