"commit id","commit date","commit message"
"35c9c140de98087da631bab79753714e43c7b6b2","2015-05-20 23:18:44+02:00","update AboutLibraries
"
"ac7db0bfde8e6ccc1dae65768991cfa5b3f08d1a","2015-05-29 14:16:59+02:00","update libraries
"
"4ca376a439456932973a29594e8ec9c4dc01cb8c","2015-05-29 18:38:29+02:00","use new NavigationView for navigation drawer
"
"eebaf44592a56796ad48a6635a75f96fab43c77e","2015-05-29 20:03:36+02:00","use new TabLayout for tabs
"
"a7eb1fb8cedc3a43c4570732eec2577f1a09b1d7","2015-05-29 20:04:25+02:00","Merge pull request #96 from marunjar/dev

use new design support library
"
"47b6e2b9c61a84bf46fa49d8b271964b892116ab","2015-05-31 14:55:50+02:00","use loader for assessments
"
"5ad28bddabffa3eb49a6851e773bee244376bc23","2015-05-31 15:09:07+02:00","use loader for exams
"
"e26674e8b544a996a62c5a86ef0f2a72b14c1df8","2015-05-31 16:01:42+02:00","use loader for calendar
"
"96fd20caec0beeec4768917f78cf5629b00d00d6","2015-05-31 18:56:26+02:00","change drawer according to material guidlines

move settings and about to end of drawer
prepare for selection of items in drawer (with tint and ripple)
"
"1149d72703e8fa79dda153c215e133f2b2190be0","2015-05-31 19:25:28+02:00","use loader for curricula
"
"93513efd5ea1e0bfb7d15db98527d57364c4bdb2","2015-05-31 19:51:45+02:00","use loader for courses
"
"17ed74d9bd85821961d723c2c5a0dfe07a50cd49","2015-05-31 20:07:11+02:00","use loader for stats
"
"895310e7e0a942ce59b057e284cd1945f0f0cf9d","2015-06-02 09:43:57+02:00","cleanup some code
"
"7ac4676d5e42d7e50909f5747e62f937c3e50e4a","2015-06-02 10:11:50+02:00","cleanup new CalendarView
"
"7644be111ca278b83c9b9c40355e838fa054c899","2015-06-04 11:58:36+02:00","preparation for mensa refactoring

create interfaces
"
"126bd01db8f955e0cc2a9998a0031c4d9134a1d8","2015-06-04 12:07:38+02:00","fix compilation error
"
"0ec0a8c8492d741105e569b743ec41defca3dfe3","2015-06-04 12:19:46+02:00","rename category property
"
"df3912f4b8626969eaf09738b75d81300c1712df","2015-06-04 14:58:09+02:00","add option to show only courses with assessments
"
"3fd940fd9a893b149fa045d6e1125db95f899e38","2015-06-05 10:17:43+02:00","change application id for debug builds

to install and test debug builds parallel with production
"
"9781f33f36cde3620fd2919d3c3e514ae9659b3f","2015-06-05 11:04:06+02:00","use application id for autorities and provider

to install and test debug builds parallel with production builds
now includes also syncadapters
"
"b985a7b6699e98fd93a02c57c20307937e0700e6","2015-06-05 16:08:44+02:00","small improvements

full classnames in AndroidManifest
implement onSaveInstanceState
go to today action in timetable
"
"bbda38c97251051f931664369b816fb3ce6a219b","2015-06-05 18:47:50+02:00","use callables and executor instead of asynctasks

use executor service for running tasks: no more ugly sleep loops for
waiting to finish
"
"99b674b57cef37822029a6642cef3be051978817","2015-06-05 21:28:10+02:00","fix loading

no data on reload if cursor was not on first record
"
"a92f5a4ec9950a2b24d4d2c36bd07d73e3dda8bf","2015-06-06 13:28:10+02:00","update mensa tabs on preference change
"
"72c8172d44819266bc362d453403260ceca65fea","2015-06-06 13:40:47+02:00","move (un-)registration of observer

...to a better place in fragment lifecycle so there is no refresh in
background
"
"00e907ca307d1772e98133d007e6271f2f194f98","2015-06-07 11:54:57+02:00","user standard observer for refresh on changing data
"
"91a43f1f4f8fc8f927979715613bd12f7950e2f4","2015-06-07 14:59:26+02:00","new adapter for creating section header
"
"4480e6a46327486781fa80eb3db6518c7b83441b","2015-06-07 15:21:42+02:00","use GridLayoutManager instead of LinearLayoutManager

so grid would be shown on devices with higher resolution
"
"224e14d21fa766e5973255a66763c71a38239b78","2015-06-07 16:19:30+02:00","layout changes

change padding and margin for less unused space
"
"b0ffc4c8ef69a52b1146ffae17550a5da3ca2ab3","2015-06-07 17:53:54+02:00","layout changes for stats

no need for grid layout any more
"
"a574146099b0085ad0fec0a6662d8f15fb04bda1","2015-06-07 18:50:16+02:00","save and restore fragments properly
"
"e6446281c8d884f9af61130cd0a687070b4c6ee5","2015-06-10 08:26:04+02:00","map optimizations

use sparesArray instead of hashmap
"
"ea75f80dd3748de71ca0f59ffbee036ec248a959","2015-06-10 09:38:20+02:00","fix lint warning

remove unused resources
fix code warning
fix layouts
"
"f4a8d977b9e87ff2db61cc7b27c192d454e54d9f","2015-06-10 14:23:45+02:00","fix lint warnings

visibility
"
"60f4b82f544d4bb4cadeb1b32134f417d9facacd","2015-06-10 14:49:03+02:00","fix lint warnings

java language level migration aids
"
"a6f50b80ee988fa2ed4b5a2075ab1772387e279e","2015-06-10 15:05:44+02:00","fix lint warnings

probable bugs
"
"0b86beb9d43260faab55714024b3c460edf77bd0","2015-06-10 15:15:53+02:00","fix lint warnings

theading issues
"
"cc446e70661880a9c0b5ac6088103052d0b61373","2015-06-10 15:16:09+02:00","fix lint warnings

verbose or redundant code constructs
"
"1fdccf61ada95b2fe9b6e13da318d588bd1e9ce3","2015-06-10 15:38:52+02:00","fix lint warnings

remove unnused ressources
fix drawable density
...
"
"b1f3861d7981a0c50cd9b38edaea0d959db69efe","2015-06-10 23:11:18+02:00","fix colored status bar on lollipop
"
"b801c05f964d54018baaccfc2fd0e5bb847759fe","2015-06-10 23:19:19+02:00","clean up resource files
"
"fa337a908c3ec2c66e918af80882fa52803bbdd2","2015-06-11 11:32:39+02:00","remove unnecessary code
"
"c58adf077880180d1987440a9876e72115fb3872","2015-07-03 16:45:46+02:00","update AboutLibraries
"
