"commit id","commit date","commit message"
"3e95ed35d07b6d35539de45acda98c73c2c4eaf8","2016-04-24 15:47:56+10:00","Initial commit
"
"941a5008d235b9aaf92154982b0ac2628289b4f3","2016-04-24 15:51:17+10:00","settings fix
"
"d9f73b7a912d76629bc738f493228a76b908d460","2016-04-24 17:00:55+10:00","Cant specify dir currently
"
"a87eabd4fc2f8f112c9bcd5220fc5498f1fc1f11","2016-04-25 13:52:43+10:00","Lint and directory
"
"6292f3ad3369eb80db59e331d0151a7033c0ad4f","2016-04-25 14:05:52+10:00","Permissions
"
"bfc66296efdc36df2df61e1dc85a7c7eada0d57e","2016-04-25 14:34:42+10:00","added readme
"
"727b0b802b7f8a98d8998b3a6809e78bb47df554","2016-04-25 14:36:28+10:00","reduce version until we get a logo / icon
"
"ce26d8e19b3685281672a4ad658a99e44efea983","2016-04-25 20:33:58+10:00","Reboot to Recovery option
"
"bf7b07b43b6ac8af3249772205f8839a8a31fab8","2016-04-25 21:15:26+10:00","Lint
"
"5978ae8ba8e8c41ab04cc2a15370d6d93013f07c","2016-04-25 21:15:33+10:00","added GPLv3 License
"
"d9534ee276c9274534ae2d0cab0661db7338b557","2016-04-25 22:31:39+10:00","Check existing files
"
"1d97ea8eedf9d68e3da7b76abb322c1fb5bee271","2016-04-26 12:28:53+10:00","added activity_main
"
"04c718a9ee947e30581cfcd128b62aa36ce59fc0","2016-04-26 20:50:17+10:00","Single service and cleanup
"
"98e69121ad1b2609a0f568e6ee1e15da86f0df4a","2016-04-26 20:54:31+10:00","Import cleanup
"
"c234665384f36e63ff612a0d6affe646bbfc3c3b","2016-04-26 21:05:35+10:00","Merge pull request #1 from daktak/development

Download schedule
"
"7ba76f8fb9a5cb44daf3d687a39c4195b8de538a","2016-04-27 13:32:11+10:00","CustomAdapter
"
"9c80bafd07e4e9e41ea168c639b3cc4148753af6","2016-04-27 14:28:29+10:00","Update for existing files
"
"6c312d1449babc2fdf2e7436a40c4766719c805d","2016-04-27 14:49:30+10:00","update
"
"35c092bdbf70418b5155bb36f0e9b7042af98daf","2016-04-27 15:47:55+10:00","added address
"
"e55b53655db5af494c9d7b7f39b798d221b45471","2016-04-27 18:56:50+10:00","added icon
"
"d6fb87c9c5c3b424450da3754c17e3ae978e6cdb","2016-04-27 19:15:10+10:00","background logo
"
"280560f6191f673ebeda33ef7e4b811184e1e238","2016-04-27 20:13:21+10:00","update README
"
"0b9c106594780be409e1604ebb31c766ad169691","2016-04-27 20:36:59+10:00","updated icons
"
"4624c2f1ef6bfdd51b61e26c46ba644a4403c494","2016-04-27 21:21:06+10:00","boot option
"
"ede9be2b2e242bdce87a66237be10c29e8507b2d","2016-04-27 21:22:56+10:00","Merge pull request #2 from daktak/development

0.1.0 Development
"
