"commit id","commit date","commit message"
"530fa0fdb0e75a7d9ee7847b43760adc63e03adc","2012-10-09 20:54:36+02:00","project structure
"
"894f9ad2391e5f26e3bfd57938142c707f9e8bb3","2012-10-09 21:25:26+02:00","list samples activity
"
"6f57747246ab67452be5f0d6e7a3cc3a2c893a2d","2012-10-10 11:01:39+02:00","basic db handling
"
"1b3b36213daea6a4f05005badedd01cad30352a1","2012-10-10 13:58:57+02:00","basic create sample
"
"9fcf57add62b0627cc302d47b05988178370cdee","2012-10-10 19:49:05+02:00","sample basic CRU(d)
"
"e346de2ca36ecb650c0354d21c359aa301ae969b","2012-10-11 16:52:29+02:00","basic image handling
"
"a92a8cbd6c61dcc0d5b20a82aac76acb7462af9f","2012-10-11 22:36:19+02:00","view sample: better ui
"
"2f9e94f33b8fd178b5125c1ba83ef11c2ebaba6f","2012-10-12 21:30:02+02:00","view sample: asynchronous image loading
"
"c50a75ee515226cac8f0963d365b4d146d5d84a9","2012-10-13 12:08:33+02:00","clean up NewSampleActivity
"
"c84a3b1f7e4f93e1cf24026acb2cc69e48039c48","2012-10-13 14:56:01+02:00","enable replacing the photo
"
"bea5e39839c465bff8b67e69dffa281859726d3f","2012-10-13 15:28:02+02:00","list clean up
"
"d77d02eb5542b7650a762319cb4abea9892242e8","2012-10-13 22:41:03+02:00","image loading (resolved issues #2 and #3)
"
"c4be118c797ea7a44a1b5bb6124c9a12296b3cff","2012-10-14 17:52:39+02:00","moved title (issue #4) and changed image change event to long click.
"
"91fec0ad1dd54fd30fdaa63884ebdb06a2856d96","2012-10-20 21:12:17+02:00","basic add tags with auto-complete
"
"fcc196b18d8cc65756181163b923f3485ec644cd","2012-10-22 13:22:21+02:00","tags editable (missing delete)
"
"fbc41f36a5eec0cb76b458e3c12c0cd492bc85b9","2012-10-26 17:59:08+02:00","tag handling improvement, tags are no longer immediately written to the
db. Problem with running out of line space on tags still persists.
"
"4aa0d8d4f09afedd1902e40912c1e2571d06033a","2012-10-27 23:42:55+02:00","completed tag interaction
"
"dc8b734c4f495858d6d4f97782c1db6ec82236eb","2012-10-28 10:57:52+01:00","New Sample quit warning message, moved tags on top of description,
missing titles sample list placeholder
"
"c084ebb785a6faab9f4a44ed241696c735f8b080","2012-10-28 14:00:25+01:00","picture is not saved bug fixed, tag display adjusted
"
"abc4c9ae364c2e07c0fdb296b7fdeae35b5dc3d6","2012-10-28 15:36:45+01:00","updated launcher icon, fixed tags disappearing on rotate bug
"
"4bbce8d565a4e5ade2487cded8403047686766dc","2012-10-30 10:27:52+01:00","added Beep Activity
"
"b7461a3e0fccbb06da381c5d96f8146ec6f04bbf","2012-10-30 21:25:52+01:00","beep activity with sound, vibration, wake lock
"
"dafc961be062a01313ff04bf5fcae47a5d32d594","2012-10-30 21:52:06+01:00","colored buttons are a bit brighter, fixed bug: beep finished, but
timeout handler still running
"
"9a6e40934ca5d470f391f8d488a469d2bf8396a2","2012-11-01 16:34:11+01:00","added preference screen
"
"2836b59be0a8956547bbd133f2ab1ef16cfe8aff","2012-11-05 22:57:45+01:00","introduced timer profiles
"
"aab4a85a78d09cb97b39d3b9845f00d0dbf4df34","2012-11-06 20:43:41+01:00","main screen redesign, test mode
"
"1652c2254fe39f0cb1b6cf5066bfce78a1cc76ad","2012-11-06 21:54:24+01:00","no rotate for main activity, updated launcher icon, adjusted vibrate
settings, removed wifi preference
"
"f790371fe5bf32f38cb1ff482ce3a19d3c9d9823","2012-11-07 23:09:46+01:00","added data exporter (save data in zip file on sd card)
"
"1e3877429bd756850e712f2be3aa8fe4440a81d8","2012-11-08 10:35:32+01:00","data exporter send by mail
"
"92bad942750eb5234b81c521453b7ed1f91a4576","2012-11-08 14:53:19+01:00","images are saved in lower quality now (issue #6)
"
"d95e713146a3311b08ff3ad9363b2c3c661683e0","2012-11-08 15:22:29+01:00","changed package and app name to beepme
"
"9703ecc000277c270b44ef16bc2dc6b7df61283f","2012-11-08 22:10:34+01:00","GPLed
"
"db4514ef1802cde04ca1ff2882a33b5329d92e7c","2012-11-10 20:55:08+01:00","added timer strategies, feature complete
"
"395da50e430644c53b83c7e6b63d0c53c6b3d323","2012-11-11 12:14:34+01:00","fixed AlarmManager UTC bug
"
"5bb9908c9bf4c9abfb5a916c7b41b8de5ef06d67","2012-11-11 16:28:20+01:00","added About screen (issue #9)
"
"b5d63f8c68c6e109f8cff1d03baef7f16a1ae9ee","2012-11-11 20:39:37+01:00","about screen, bugfixes
"
"cf3f65b36b382192be3bf9645808c82677094c35","2012-11-14 19:13:53+01:00","set vibrate preference to false by default
added beep volume control at home screen
"
"48a7c6643d3e16d8a45193e5965e969877e264f0","2012-11-16 15:33:09+01:00","renamed tags to keywords
removed description
added day section headers in list view
added clean up on startup (notifications, beeper active)
improved wording
"
