"commit id","commit date","commit message"
"19ba2e2a385ce6ad22cd6cc349c21bb5fe55ff37","2013-09-15 12:45:00+02:00","Fix readme on how to obtain bitcoinj for building
"
"81a16dab66f265bcee557e628f87e075ad3bcd11","2013-09-23 14:07:36+02:00","Rebase Base43 implementation on current bitcoinj Base58
"
"40a9e00a724a1bf9516f975b4630ab06bc97098b","2013-09-19 16:30:46+02:00","Fix exception when updating disclaimer fragment at wrong times
"
"b4c713a2098fae4afee67d5b30e08eaba0aa7950","2013-09-29 17:10:01+02:00","Play fancy sound effect on receiving broadcast confirmations when sending coins, replacing the former sound effect
"
"eb761e8de884fb7437609e2ad02715313946f815","2013-09-13 19:30:23+02:00","Extract SendBluetoothRunnable to 'offline' package
"
"2e7930ce4fe94121bc143fe9b51c97926c917f80","2013-09-13 19:42:23+02:00","Move AcceptBluetoothThread to 'offline' package
"
"9ef037499a9be36aa1086cf591436cb926f7b5b8","2013-09-14 19:07:53+02:00","Accept bluetooth transactions in a service
"
"242aa10cd2d8cd396fc5317469c065cbfe87f7e1","2013-09-30 18:08:14+02:00","Hungarian localization
"
"c6a8eacc091bba81f5f0f09f75933505fcc1f74b","2013-09-30 18:16:27+02:00","Update Italian localization
"
"0dd8e9275f735dce4d263d9ff4e44846ca8095bd","2013-10-03 15:29:38+02:00","Point source URLs to GitHub
"
"d8109fa8c76395cbf35af7db69a0620f79419cd0","2013-10-08 08:59:34+02:00","Fix crash when exchange rate is invalid
"
"589dd29aa41949ad53a2209511fc9f095b003aff","2013-10-08 15:28:32+02:00","Update checkpoints
"
"8aed01f0fd83fcf6623e295e5ccf94111452efda","2013-10-18 21:13:36+02:00","Re-re-introduce workaround for 'IllegalStateException: Can not perform this action after onSaveInstanceState'
"
"c8f54d077c9c921e8ed6bce9d8157e1b04b454c4","2013-10-03 15:48:35+02:00","Update to bitcoinj 0.10.2
"
"3875d4b9ed975d6982f3ee58d221f79cc9a07582","2013-10-20 18:01:33+02:00","3.22
"
