"commit id","commit date","commit message"
"d37b9980dd7c754727e76485ea470996fad03a06","2016-02-24 14:15:34+01:00","Initial commit
"
"5db73fc92e72485ae53889d49b1f08ae5c7c545f","2016-02-24 20:07:46+03:00","beta 1
"
"fccb51373ac521e09ffee406d05994490537e6c2","2016-02-24 19:19:57+01:00","Merge pull request #1 from arturd-softgrad/master

beta 1
"
"a15e5bdea80bae5ca8536117887421441e3a75b4","2016-02-24 19:21:30+01:00","removed android from .gitignore
"
"fc12498cf29955ea369fc5e3442f3093d921b412","2016-02-25 15:14:39+01:00","Add information to README
"
"2dc7391e7b3e43d74c8cb07fc6e72cd58af86487","2016-02-25 15:15:22+01:00","Specify LICENSE
"
"799ccc028dd77906127c5569e4c29a0377043a13","2016-02-25 15:19:11+01:00","Update description and author information
"
"453a6a25e3698b91737af48d4b9562ea89260a04","2016-02-25 15:24:27+01:00","Add the Android platform folder
"
"0af8b5625a0f667203d93ff279beb4d1269c0d29","2016-02-25 15:28:55+01:00","Merge pull request #2 from martykan/master

Add the Android plaform folder, updated description and metadata, more information in README
"
"30bdc6f9f8437ec190dc0fb72ec78d7f58d9ad81","2016-02-25 15:39:37+01:00","Update version information
"
"e9c3a40f5afa3622036d892df7cec04b35fa64d1","2016-02-25 15:41:01+01:00","Merge pull request #3 from martykan/master

Update version information
"
