"commit id","commit date","commit message"
"6c8525ee21eecd2d53ca52fec2f70d4bbc8625c3","2014-07-24 15:18:45-07:00","Hosting will connect with all devices, but not do anything with them yet
"
"5ba8cb1e84bc0341ad4bb3aef823659cb5570c4d","2014-07-24 19:24:02-07:00","Established connections between clients and host
"
"74aaf3749cc6eece84f4045f77cc53462f714969","2014-07-24 23:47:31-07:00","Chat functionality actually works
"
"3b208bcfe30ed72d6501523ccc104c09f69350b9","2014-07-25 14:28:31-07:00","Image sending is half working
"
"211c69aa496bc1a1a0be0db9b7eecaab5f226c22","2014-07-25 22:52:31-07:00","Complete UI overhaul
"
"cc2fd6707f6ea6348396750356f18596c60baf82","2014-07-28 23:05:31-07:00","Refactoring + more efficient message sending, still working on images
"
"df42af0bd8032951ae73ba3d0a4947764a7de99e","2014-07-29 18:24:33-07:00","BRAND NEW OPENING SCREEN
"
"d62f5c110f562fc0cc1db9523806d871402d173c","2014-07-29 23:20:16-07:00","UI overhaul + bug fixing
"
"e43e4101cbc502146630cf041a584583c7eed022","2014-07-30 02:57:36-07:00","Made some button backgrounds into selectors + UI bug fixes
"
"6c7f374ccaa26190a58d74901ab54f63809017e8","2014-07-30 20:48:31-07:00","Connectivity fixes, made bluetooth requests simpler
"
"359f8cac818af0098782d04a66b4927a9583b896","2014-07-30 21:53:46-07:00","Temporarily removed send bar fading, added usernames, more bug fixes
"
"4b26031e1966e5e3d1a056920aaca294095b0270","2014-07-31 02:25:26-07:00","Fully refactored project name
"
"e2b32039329dac970a6083dce710bd50662eb08c","2014-07-31 19:32:07-07:00","Implemented image sharing, little buggy, but mostly works
"
"bb8b4ba7c1e98c0dced6a5898da14610d5087a24","2014-08-01 17:14:22-07:00","Halfway through fixing image sending bugs
"
"f500f7aa4b3e75ac237c843f7388d878c6c37827","2014-08-01 18:12:33-07:00","More image bug fixes, outputstream is closed when client sends an image however
"
"dd6ba994ccc50bab0aad510766038e13c1ce205d","2014-08-06 17:42:55-07:00","Code cleanup in ChatManager + made Bluetooth enable without dialog
"
"a30d891e5893142491116b4cb5b8fe3b8dc2f92f","2014-08-06 17:49:34-07:00","Added a README
"
"f8bc5401c574e02f1c00e676e6cf89b73068f0d0","2014-08-06 17:51:57-07:00","Updated README
"
"9fff3e64356f1926b4ff51daa91fc88a9f3667b6","2014-08-06 17:52:44-07:00","Update README.md
"
"f30d73106795cf05a7da3d3fb46e6b22cf370768","2014-08-07 15:29:41-07:00","Handled some disconnect issues and added up navigation
"
"ec628df0652cb5628d8cf3a7bc14b57c94702b35","2014-08-07 15:31:00-07:00","Update README.md
"
"b1fb25c4738a74d61e413336ac5fdf19ff5778de","2014-08-07 23:44:44-07:00","Fixed most disconnect bugs! Clients can now image share without disconnect.
"
"e9cb8bfecb206b1d6e9c6b9decf459d2a407d6f0","2014-08-07 23:45:43-07:00","Merge branch 'master' of https://github.com/AlexKang/bt-chatroom
"
"1df940879147fded8d1e90e5f9b57d4d2e7a3060","2014-08-07 23:47:04-07:00","Update README.md
"
"7161d64aaa3c75087de0d201e3953e5b6a38e44b","2014-08-08 00:14:18-07:00","Speed improvements with sending + minor bug fixes
"
"038e676b6a648d7b57ad31126f98c3815d963ae2","2014-08-08 00:14:50-07:00","Merge branch 'master' of https://github.com/AlexKang/bt-chatroom
"
"007a62efabc5d476c11145005ac3bec81957245e","2014-08-08 01:38:20-07:00","Fixed large image bug and UI fixes
"
"b8919d4e717a49370d34887cc0ee65c305e8ef9c","2014-08-08 12:36:22-07:00","Bug fixes
"
"d5ad374a4130177727a71b7b105adc15de94a2a4","2014-08-08 23:22:07-07:00","Fixed bug where app cannot distinguish between identical names
"
"8f351b98263e341ad90c7c11d93ca4c46880c367","2014-08-08 23:22:43-07:00","Update README.md
"
"3b677821374aeaf8804af5c3feda3b0fbe75c14d","2014-08-11 13:45:36-07:00","Handled some exceptions when uploading images
"
"abab2261918f32c498daea354c9303f3657b19ed","2014-08-11 13:46:54-07:00","Other half of last commit
"
"fc3e98fdca1915d05e0e067cbef7e4e23c5f4b72","2014-08-17 18:43:17-07:00","Update README.md
"
"c5d6fb1acba97975ed01234efa38007ad60ddf85","2014-09-17 18:45:54-07:00","Update README.md
"
"31e81d8b77e6ad48b3d822c1575f39eb4b4230d0","2014-09-17 18:46:10-07:00","Update README.md
"
"9cb8285fbeabef60e9bf7b43f7b33fcab7357286","2014-09-17 18:50:01-07:00","Update README.md
"
"a8c8e8f10c127f5173fea7e0cb48cffbf28651db","2014-09-17 18:57:20-07:00","Update README.md
"
"8b3c0c3b1cdea93de37107e699836e371005bbea","2014-11-06 10:09:01-08:00","Create LICENSE.md
"
"5b638bdb0226f8e74dcb4559f40811d86b808ef0","2015-04-05 21:43:56+05:30","Update Icon, Added Lollipop Style Colored StatusBar
"
"273818d095af70bd524cccd98b02bad51bf93a9c","2015-04-05 22:05:08+05:30","Update README.md
"
"c6ed9a72d0216681aea2fe829d45e985a0b88338","2015-04-05 22:06:21+05:30","Update README.md
"
"928fdb3cde79e4c348abc7432cbcee72cfbbe37f","2015-04-10 01:24:54-07:00","Merge pull request #6 from maysleazy/master

Read description for changes
"
"140800f0494bafc392d1e92926a2a11eda573d7a","2015-06-07 16:10:31+02:00","Added french translation
"
"7ee187e1269aaec0779750c5e60bc8c1867fe774","2016-06-30 17:59:45-07:00","Merge pull request #8 from pierreduchemin/french_translation

Added french translation
"
