"commit id","commit date","commit message"
"7d1755c408b962d33c8034a3beaeaee5cf76d13f","2016-05-02 21:03:19-05:00","Update version
"
"8733f393823152d56e1856eacddaa6e3a5095fba","2016-05-02 21:06:19-05:00","Consider '-' a valid number in the number pad dialog fragment
"
"1bdafd37f0e264eeaeb91aa714594420dfb1eada","2016-05-02 21:06:33-05:00","Only log exceptions at the error level
"
"a6a27fbd3e987dfc9458e516eb1537da750e791d","2016-05-02 21:12:47-05:00","Avoid NPE trying to get an auth token
"
"a5b9a20f31f8e80e86bcbd8bb724d1b690099a5f","2016-05-02 21:14:29-05:00","Supply more dependable defaults in PaletteUtils
"
"61d004f7e8dfb66d07a0a2f4b28a4aff8bfc759f","2016-05-02 21:22:56-05:00","Improve formatting of the date header when sorting plays by date.
"
"c598a33f57653c74d319ce041f97dd9e2a847bb9","2016-05-12 08:22:42-05:00","Reverse null check when attempting to get the password for a retrofit builder
"
"89651eeea0b5d00b8c3784fb4cef576408f74241","2016-05-19 08:10:01-05:00","Ensure the plays fragment is added before (un)checking items
"
"e771024d168ad932b26b604b4a22a8300c2d257a","2016-06-01 22:16:52-05:00","Log headers when not in DEBUG mode to work around RetrofitError during collection upload
"
"e98e400279db10296231b51df605faba2e193fec","2016-06-01 22:19:23-05:00","Merge branch 'hotfix/5.2.7'
"
