"commit id","commit date","commit message"
"7f446d97c43f067b11c40c183b3504cb96e0639d","2013-12-13 08:14:55-07:00","Move to using GitHub's issue tracker for everything.
"
"98330c7bd56d4d1e94bd192bb0cc087b56dedc96","2013-12-13 09:00:33-07:00","Allow transactions to be scheduled in the past.

https://github.com/notriddle/budget-envelopes/issues/22
"
"6d17e6f23684dcfcc845bf52dc1b1606030eec8c","2013-12-13 22:21:19-07:00","Starting-point prototype for swipe deletion.
"
"e12db3d155407629e9132555b1bd1dedacfce5d9","2013-12-16 11:31:36-07:00","Get it to a point where it's actually usable.
"
"b7b0f59f0964e9fbb5ec6913566fddfd49f59818","2013-12-16 12:04:22-07:00","Use swipe-to-delete for the paycheck activity's docs.
"
"3518b5159e63524c3f4443c039427a504de36c37","2013-12-16 12:16:00-07:00","Bug fix: deleting multiple items in one go.
"
"130980d891a63e1350df79f529f15fb1146a8bb5","2013-12-16 12:17:18-07:00","Increment version number for beta test.
"
"9f42e0f62e7c90b6a2322e680c04e8dac336c026","2013-12-16 13:59:47-07:00","Workaround for some weird rendering bugs in Android.
"
"9bf5c46f9eb6b5f2803f17fb9314ec21e63729b5","2013-12-16 14:13:16-07:00","Make long-click deleting work again.
"
"4d56e354d4df743f8f437d0ed350817e06a7003b","2013-12-16 14:37:40-07:00","Make the delayed touch work right.
"
"4db762ba03b7bb5f424706dcd9a3a30a80b182a8","2013-12-16 14:39:15-07:00","Increment version number again.
"
"345cbeeb9223085a34def5390819958211503ec1","2013-12-16 17:23:23-07:00","Improve the click feedback.
"
"f421f03f20850ceef1f182a093f2255649802513","2013-12-16 17:23:36-07:00","Add an option to show all the transactions.
"
"5c2dce66fdcc4bbcdb1ca606c7618768b862f3f2","2013-12-18 08:04:33-07:00","I forgot to add these to the commit. I feel dumb.
"
"f7cb5e0552a8158f578e01e4124482b7503326bc","2013-12-18 08:08:03-07:00","Bug fix: long-press deleting registered a tap.
"
"2642434713da0ee04e016f764141173c2af8aeb3","2013-12-18 08:14:46-07:00","Performance improvement recommended by lint.
"
"2f5b78d6f6e388aa12254fc51f42002007ea0d39","2013-12-18 09:39:49-07:00","Finally fixed the notification icons.

I <3 math class and Dr. Isom.
"
"78ec05642792e71d20aad1c62fc5bb7fbf22006d","2013-12-18 10:19:27-07:00","Accessibility: add a contentDescription to widget logo.
"
"06b4cf9f4f70682221a907febe8c52b1e08d2d90","2013-12-18 10:20:10-07:00","Again, mostly for lint's sake, though it helps documentation, too.
"
"8b6541313e280a7d8f5b72a670dbe69a32b28a54","2013-12-18 10:21:22-07:00","Fix up the dialog custom title. Right size on tablets, and remove the redundant layout.
"
"7b2c7f49fa9f69e36d97a13f9bc3b6b648216a47","2013-12-18 10:28:53-07:00","Remove unused strings.
"
"703f8d0333de19d9d2aead47db9da9816b8c83f9","2013-12-23 11:02:14-07:00","Updated translations were emailed to me when I held aloft my magic sword and said: 'Please update the translations!'
"
"e87e362a5a34ca6a2604b691907b4363f5c668f6","2013-12-23 11:03:35-07:00","Improve the all transactions screen; show everything that's going on.
"
"4d207e4ffd563eb2be4d4a01de20928ac0edf5b2","2013-12-23 11:13:34-07:00","Bug fix: retroactive transactions work right now.
"
"af59453f8179aa365d372ebd3c99aeb3b6db76a9","2013-12-24 10:54:45-07:00","Clicking on items in 'All transactions.'
"
"ca4627e073bfadf6a2295e59e11517890af14686","2013-12-28 11:03:53-07:00","Update Russian translation (Google translate).
"
"89fc1296520e44dec33f21b989c4b6601f3cd462","2013-12-28 11:05:27-07:00","Increment version number.
"
