"commit id","commit date","commit message"
"e787fb50b6e78aeb3ada1155dfb61e6c0c78b04b","2010-11-30 16:40:59+00:00","Initial directory structure.
"
"f53aa28f984cf8c97ccddc9c92e6fb816c36f058","2011-01-06 10:27:12+00:00","Share project 'iCalImportExport' into 'https://ical-import-export.googlecode.com/svn'
"
"1becd37615f199a5c9fea41f1bbcd7449d06df0c","2011-01-06 10:28:08+00:00","initial projekt import.
"
"1e93ca880b60c6e55e086842a7121a41b2a5cdbe","2011-01-06 10:37:24+00:00","Share project 'AndroidTools' into 'https://ical-import-export.googlecode.com/svn'
"
"7495e68b00efe5dd3b55e13c0e1a2269ff982cbd","2011-01-06 10:37:39+00:00","initial projekt import.
"
"ac3bab5fcdfbf22b87b2f83ac1e0ae98f0f095e5","2011-01-06 17:46:10+00:00","1.5
"
"6ca7533a56bd16341275ee7cc82d9e0a9b05d69a","2011-01-10 14:39:41+00:00","manual alarm insertion via reminder table.
"
"cf8a96376f18a332c0b58451370ec541c8ad5153","2013-04-18 19:01:23+02:00","remove project in assets. Why was it there?
"
"227c78d7192df30c21511bc5d755ee32c5ad5757","2013-04-18 19:03:27+02:00","Integrate AndroidTools into main project
"
"e14be8ebcf45f3cc0d9f9d0f451eace71e03a820","2013-04-18 19:04:15+02:00","rename lib directory to android convention libs
"
"f90cea915f73bb8902877211e7058cd0d641ef30","2013-04-18 19:04:39+02:00","Readd classes from tools project
"
"a6d698bc9bf7b3a8d1465fffd37e7f5b159e7730","2013-04-18 19:05:09+02:00","Add gitignore
"
"73123c6d9a5434e498727d474d01173a9a8c561e","2013-04-18 19:05:26+02:00","Add project.properties
"
"41d8fb29a0718315e997e1d83d0ea9d4e0d42a2d","2013-04-18 19:08:05+02:00","remove .classpath and .project
"
"c5be003e829861d0f252ca56493f57ab1dbf2676","2013-04-18 19:08:45+02:00","Target newest sdk and fix AndroidManifest
"
"ba3b281b5e98679fad58f49f81f6f0ce8ad9796f","2013-04-18 19:14:44+02:00","target min sdk 8, start removing sdk 7 stuff
"
"fbfe783b3f69ddab31a170d2cc7c1a64caa03acb","2013-04-18 19:15:41+02:00","Add compatibility CalendarContract class
"
"c03975ad9588670309565c46b3781df0535b41ce","2013-04-18 19:16:50+02:00","target sdk 17
"
"b91745b9dc5bcebbe70fbf831357a79c2589dfe3","2013-04-18 19:25:41+02:00","Fix most constants in GoogleCalendar.java
"
"00c175bef081b22694d52a6f1e07d08f826e8a30","2013-04-18 19:26:47+02:00","remove eclipse settings dir
"
"0551541bd9248fc75dfe0fe95b7640cf0d29aa01","2013-04-18 19:29:31+02:00","Move other files into Resource folder
"
"166806caa96a7fb41b8758fa5b6771f867104fc8","2013-04-18 19:32:53+02:00","Update ical4j libs
"
"5b6e1b0134eb7e46a097ccf91490176b228e5d77","2013-04-20 17:41:55+02:00","remove unused constants, remove hidden const (not needed)
"
"4df9a6c50bf8ca6e77d9a4caeb614e02b3b9dd55","2013-04-20 17:47:22+02:00","remove quit and beer menu item
"
"05e920a21505d105178056d707119835574b89c8","2013-04-20 17:49:01+02:00","Reformat code from tab to 4 spaces, following Android Style, http://source.android.com/source/code-style.html
"
"7c688a386dca2f2dc4b0c6b01999e76a17aef966","2013-04-20 17:58:32+02:00","remove posibility to create local calendar, this is achieved better with Local Calendar app
"
"e93d1c353e9e7b8259f4a6bfd2b9911d7a686901","2013-04-20 18:14:08+02:00","Fixes
"
"fbdd435e86a00a070b0e2dd9ff2e2c9daa1bfe33","2013-04-20 18:25:38+02:00","Fix design of question dialog by using AlertDialog.Builder instead of own layout
"
"25014ffe3f1afc604cc311c4af7ef29409cc0be6","2013-04-20 19:58:23+02:00","Redesign main layout
"
"e41f752ce80be5b146f5337f8a97307804d919af","2013-04-20 20:01:27+02:00","More redesign
"
"ac3a5050df23f3963091f20e84037d67f5d48d18","2013-04-20 20:08:26+02:00","Add support lib
"
"09bdc81db260818c77c83f467ce42e0c27165d19","2013-04-20 20:16:02+02:00","Fix dialog when no calendar is present
"
"c9a287fcc32fd1df58e6ed05a5ae84b3c686863e","2013-04-20 20:20:12+02:00","rename project to prevent conflicting with original project
"
"9ca88b4c23015825ade28e2e29e4122b14be36f6","2013-04-20 20:21:42+02:00","Do not show changelog on first start
"
"b3bc909b37429c20bf2d010f82cc6d39f3c255ab","2013-04-20 20:27:05+02:00","Add license headers
"
"8099e6437a1e3601291619249167147d9c5e3059","2013-04-20 20:31:15+02:00","Add readme and license
"
"8055db57bfd356a853be3de874a81ffd10f167e7","2013-04-20 20:32:32+02:00","Fix readme
"
"783eaead9926c1db3e3156bc38bdb14e0f466413","2013-04-20 20:35:54+02:00","Fix layout
"
"876ea7f1ba0f4b6837a077b500ad8942a315af44","2013-04-20 20:59:18+02:00","Updates to licenses, help, changelog
"
"436c4dd29695ba0313ef91cdcf927d79811df10e","2013-08-10 14:45:44+02:00","Rename COPYING to LICENSE, remove leftover class
"
"643b7047d3905d12f827b14fded1631fd1da5018","2013-08-10 19:50:28+02:00","restructuring, many bug fixes, including timezone
"
