"commit id","commit date","commit message"
"0a3a73fc71e7eecaa6f903c0ab5ef989de256903","2012-05-19 17:46:44+02:00","Fixed typo in german translation.
"
"10d9ed068862a4e8055950454203818ddcf92a78","2012-05-19 17:49:23+02:00","#4 Text in widget does not display red underlinings.
"
"f7c8b9315f626636cba5bd8d7c9336bfa89114f9","2012-05-20 16:59:59+02:00","#8 Added preference pages with option to select the active calendars.
"
"e9ce98764cdb9191697b829eeac8a95bf7ea2dff","2012-05-20 17:55:22+02:00","#10 Allowing to hide the date and settings header.
"
"ef85c5a5be2c4c0e571e40f9004ab4f3f93dae4a","2012-05-20 18:05:46+02:00","#8 Fixed bug for default selection of calendars.
"
"0c6977f5a40d470f2921c298b2eeea3e6accc065","2012-05-28 08:54:34+02:00","Updated german translations.
"
"ce84af385da52630bf27569ade8831b3427d91c3","2012-05-28 11:28:40+02:00","#3 Added ability to control the text/layout size from the prefs.
"
"a8c4db606680efeaf1b16274553dac815acfcba7","2012-05-28 11:33:02+02:00","Updated german i18n and removed i18n for spanish and french.
"
"4814ef3898ff7eb810629b4063a32b02e23022c8","2012-05-28 11:33:52+02:00","Update application version to 1.1 and code to 2.
"
"2af5b03ffec286ff15f173d463d573b03bd8a840","2012-05-28 11:49:49+02:00","#1 Allowed to shrink widget below initial size.
"
