"commit id","commit date","commit message"
"51849ae3125cdce205cbe427f0c8d74792e39251","2014-08-08 10:52:55+04:00","Widget configuration activity is available from Launcher
"
"69d70c208f01c1dc3deaaef1f513d967bb5025ca","2014-08-09 15:00:02+02:00","Merge pull request #128 from yvolk/push93

Fix #93. Adds ability to access settings from launcher.
"
"d32fe8db472672effaf95e29e6307938721973a3","2014-08-09 15:10:27+02:00","Updates build.gradle file to latest gradle plugin and build tools version.
"
"5d6c0d85af4308abdebcfb3b6de3110a4fcda3d8","2014-08-09 15:46:14+02:00","Adds finish and traditional chinese (taiwan) translations.
"
"d97b87c4208a187c38cf93196e798c5c18ee620a","2014-08-09 15:46:55+02:00","Updates translations for hebrew and spanish.
"
"ae6ab9a2933cc1b952f0b572e35ca74bd56a875a","2014-09-12 20:35:01+02:00","Add travis support.
"
"6b8a008d2676e068e008175515638068e5a5b3c6","2014-09-12 20:37:37+02:00","Rename travis.yml to .travis.yml.
"
"f505a91a02412a3a338e94d4f16c2ea1bcfaa437","2014-09-12 20:40:58+02:00","Update .travis.yml to move to app directory before performing any gradle commands
"
"b357101896d28310ab39c861069920b230fa18cb","2014-09-12 20:52:36+02:00","Make gradle file executable in .travis.yml.
"
"26cf40047ff1cc01295912ab180fd94dfb3cc536","2014-09-12 20:58:49+02:00","Add travis-ci badge
"
"65d870e8ee4872b8a26ccdebe8853c6a72b8f823","2014-09-14 11:47:02+02:00","Add code formatter for intellij
"
"96c1c061e227482f232b769728ea6abcdf66d6d2","2015-01-18 11:28:00+01:00","Update gradle wrapper, android gradle plugin and build tools version
"
"7cc63537fb24f95a62b88aae911dea7eb73e4839","2015-01-18 11:39:25+01:00","Close #161. Use material design theme on preferences ui
"
"802d2095eb6724887c1999ccae018fc023f4fbf0","2015-01-18 11:39:56+01:00","#161 Adding missing theme files for previous commit
"
"d4ede4a89061e8ca1490bc0e792f89a35d7a57f2","2015-01-18 11:49:24+01:00","Close #129. Enhance user flow by not showing config activity when adding widget
"
"ea3df07f4441d6b22b8c4a2d287428a183a487a7","2015-01-18 12:04:57+01:00","Add support for new languages swedish, ukraine and vietnamese

Also update translations in ja, hu, zh-rTW and zh-rCN.
"
"7da276f6bc50946c47af7221a9d37c0dd4a9e498","2015-01-18 13:14:55+01:00","#161 Changes material theme design of preferences to use Material.Light.DarkActionBar
"
"c310023bf1dbaf2b638594453a474cb45e3d54cd","2015-01-20 20:44:55+01:00","Update version name to 1.8.6 (code 26)
"
