"commit id","commit date","commit message"
"609e286e6591d727051289d85b694be192c52d0a","2010-07-29 21:08:02+02:00","init -tr
"
"3447551e33dd5da6ef97b90a40a480618757719f","2010-07-30 00:23:56+02:00","tmp: working on new PlanEdit
"
"bf3c28711954f2c549dc6dce0ba05cd8ceaca399","2010-08-01 15:00:28+02:00","tmp: working on new PlanEdit
"
"a21c51edbd18a4fd23b4fafbc7a42d250861ded5","2010-08-02 17:19:56+02:00","imporve layout for EditPlan
"
"5ed1f6cc6eea0433c1c43979aef14ed5d6d42c3c","2010-08-02 18:12:45+02:00","tmp: working on new PlanEdit
"
"7b95f664226fb7f1f9ec0cc13cdd00965881513c","2010-08-02 23:03:50+02:00","implemented new PlanEdit
"
"d4c84093b18e4129159b74d350bf1dc67e90beb2","2010-08-02 23:08:34+02:00","build against android-8; allow install on sd
"
"070d58d6e2359b9ebbe2a6e9cbaf37e920d479aa","2010-08-03 18:01:14+02:00","Merge branch 'master' into cm3

Conflicts:
AndroidManifest.xml
res/values/base.xml
res/values/update.xml
"
"663804bbc55d91511f9dd7c17deb8c33ee05b663","2010-08-05 08:54:43+02:00","tmp: work on new RulesEdit
"
"65fe3bdb8d1d92ebdfb259ca5f387502076325e9","2010-08-06 08:01:49+02:00","new RulesEdit
"
"187376eb336efd07f1c7a99745c9859f3e694498","2010-08-07 10:38:53+02:00","use TouchListView: sort plans/rules by drag&drop
"
"d90f40516ebf646f74bc6a96d66deced63a5acec","2010-08-07 16:13:43+02:00","change color of limit bars
"
"63837d2cbd6f10355297901c009e37d048ce9cfa","2010-08-07 16:16:10+02:00","bump to CallMeter3G v2.7.1 alpha1
"
