"commit id","commit date","commit message"
"1f3a5eaf205c35400d4e77049ae7fabfe3c572da","2012-12-07 01:11:13+01:00","update translation stats
"
"9a807e4370c3072614bb412574196bdc2182d85a","2012-12-07 19:11:06+01:00","auto commit for translation
"
"390ccca1f7983939fdd07dbc32e928c4e7c6ea5e","2012-12-13 07:07:40+01:00","rules
"
"ed0b2e18eae5ee352162e147cf1be0497987b114","2012-12-07 17:58:43+01:00","fix progress bar size for android 3+; issue #774
"
"a6eae4e4ed0dd2849ce7a6c4a065a302ba9132f9","2012-12-13 07:06:42+01:00","fix NPE, minor fixes/cleanup
"
"7cb436416239fe92bf03179e3e510e937ccbf84c","2012-12-13 07:11:07+01:00","Merge remote-tracking branch 'origin/master' into translation
"
"2e414479242c5a47b0e64f548a4fc00baef0a63a","2012-12-13 07:11:12+01:00","update translation stats
"
"0b7fe68455b926c53709130be0363387d41f4084","2012-12-13 20:09:41+01:00","fix cost per plan fir some rare cases; issue #773
"
"495f8255becebc321e3b6b0f63e7fff1e8a93b79","2012-12-13 20:15:39+01:00","Merge remote-tracking branch 'origin/translation'
"
"16a9265301fffee06d376e32840a768dda990174","2012-12-13 20:16:23+01:00","bump to CallMeter3G v3.7.1
"
