"commit id","commit date","commit message"
"aae9acbc88bb1af7e3b7bddec6040813f2c8c976","2012-02-01 01:12:07+01:00","update translation stats
"
"b2d09b776f2dd0dddd54b1188648efdd5321e06d","2012-02-02 19:12:04+01:00","auto commit for translation
"
"bdfaeb1990815b5f9eac7e7bd348d5b6216e97ee","2012-02-04 01:12:04+01:00","auto commit for translation
"
"f02930ba4ce4bb3d86116d585b58d65fabee35a8","2012-02-05 01:12:05+01:00","auto commit for translation
"
"32a1b67659aa3fa03ad94118cc9be87ad688e443","2012-02-07 13:12:05+01:00","auto commit for translation
"
"0794e583922dea672d1e7b8fd4335b226579a342","2012-02-10 19:12:04+01:00","auto commit for translation
"
"2ec4d330f9782b87eea6600d8e0f7979d6efdd27","2012-02-13 07:40:22+01:00","fix link
"
"6a8cd4b1eda144ef54f956515c319990c08ed5a2","2012-02-16 01:12:05+01:00","auto commit for translation
"
"4223f308ccb6c6335a8f4d1d9292d7b1be8a21bb","2012-02-18 07:12:04+01:00","auto commit for translation
"
"4c25162e801ae420d9ce2f93248e2b8b946430cb","2012-02-19 13:12:04+01:00","auto commit for translation
"
"cc18a19621d30aa493d9aa6a8fcc75f2c9bfe0cb","2012-02-21 01:12:05+01:00","auto commit for translation
"
"bdf12a3282ca9c781a79928ac5166f3f04e0e8d2","2012-02-27 19:12:04+01:00","auto commit for translation
"
"6f0718c09ef9eeadc3c587cccb536c6200cc17ae","2012-03-01 01:12:04+01:00","auto commit for translation
"
"77f6736a9742a43bf73106a1b2b30b44ff235576","2012-03-02 19:12:04+01:00","auto commit for translation
"
"4e346c9f8764cd0915beeb743fcd935a569cbbe0","2012-03-04 01:12:05+01:00","auto commit for translation
"
"e4599ddd37811cb26470b2275b08d3611c4811d0","2012-03-05 13:12:05+01:00","auto commit for translation
"
"934c789b2eb211acbe96fb8c8063cda379bcad05","2012-03-05 19:12:04+01:00","auto commit for translation
"
"3600e98f8ec22b423eac5362cae62f0c8ed10758","2012-03-07 01:12:05+01:00","auto commit for translation
"
"f9322a55c53ed956480cb252446cc2d9f716ff20","2012-03-07 06:21:24+01:00","Revert 'auto commit for translation'

This reverts commit 3600e98f8ec22b423eac5362cae62f0c8ed10758.
"
"9b51bbe80ef08e0ae6ea65625a604312c5a188d0","2012-03-07 07:12:05+01:00","auto commit for translation
"
"1681daa468235d296f111b8e257325a0eefc27ae","2012-03-07 10:25:29+01:00","Revert 'auto commit for translation'

This reverts commit 9b51bbe80ef08e0ae6ea65625a604312c5a188d0.
"
"0a5fa014f947bf57af5c72559b4606049464b3b4","2012-03-07 13:12:04+01:00","auto commit for translation
"
"d77a38fdfc763e8d1483f941ae4760dc37b02107","2012-03-07 13:49:12+01:00","Revert 'auto commit for translation'

This reverts commit 0a5fa014f947bf57af5c72559b4606049464b3b4.
"
"7ce684c5e3e999c757d65f5d5bcdeb5ac053522d","2012-03-07 17:42:13+01:00","auto commit for translation
"
"284f682dfa43fd87e453ba91b835a870810e8750","2012-03-07 21:37:38+01:00","Revert 'auto commit for translation'

This reverts commit 7ce684c5e3e999c757d65f5d5bcdeb5ac053522d.
"
"91d057d4235f1a0a7d155e1e1c9b9d799d74d06d","2012-04-19 01:12:04+02:00","auto commit for translation
"
"c56d5ddce127a2ed2206e507dedf908c6c5a55d4","2012-04-21 01:12:05+02:00","auto commit for translation
"
"ab0b67bd1e31aad65f677e09490abdf2616fdfe7","2012-05-10 19:12:04+02:00","auto commit for translation
"
"9cf83a684cf16f469ab018c76333d3775705e212","2012-05-17 07:12:05+02:00","auto commit for translation
"
"30b070e2027013e92619568e9ef6ae4e42da2584","2012-05-22 13:12:04+02:00","auto commit for translation
"
"d6fb47d40986cb0f3d3ec64b64603069cab722ef","2012-05-31 01:12:05+02:00","auto commit for translation
"
"ccb6e6d5fb6a19510a208ac8c47e63b4703f1532","2012-06-05 01:12:05+02:00","auto commit for translation
"
"e39ce4cab251fefb9963fdb2c968664c9e4d8590","2012-06-14 01:12:05+02:00","auto commit for translation
"
"8149cf1827ec5484b3284bcc1197de974d1da0c4","2012-06-17 06:50:26+02:00","bump admob jar
"
"c2f1618eda4b94b00d3246ffe4770056eaee604e","2012-06-17 06:50:40+02:00","Merge remote-tracking branch 'origin/cm2-translation' into cm2
"
"99a5aa580693138b31131cc97527d5fbb57fe146","2012-06-17 13:12:05+02:00","auto commit for translation
"
"6acaba9fa213a350855f6a264c2058453df12333","2012-06-18 13:12:04+02:00","auto commit for translation
"
"caf5c97dc11b6bd274d1ead764f5b0b9d9d2ef20","2012-06-18 19:12:04+02:00","auto commit for translation
"
"d7ab2291e62d770e7c7d3fd9a62317b19ace6baf","2012-06-24 01:12:04+02:00","auto commit for translation
"
"ca9813aaded389c244cd523a264518d899fb0a88","2012-06-25 01:12:04+02:00","auto commit for translation
"
"d51dccd80fcc59344f632c396065d8619db6f69d","2012-07-01 11:51:46+02:00","new permissions
"
"5559afb5ca21b2bd3454ea64a83c2fc9a060b340","2012-07-01 11:55:53+02:00","bump admob.jar
"
"f3fdc79e1a0be30bcbd662206ccb3cd1eaf0c14b","2012-07-01 11:56:47+02:00","Merge remote-tracking branch 'origin/cm2-translation' into cm2
"
"112f4fbadc9cb1e089452be8794390047392ce71","2012-07-01 12:01:19+02:00","bump to CallMeterNG v2.3.18.4
"
