"commit id","commit date","commit message"
"ee2a271188816c560c65cd33de56cfa7e90c3e78","2014-02-24 07:12:08+01:00","update translation stats
"
"3ad280658dfa7efd901693b9927adb6cf335d5bb","2014-04-21 13:12:06+02:00","auto commit for translation
"
"630abef8b5531243f8524b9cfd19674622dde0d0","2014-05-09 19:12:06+02:00","auto commit for translation
"
"17f7c47e6d6f02295c01e62100255b4dba6a3f59","2014-07-01 15:57:36+02:00","translation links
"
"6bece75d2f05bfe61d4927ebd509e5cb45b25d4e","2014-07-01 19:12:04+02:00","Merge remote-tracking branch 'origin/cm2' into cm2-translation
"
"2a74e2aa1e337a0c13bcfeb351c86e07adbbff56","2014-08-03 18:44:42+02:00","migrate to github
"
"039658f531d568b0a271d4bfd8b00ee49839cb3b","2014-08-03 19:12:03+02:00","Merge remote-tracking branch 'origin/cm2' into cm2-translation
"
"57d30dc34d8b9ad73678d76580d3eb623e61b836","2014-10-13 07:04:48+02:00","remove keywords
"
"3b10ae5be78b7278a93f35f256b1e680809fa04c","2014-10-13 07:12:04+02:00","update translation stats
"
"11b27ae61c2d744793296edefe862d11f14d1c9e","2014-10-13 19:58:16+02:00","promo pic
"
"3305d90e47f2b3c6c2aa91768ffe4c992ca34af9","2014-10-14 01:12:04+02:00","Merge remote-tracking branch 'origin/cm2' into cm2-translation
"
"d1d8438f4878eb01f6ffb395f1575e4fd20e0019","2014-10-25 15:41:03+02:00","remove bad translation
"
"2badde666b6177832396f10581997d24f64d0a21","2014-10-25 19:12:04+02:00","Merge remote-tracking branch 'origin/cm2' into cm2-translation
"
"0fe0d542212167547f2e7d66518345de762710af","2014-10-25 19:12:05+02:00","update translation stats
"
"b63bcfaebf4f07a7920b18fb3d02b9cd2487569d","2014-11-01 13:12:02+01:00","auto commit for translation
"
"36afd6f96573f1351431cbda779899cda2d9b763","2015-03-22 01:12:02+01:00","auto commit for translation
"
"595026e174cbff8f0d1bfb8d59f790144023e713","2015-04-13 01:12:02+02:00","auto commit for translation
"
"ff85d3898f18723c401552dbadd54b78cf7dfd63","2015-05-02 07:12:02+02:00","auto commit for translation
"
"1f6cbfeff9db4bb44e5db59eb57423705e9be9a3","2015-05-15 08:57:33+02:00","Revert 'auto commit for translation'

This reverts commit 595026e174cbff8f0d1bfb8d59f790144023e713.
"
"d439fdc63a14bf8c5c865e51ef157dab42dfa9b9","2015-09-13 18:11:55+02:00","migrate to new project structure
"
"aa89f9c39c415d645d640bdc37d876775ad52cc6","2015-09-13 18:17:16+02:00","formatting code
"
"88dcb930a396eb7c5cdcda87408a7dbae0e100dd","2015-09-13 18:21:35+02:00","link to github
"
"1e870e5a6a56e724b691e0960ab6f73a4e5ff349","2015-09-13 18:58:12+02:00","fix hiding send_logs
"
"b2bd84bf16bb4639f2bf2a5e547d9bbdb6dc011a","2015-09-13 18:59:02+02:00","prepare release v2.3.22
"
