"commit id","commit date","commit message"
"da6059bdc24be7e6b8d08df545c69e05144b0afb","2015-06-02 04:34:20+05:30","Bump version number to v0.0.3
"
"10b1b9d3b7f16b901aee047c51b5773ecf97ded0","2015-06-02 05:02:05+05:30","Update README.md
"
"6e6310458d4284a41fbaec1721e62a6260aeda26","2015-06-06 17:38:34+05:30","Add licensing information
"
"82575a1f9d9f490560adc33a5827b8c2fcde2bbb","2015-06-08 02:41:48+05:30","Automated refactoring
"
"971a6472a209f3d0404dc9e83788a76d8e276c3c","2015-06-08 03:35:08+05:30","Add tests for Config

Using robolectric because of the need for shadow preference
manager and context
"
"3164c23ffccf32479a51b9def209cf89080c1fa7","2015-06-08 03:52:04+05:30","Use built in android unit test support

For that:
* Update gradle plugin version to 1.1.1
* Remove android-unit-test plugin

See http://stackoverflow.com/a/28843490/2670370 about instructions to run
unit-test with default support
"
"decea8dc03c01a680fc5dcb45693e21249f35a0f","2015-06-08 04:17:04+05:30","Remove unnecessary parameter activity

Context is already getting passed which is as good as an activity
"
"e45bada73979a74969380ea33580b86b10f025f1","2015-06-08 04:35:26+05:30","Extract show alert dialog in a method
"
"cb8a8e533545a07e7a7f66d7b605e3ab758c1c22","2015-06-08 06:14:50+05:30","Add fix for robolectric errors

* Add custom test runner to find correct manifest, which in turn finds correct
resources
* Add testOptions so that Logs etc can work with tests

See http://tools.android.com/tech-docs/unit-testing-support
"
"23cb174b3590fd0aa102c7e7290bf914cec3ee59","2015-06-08 06:18:26+05:30","Add tests for ListViewItemClickListener
"
"9702f94be5b1fb731d86e4e31ab4172f22cccb43","2015-06-08 07:09:27+05:30","Add unfinished test for open url button click
"
"64206f56dc5f554b580640419012d9fdc58d50d0","2015-06-08 22:48:52+05:30","Bug: Alert Dialog needs activity context instead of application context
"
"844c59bb42ba88e1ddd56d9a3fc016fdca1e7f79","2015-06-08 17:07:43+05:30","Pass URL to DownloadXmlTask
"
"56b7d83f0cbcfda10d51a31539ef2e9a6c6365b1","2015-06-08 17:58:04+05:30","Add ability for downloadxmltask to parse multiple urls

Issue: #3
"
"ce7bd6a187e8e1d44f942d12c27c38d3bc0d93ac","2015-06-08 22:27:48+05:30","Move openUrl in Utils and add tests

The tests should use robolectric shadows, but right now robolectric doesn't
support some of our layout files :'(

We have simillar problems in MainActivity and ListViewItemClickListener too.
"
"1f058fa1d3018456ef8c4a5b4ce1176da73c381f","2015-06-08 22:51:08+05:30","Enable minify for releases
"
"6f819da993295fe57fad8f03547a08453781c574","2015-06-08 22:55:59+05:30","Compose XmlFeedReader instead of inheriting in ProjectParser

Favor composition over inheritence -- Head First Design Principle
"
"3b335f45e8af5c021ed17e3dca1bdecf7c8c378e","2015-06-09 00:16:16+05:30","Move isOnline to utils
"
"ea9adf07a69f0d37ee6f0ac6f39737d44e8c82b9","2015-06-11 05:47:50+05:30","Rename OnDownloadTaskCompleted to ListViewController
"
"5e5feb58bf84fd60681e40184892f15738a51514","2015-06-11 05:59:08+05:30","Add and use LogUtils
"
"1d48c11621d44953f16f4cac7fc13aa01bb13a54","2015-06-15 05:15:43+05:30","Add lombok config file
"
"861926f009b24071dfd87dab16a77fcfb85c29e3","2015-06-26 18:56:15+05:30","Log everything, everywhere
"
"9ba5f1fa5c23ba16e30ed77aba7a76c5d735a7fe","2015-06-26 06:26:50+05:30","Add provider & its contract with sql backed storage
"
"55c28b31b966856f04f11d271966d102178157e9","2015-06-26 19:17:31+05:30","Add logs into content provider
"
"b120a3f952a8939297743473448083feebcf67ca","2015-06-26 19:51:12+05:30","Change authority name
"
"6ae5cefb205fde9a67c4a179de2ad0fc61aac4cd","2015-06-26 20:00:25+05:30","Remove unnecessary KEY_INDEX
"
"734bbd5d11729cadd0a1bb1159fa27dde57eeb82","2015-06-26 20:52:47+05:30","Add project to database
"
"55b3501c1bfe8633c1fe002b196a51f28b61eb2c","2015-06-26 22:06:46+05:30","Get projects from database
"
"a5bc607266ee347e8d239b73cc979384a4385ced","2015-06-26 22:10:28+05:30","Move provider to storage package
"
"32df8a423f2aa4e5d45d6f88387902cf045e2360","2015-06-26 22:24:21+05:30","Hide provider storage implementation behind a ProjectStorageController

All operation for project storage should be done using the ProviderController.
"
"ef05f59b063850afd613a3d2fddfad301dbcc2d3","2015-06-26 23:23:09+05:30","Show local storage data when app boots

Instead of empty screen, now we'll show the data of last successful sync
Current stratergy is to clear database and add new values after that.

Story #10
"
"86d8ea1ad6f65b69caa62ee4e73f4751e813bf78","2015-06-27 07:08:22+05:30","Merge branch 'use_content_provider_to_store_project_locally'

Story #10
"
"588bdb0b19096a701998f72ab6a3b5f12b223dae","2015-06-27 16:51:51+05:30","Move all logs to debug level

All logs by default belong to debug level
Extremly verbose logs go to verbose, which can be ignored otherwise.
"
"5a144a204603a1dd3719910fb6eae1ff180ac1a5","2015-06-27 18:01:25+05:30","Ignore *.bak files
"
"4f4ea6923d0270834b1cce845eca21128e30df6f","2015-06-29 00:55:08+05:30","Add missing time & activity field in list view adapter | #20

Story #20
"
"e87d740a5b2c9d8c87dd19f1258cdc2855803c95","2015-06-29 01:05:41+05:30","Set input type to URI | #21

Story #21
"
"8b0643c63999535729e6ab027821a43df326821b","2015-07-28 02:38:16+05:30","Update travis config to use containers
"
"7902dea53986ae4dc7ba7f4123e7e21bfa96c790","2015-08-01 12:28:12+05:30","Add crashlytics plugin
"
"b8e1f3c3b71cd1165cde83d77841cf703bea044f","2015-08-01 12:58:54+05:30","Update log utils to use crashlytics
"
"a99c326213d00edb662fc60c9886c882c2d74366","2015-08-01 12:59:44+05:30","Merge remote-tracking branch 'origin/master'
"
"98dfa599bd821087fd0e1e32213562aeba574abf","2015-08-01 13:41:35+05:30","Add initialization check around crashlytics logs
"
"1189fd05a6095ec09c39ed9112524d1b64cbdefa","2015-08-01 16:25:58+05:30","Disable progaurd
"
"32b7fa54b80382a85d152668b059243980f10d2b","2015-08-01 16:26:19+05:30","Stop showing annoying dialog box
"
