"commit id","commit date","commit message"
"45b162246cf1039106475583a6c63ac5fe694bcd","2015-02-04 00:32:44+01:00","Updated campus map to 2015 edition.
"
"7f8a8aa5cbcab20dbdb53d688135a3c6828fd19d","2015-02-04 23:30:13+01:00","Improve readability of up navigation code in EventDetailsActivity and add missing flags in the Manifest file for it.
"
"74f1a7e2b34e7bfb7658ed4b1fca3caeb94f535d","2015-02-04 23:37:51+01:00","Added warning message instead of crash when no compatible calendar app is found.
"
"6f48640a139a70729b4635955e493cf568d89db5","2015-02-05 00:32:43+01:00","Removed restriction to only use Google Maps for directions if installed, allowing to use third-party apps or a browser.
"
"90d73831c67175b70c86d03e2e170905f806512f","2015-02-05 23:49:31+01:00","Added Http cache awareness
to skip updating the database when the remote file has not changed.
"
"c54b339dc226d987b268d0a38535b546bf503551","2015-03-08 00:36:41+01:00","Update Gradle plugin to 1.1
"
"b1d823d2455f65f55252108bc54b333fa9fc907a","2015-04-02 02:29:59+02:00","Misc. small cleanups
"
"56fea42162c2bda446196c7451785d1614c975fc","2015-05-30 23:51:29+02:00","Workaround to support 'If-Modified-Since' conditional HTTP requests on web servers supporting GZIP compression, also enabling GZIP compression support on Android 2.1 and 2.2.
"
"aa1a4f0148ddd3832c0e166875a73954eeabec22","2015-05-30 23:58:34+02:00","Upgrade Gradle Android plugin
"
"0c2ddc73e0f2c45750ade651a7c243931791b86f","2015-06-08 18:11:01+02:00","Moved launcher icon to mipmap resource folders for better scaling on modern devices.
"
"b6cc5513db02d941f0c6fa3c5df9ff5095c0c84b","2015-06-24 13:17:58+02:00","Replaced the ListView main menu with a ScrollView and an AdapterLinearLayout.
It makes the layout simpler and fixes focus issues in keypad navigation mode.
"
"29d923a1cde43bf152fc816907e0b835cc16b42a","2015-06-26 17:32:03+02:00","Updated Floating Action Button style to the official guidelines.
"
"9c5b95aec4a37117580b3ab9789996333e77c99b","2015-11-06 13:51:58+01:00","change name, translate, remove unused things
"
"4297d0ca63009d2c29f5c80455b58f82839e7156","2015-11-06 14:08:41+01:00","remove unused images and change main image and icon
"
"abdeeec5c7734b6f0481af9004a5f8dc1a1d5173","2015-11-08 18:47:53+01:00","change track types
"
"a7c42f043c5a44bac87f2b138d26864be82596c0","2015-11-09 08:31:19+01:00","change map
"
"828c669e5b78c3bb61ca0a2cd7cfbd56987ac170","2015-11-11 14:39:17+01:00","fix from xml
"
"3d17c93d6d6d1174e98a3372eb333ff75a14bc75","2015-11-11 14:41:18+01:00","bump version
"
"76a8de3597c8327ea820a519080a48304e603b73","2015-11-11 14:41:29+01:00","Merge branch 'release'
"
"ec05a30d82109ffac3ce39ac348d602abe18b35a","2015-11-11 14:43:07+01:00","bump version
"
"07950092cbcb4131b6517aa4fc62a3482c4fa8a6","2015-11-11 14:43:16+01:00","Merge branch 'release'
"
