"commit id","commit date","commit message"
"6d1524387bce9b2dabc64a3dae4c5016bc9e8123","2015-11-02 15:06:52-05:00","Cleanup...
"
"693d875c0f813d7130ca067611a7c6c719a2fcf1","2015-11-02 20:10:48-05:00","Converted to Android Studio Project
"
"d182fce6c6b9bb2afbaccba7375526844fbe5555","2015-11-03 18:04:48-05:00","Update to reflect Android Studio....
"
"a56334910c4471b70a62de506d740aef07113726","2015-11-05 21:08:06-05:00","Update README.md
"
"285fb9c98744ca9462d02d53e5028362f4d41676","2015-11-07 13:15:12-05:00","Added 'aco', 'his, 'qa' (sans board icon)
"
"a22ae4dad87e0c3908f5c471851ae7aa9035ab59","2015-11-07 13:15:38-05:00","Merge branch 'android-studio' of http://github.com/Greznor/chanu into android-studio
"
"2cf74d377e8ffcab91f49e00f805688cc883babc","2015-11-07 13:17:21-05:00","Added 'aco', 'his, 'qa' (sans board icon)
"
"589ed5f6070d393d0ea9e0cd58cf5046d9fee56f","2015-11-07 17:15:16-05:00","Added 'aco', 'his, 'qa' (sans board icon)
"
"00b4e931970574d9bce8ccebcf06b50296d4f402","2015-11-08 10:30:10-05:00","Update TODO.md
"
"0545f99a0cb5acb902f8cd2840f1056f063bf324","2015-11-09 13:54:02-05:00","Update README.md
"
"ca546985cbd60efef18a65937629af4c2cc2c335","2015-11-10 12:21:31-05:00","Update TODO.md
"
"0f7e536422469b75a0d719e47c125a8133a85f82","2015-11-10 12:36:58-05:00","Added /his/ board icons
"
"ffc3c0aee14e3d4228c779189b9eeeb3ad109034","2015-11-10 12:37:20-05:00","Merge branch 'android-studio' of http://github.com/Greznor/chanu into android-studio
"
"dd8dade4f2d2afaa02649140aa29d77f2b37c7b3","2015-11-10 13:12:54-05:00","Added /aco/ board icon
"
"84826fb074e45795a5bbc7025b3c269d28148c6d","2015-11-10 14:22:41-05:00","Added missing board descriptions
"
"c6c404f7f9905b8774c8324ee12058f551dfa04d","2015-11-10 20:39:57-05:00","Upgraded to new build-tools (23.0.2)
"
"8589dcf7a38b4de72e9d41dea56e8c7a9ab6c457","2015-11-12 09:17:28-06:00","Merge pull request #457 from Greznor/android-studio

Port to Android Studio
"
"9df2f83dd91a9adb08e8ff980d1fe6a930d435b2","2015-11-13 11:36:53-05:00","Changed version to 2.0.16
"
"959faab2d0f654a167c31e4ebd6624f5df9c2720","2015-11-21 10:19:45-05:00","Added TravisCI yml and gradle build scripts
"
"cc1f27af7fb6a92ab90df71f7f534226028a2170","2015-11-21 10:30:33-05:00","Added TravisCI yml and gradle build scripts
"
"c9c94c6d39eddcb34639fa91b685ed6f2042ce36","2015-11-21 10:31:43-05:00","Update README.md
"
"248e93ee08cd98d58751895f61a3e2901d3695be","2015-11-21 10:33:34-05:00","Added TravisCI yml and gradle build scripts
"
"f8c2b32a9fc6331694ef1a23984eae1e7f8b19c6","2015-11-21 10:33:52-05:00","Merge branch 'android-studio' of http://github.com/Greznor/chanu into android-studio
"
"350941befd67b1bbe2fc9a4c4ba3e18e78358c7b","2015-11-21 10:34:12-05:00","Added TravisCI yml and gradle build scripts
"
"ac06e2da566f4545a499b6f4f05209794777c440","2015-11-21 10:37:55-05:00","Added TravisCI yml and gradle build scripts
"
"068a2c6345d0bf7e9997d61795f5164951161074","2015-11-21 10:43:44-05:00","Added TravisCI yml and gradle build scripts
"
"4ae919d3d4c301961b8aadad5c9908f2b79a845b","2015-11-21 10:45:53-05:00","Added TravisCI yml and gradle build scripts
"
"c74cf4706978a55eed03ddd44f246b04d897d3d1","2015-11-21 10:49:49-05:00","Added TravisCI yml and gradle build scripts
"
"036cb8f432dc2c33fb35aab214fe1a922c9ea875","2015-11-21 15:29:24-06:00","Merge pull request #460 from Greznor/android-studio

Add TravisCI and gradle build scripts
"
"748db8f84f972bc86e92ab166e02da8766976e0c","2015-11-25 06:50:47-05:00","Bug fix
"
"456862b850d462457828100870897a3385bf91d0","2015-11-26 16:13:01-05:00","Fixed 4chan API URI for new boards
"
"21805007a4753f7dd232e2433a9b89d8a5d4729b","2015-11-29 07:45:06-05:00","Added /trash/ and /news/ trial boards
"
"a9f8fdc65c11bc79057245d5fe36c543bfae09bf","2015-11-30 10:36:07-05:00","Added /aco/ icon
"
"f9abd003caae37eff0635f66ca3e9c77ff2daa88","2015-11-30 10:00:55-06:00","Merge pull request #463 from Greznor/android-studio

Bug fixes and New Boards
"
"f570e1f20ca8a44e261bdf4cb26c01c81bb57d03","2015-11-30 11:01:51-06:00","Upped version to 2.0.17
"
