"commit id","commit date","commit message"
"9bfe48af26c202975bd2a6102013c85d0330725d","2010-02-04 07:33:53+00:00","Initial pile of code.
"
"a543785db711f530252f59691f71a4ccb1bdcdd0","2010-02-07 07:58:50+00:00","- Added a version number (1.0).
- Added an About dialog.
- Cleaned up some superfluous Log output.
- Added a screenshot.
"
"d2fff0f308414628387171e42a3e90309ef6f9cd","2010-02-07 08:24:12+00:00","- Tweak the versioning; Android Market didn't like it.
"
"48a52a900695a93a98d99b8443743d0edabcef2b","2010-02-11 05:17:15+00:00","- Move all human-readable strings to about.xml and strings.xml.
- Run the XML files through Eclipse's cleanup tool.
- Set version to 1.0.1

I probably won't push this to the Market, since none of the changes
are user-visible.
"
"6b28d54cc88f799b10ccce0bc5c43fc584aa3653","2010-08-15 07:26:48+00:00","Wait, Eclipse uses hard tabs by default?
Change all tabs to 4 spaces.
"
"16fcef72538da1630f2f7b4684c1f780bd9980dd","2010-08-15 07:35:47+00:00","Add note about 4-space tabs in Eclipse.
"
"9c26b5afded91c9d82975b31dc7b0371d5ad1b85","2010-09-20 02:56:35+00:00","- Make sure the buffer is never smaller than getMinBufferSize(), since
I'm not sure my default is appropriate for every device.
- Add a progress bar for block generation.
- Manage the wake lock and notification icon in onCreate/onDestroy, since
those callbacks are always paired 1:1.
- Get rid of the special layout for landscape; it was ugly and pointless.
"
"adcae16a021b7c2289181af75dcc4582f95c10b9","2010-09-20 03:11:00+00:00","- 1.0.2 should have a different version code.
"
"49049c11059ba8cf66fb62311e261a6fc40ddab5","2010-12-01 07:06:50+00:00","Add a stupid gigantic icon because Android Market requires it.
"
"5185b85278cd9d54b8ff4aae0efd47a3fc8dead9","2011-01-10 02:43:42+00:00","Run as a foreground service.  This makes the OS less likely to kill the
process while it's busy making noise.
"
"046781b443b4da463dabd2166e2e5acae0b08934","2011-01-23 02:07:32+00:00","- Automatically stop the service if the activity is paused with the equalizer
set to silent.
"
"8621b477c7663fed2eb07dc4d61c8126674ea1d8","2011-02-21 07:56:36+00:00","- Set min/target SDK so this will run on 1.5 without demanding 1.5's default
permissions.
- Tweak the about dialog.
"
"f1b21bcf1e8a2401a471b7a9b676533b66ddcb96","2011-09-05 02:34:08+00:00","- Fix some new Eclipse warnings.
"
"23cfea2654b65b22e4ea20805877b1c94cdd0395","2011-09-05 06:02:51+00:00","- Add NoiseServicePercentListener.java, which I forgot before.
- Refactor the audio generation loop.
"
"daf89f6fefd9e0c37b04e209ecf9527b6e602d28","2011-09-11 11:26:33+00:00","- Add an 'Amplitude Wave' generator.
"
"3fd629dc837c89680a17b58ba6ec412a47fd6161","2011-09-11 11:36:55+00:00","- Make the period bar disabling work better.
"
"0a6e00e730cd5bc08bad9f951e0002c96b6470f1","2011-09-12 02:03:10+00:00","- Use the XORShift random number generator.
- Avoid playing the same chunk twice in a row.
"
"992de241c76ce998ec835545eb576e44412e1d43","2011-09-12 02:23:17+00:00","- Add some rounding to the period value.
- Add an AmpWave screenshot.
"
"d25dc32369d9aea27c5d264e8867f7af6c5dcb8a","2011-09-12 03:59:59+00:00","- When the user modifies the spectrum, do an on-demand crossfade to
avoid popping sounds.
"
"5249077bd9b22d6faee0a8d5979f3ceb0ea4b196","2011-09-12 04:07:21+00:00","- Style fixes
"
"499c4e871e568305f7f6d7ee322156280be3ad92","2011-09-12 04:59:15+00:00","- Map the period bar to more human-friendly points.
"
"18603525fc0deb505368348fd82d7fe131e28791","2011-09-12 05:55:29+00:00","- Do the AmpWave multiplication using integer math.
"
"8f67b1d8be96327ab8c64407038e7b13aedfa88b","2011-09-12 08:11:26+00:00","- Whoops, the pop-stopper wasn't quite working.
"
"78f0ee2cc5b6c39a2a39881920b774e3b813132f","2011-09-12 08:15:10+00:00","- Update version to 1.1.1, for the popping fix.
"
"8ef9bcff9f5cb851bfc3c4b68676aeb040ba7196","2013-04-22 02:28:12+00:00","Switch to a modern-looking theme, with an ActionBar.  ActionBarSherlock only
goes back to API version 7, which means dropping support for Cupcake and Donut.
"
"881335f73c1f46ee1f401e8e6bc0e14509f651ce","2013-04-22 03:40:55+00:00","Add new status bar icon, generated by:
http://android-ui-utils.googlecode.com/hg/asset-studio/dist/icons-notification.html

Also tweak the notification behavior a bit.
"
"e62589435aa555a356419374eaffae75ed50250e","2013-04-22 03:55:25+00:00","- Update screenshots with Holo theme.
"
"77bbdecbcaba83ebb6c2d8949e45a188c254e6a9","2013-04-22 04:00:30+00:00","- Set version to 2.0 before release
"
"25198b367860ac2620429a5ca74018e9da759b79","2013-04-22 04:05:03+00:00","- Delete old status icon.
"
"66443c901e0989b67ee940970af6ff1088faa27a","2013-04-23 07:50:21+00:00","Add a 'Lock Input' feature for v2.1
"
"38bcab1be23ecc5ecf02480029a54da89a9f6c1b","2013-04-23 07:54:41+00:00","- Fix an almost-a-bug.
"
"b159b8ea3a496d58298d669fe1720e1127262582","2013-04-24 06:15:32+00:00","- Resolve action vs. state confusion by putting arrows on the locks.
"
"d174b7918ca654e29ec9c2a12103bd801f2b5335","2013-04-24 09:23:35+00:00","- Move images to the hdpi directory, so they're sized correctly.
"
"3a8efeb32421d6c351947f179d04d411e0359a70","2013-04-25 08:18:53+00:00","- Update screenshots
"
"dd7379d2ed9e9b4036bfdbfcfd39dcc5253153bd","2013-06-25 06:08:53+00:00","- Avoid NullPointerException in the GUI editor.
"
"ac76a0c8e764f6761c9834d34fc506c35125919a","2013-06-30 02:30:18+00:00","Use the native sample rate, instead of hard-coding 44100.
"
"55d9fc89c68b2ce4799cad51a232523716027d79","2013-06-30 06:28:22+00:00","- Support 8000Hz sample rate, for the heck of it.
"
"79017aba5f96ee41452c9fcd2517352020e6486e","2013-06-30 07:33:40+00:00","- AudioTrack has a built-in thread-safe stop() mechanism, so use that
instead of the custom StopThread exception.
"
"e55acdbcd4bbc505f246fb3053824c63d2059d99","2013-07-25 07:37:37+00:00","- Replace ActionBarSherlock with the new/official ActionBarCompat
- Turn off obfuscation when Proguard is enabled
"
"b643f50f62df39fe815a1a9272778829c228f680","2013-07-29 05:54:35+00:00","Replace the Dialogs with Fragments.  This should keep the UI
more consitent if I ever get around to implementing a preset list.
"
"3b7dadd5f48f483c4f85477b8a98faeb0412a06a","2013-07-29 06:15:55+00:00","- Note some bugs that I'll fix later.
"
"8865bff08e1fde20d6c4563cb13e79fd0e3b8de6","2013-07-30 05:19:18+00:00","Fix fragment+rotation bugs:
- Let the framework reload fragments automatically.
- Don't touch mUiState until onActivityCreated().
"
"1883fb5d969f333a67324364924564654f853d47","2013-08-01 07:46:21+00:00","Implement dropdown list navigation.
"
"544cdd802b5535d61b6ac5b227ccc52016e756a7","2013-08-01 08:02:27+00:00","Make a cramped title behave more sanely.
"
"2025b59ac835a4dd1f7e981623bf15d43350842d","2013-08-01 08:13:23+00:00","Partial revert of last commit; 'Saved Sounds' was just a stub.
"
"8df9dad93b03d10414db76226e0aaee16a5921bb","2013-08-04 10:38:43+00:00","- Merge in DragSortListView
- Partially implement a UI for the 'Memory' fragment.
"
"c4d1d4686bdf9c3ae252dfe40d59c8c3ee01c369","2013-08-05 06:27:07+00:00","- Add EqualizerViewLite, which represents a spectrum using a small squiggly line.
"
"95e8be0250d1dd8f84dcaa032fce672fcac6f9ad","2013-08-11 00:49:36+00:00","- Implement most of the 'Memory' UI.
- Note that this can't actually save/load anything yet.
"
"f948535e3025eaaaab5af0c65b6b4ab9057c424e","2013-08-11 00:56:55+00:00","- No sense keeping these interfaces in separate files.
"
"865c90b3c13fc10c95e6d45a132644ad2613022b","2013-08-11 01:33:18+00:00","- Delete obsolete strings.
"
"67e253376b73fe832300914d795a27995131fadc","2013-08-11 04:59:37+00:00","- Implement load/save.
- Move Amp Wave icons to ldpi, so they're drawn larger.
"
"15e7a9870c5f377523edc7d57bf123dacc3cfc74","2013-08-11 05:30:55+00:00","- Set version to 3.0
"
"1c86a9fa3ed4d5286ed7ec8927e739f98de2afcb","2013-08-11 07:29:03+00:00","- If the service is killed due to memory pressure, let it stay dead.
Previously it would restart and immediately NPE because I increased
targetSdkVersion without migrating to onStartCommand().
- Hopefully this commit marks the 3.0 release.
"
"343be5b09541fb74423bbaf3acd0da253d4e247e","2013-08-12 00:26:56+00:00","- Update screenshots
"
"e87abdc7b5f4d24e987f7ec3fa1c41e00251d13f","2013-08-17 07:21:30+00:00","- New icons, for eventual use.
"
"e6fa0081a00d210ec307eb4ac609f630ee1f5ee3","2013-08-18 23:45:31+00:00","- SampleShuffler: replace callback spaghetti with an explicit loop.
"
"e9caca240d162652f48d5222292f202c1a1cd0ab","2013-08-19 05:57:24+00:00","- Update icons.
- Add a stop button to the notification bar for >= ICS
- Make the notification Intent less weird.
"
"d0fc8cd0f91abb30a38d3274c65bc0343901f1ab","2013-08-19 06:07:50+00:00","- Update screenshots for v3.1
"
"a5354858aba9fd94b9653e5777a291df9fa4aa2b","2013-08-19 06:37:17+00:00","- Add a retry loop which might fix the mTrack.play() crash.
"
"4f5ed108c76e9f664f74e520fa04a023f0e92d45","2013-08-19 08:05:16+00:00","- Turn 'singleTask' back on, so the Notification still works correctly even
if we launched from the .apk installer.
- Hopefully this marks the 3.1 release.
"
"d5e0f790ad48d6d061a43f4fa39014fb69792c89","2014-03-09 07:52:46+00:00","- Respect the Audio Focus on >=Froyo
- Watch for STOP/PAUSE media buttons, mainly for Sleep Timer compatibility.
"
"071bcdd48a5ea993802a8aa9b2990304e8f6cf70","2014-03-10 03:00:33+00:00","- Implement stereo sound, by playing the same data backwards.
"
"72c1b11ad8d3577f45b73d911760d1960167206e","2014-03-12 08:03:19+00:00","- Add a ShuffleBag class to prevent near-consecutive replays of the same chunk.
- Fix a stereo glitch when mChunk0 and mChunk1 differ in size.
- Add withPcm() function to avoid lots of repeated code.
- Misc cleanups.
"
"5b57fc9f0014ccac9b761f53e587c945b7710d81","2014-03-13 05:47:58+00:00","- Fix a memory leak in requestAudioFocus() / abandonAudioFocus().
"
"746e9950774b72adecd6be758001d2bf1722f646","2014-03-13 06:05:41+00:00","- Set version to 3.2
"
"bdcafdf86932f12be580169321391a777c1df964","2014-03-17 07:43:15+00:00","- Add option to disable AudioFocus.
- Add option to reduce the volume level internally.

The idea is that you can play white noise on top of music, in order
to drown out background chatter during the quiet parts.
"
"29bbe91dfc76954f3eafe6971d8262129a542627","2014-03-18 04:50:32+00:00","- Set version to 3.3
"
"134cb25c61f1e818195d0169fe3fc993850062e4","2014-03-18 04:54:05+00:00","- Comments
"
"a6c83b960adc532f28667a8c0927ff195715215e","2014-08-11 03:07:05+00:00","- Make the Notification readable in Android L.
"
