"commit id","commit date","commit message"
"84415bc43aac823a84d9122652b09b77fd18b16c","2015-10-08 13:49:14+08:00","Initial commit
"
"a2e933d33f55f78e6f920eb660daeebb52c89ae1","2015-10-08 14:21:46+08:00","init
"
"c300ddf3d3f1f6eaa2dda80a45202a3b7946c50b","2015-10-08 14:22:31+08:00","Merge branch 'master' of https://git.oschina.net/douzifly/List
"
"7b4a04dacb6baea2defc8274a3ec0520e09bd935","2015-10-09 14:56:18+08:00","add menu button
"
"97f49d49ab52845a0ccb8dd1e13489a4dff64d4b","2015-10-10 00:57:36+08:00","add boxeidtor
"
"67e4061aa4ac726e51e5157a39274c10362f7239","2015-10-10 01:06:59+08:00","add box func
"
"3b58c34aac55d9248ca0afd2025429f8c4edb3fa","2015-10-11 01:01:56+08:00","developing
"
"bb9c7d56f8182363dd58391601e267a79bca8ce0","2015-10-12 00:54:50+08:00","progressing
"
"7774e20e22ec78e21f3a365efd855e8afe50c6f0","2015-10-13 13:36:57+08:00","developing
"
"3256a0503dd4206a9f44ea6d79fbf51e804c8ab1","2015-10-13 13:49:18+08:00","developing
"
"3c589fc8bc55dc86ea65cb26b2707b3e8c44bef5","2015-10-13 23:47:36+08:00","fix add group bug, add commit button
"
"bbd979ece0e24412bcb93d4a48661dbc7216896e","2015-10-14 11:56:44+08:00","change icon
"
"b1a414296273734fe7a05c8355e31ec381b1ad5a","2015-10-14 11:57:48+08:00","iml
"
"9c471bb65cb7d4da661cdda20dd39bd14e1591cb","2015-10-14 12:05:00+08:00","strings.xml
"
"9156b50dc642495554e5644cf673933f25438d91","2015-10-14 12:11:50+08:00","Merge branch 'master' of https://git.oschina.net/douzifly/List
"
"20eda6e7dc7bfead00eba5cc58d4f9b0b997afd8","2015-10-14 14:26:03+08:00","Merge branch 'master' of https://git.oschina.net/douzifly/List
add new icon and reavel animation compat
"
"10155279a57bef2df650f7b55bfeafa4d4bb36df","2015-10-14 18:49:25+08:00","fix issue
"
"f23219ee9066875a45675899fd0741f1c0fd6003","2015-10-16 13:50:15+08:00","use font icon
"
"2c47f627b02e48a5e84b2825527ac1b3416fd8ae","2015-10-16 14:26:31+08:00","iml
"
"f4a3ba6f5429e691840589851c4ce1756c615c0b","2015-10-16 14:48:40+08:00","Merge branch 'master' of https://git.oschina.net/douzifly/List

Conflicts:
app/app.iml
"
"6a5d39c348b000b04e2c7e2ec9e2b696a600ea9e","2015-10-16 17:11:44+08:00","add iconic button for delete , etc..
"
"4075db01ca41d4acafbd3b66f47ecd577f9d3418","2015-10-16 19:26:53+08:00","dev
"
"733da134d4b9e41f11599e4ee9a6a4dc5acd9dd4","2015-10-18 02:13:20+08:00","new ui
"
"abe38968d3fa0a1c38d3dcf22576b6b695af20c9","2015-10-18 14:41:54+08:00","add new theme
"
"7148153caebc52e0d83e26987b2ff5c16703a9f8","2015-10-18 23:43:31+08:00","add settting
"
"3f116cbd72490873d2c4c0bd02b77fa8026099ac","2015-10-18 23:50:18+08:00","add font
"
"ce5643cbf7f76c07b7519f5df5f3c974e8ba4ed8","2015-10-19 23:55:06+08:00","add sounds
"
"0df1a43c01766a4c03d4bacdc4063b05b0a2a0f0","2015-10-20 01:53:15+08:00","add sound, notification and bug fixes
"
"2c0e1edcd9d2400f396c352b92bfb0a15ca4a799","2015-10-20 08:56:38+08:00","tweak
"
"9f7bbec1af862baef84b23626507f6747c44778d","2015-10-20 13:30:21+08:00","add langs
"
"003103d438f7b2eca1193a817603b12eadd41cfc","2015-10-20 16:34:15+08:00","release v1.2
"
