"commit id","commit date","commit message"
"c5b8176a57884582728119a7bd97fad506d998ab","2007-11-17 05:43:48+00:00","Initial directory structure.
"
"34098c97137bc23e623fbbbf747be84199e94656","2007-11-17 05:47:42+00:00","Initial import.
"
"de04184b2163c8e86ce96c1369343deef6d4ad82","2007-11-17 05:58:42+00:00","Initial import.
"
"620ddb09d287ab821e44bc05103b8546e03c3b24","2007-11-17 16:37:28+00:00","Added indeterminate waiting swirly.
"
"6c51a7eb0ddbfef94f1bce7bde9836a9cb400f74","2007-11-17 16:39:51+00:00",""
"7a739ee1dc67f7755d3bb766c389e591d310af58","2007-11-17 16:40:23+00:00",""
"5cce41f275d49b9373ac92c356e24cbe7dda6aec","2007-11-18 03:21:34+00:00","Added about screen and icon.
"
"0997fabc0803a164e36ccefc15121d2071c49edd","2007-11-18 05:52:08+00:00","Updated icon for about screen.
"
"a6d0b2f78d9f10b01607f5c4001eabca82114328","2007-11-18 07:24:50+00:00","Fixed the disconnect dialog handling.
"
"57fde4889502779ef81ded4e6352b0eb711ff44d","2007-11-19 21:28:44+00:00","Initial WWW add
"
"24f9befc06cf582609c9136a7f3678dc6683cc5f","2007-11-19 21:29:57+00:00","Adding top screenshot
"
"a253a0fc5ce5c7f54b615fd3505e23b45ec2bc4d","2007-11-19 21:43:13+00:00","Adding list screenshot
"
"f6e189b3159ed4ba0cb27b55ef476119b175a8f2","2007-11-21 05:32:39+00:00","Merging back in the jcterm branch
"
"f52d0de97f6375d1323f60d6db9dfb43238d4262","2007-11-21 22:31:46+00:00","Added preferences, touch entropy, fixes to SoftFont.
"
"1b5793a686a65cc620b4083eaa64335deea8bcfd","2007-11-26 06:35:49+00:00","refactored preferences into a submenu
"
"d824085a4d12c16f7170e452efcedb4053211e30","2008-03-16 08:04:33+00:00","Initial update for Android SDK M5 support.
"
"6680ad5541485522b62940e4a99e1e68f4a1dc19","2008-08-24 23:07:29+00:00","* Fixing an off-by-one error in vt320 for ANSI 'U' escape sequences.Was messing up scrollback on irssi sessions.
* Filling buffer will ' ' (spaces) instead of null characters. Android's MONOSPACE font doesn't render the null correctly; might be trying to interpret them as unicode.  Was messing up indentation on rtorrent sessions.
* Removed SoftFont from redraw() and sped things up immensely. Everything seems to still render fine, was there a reason we needed the SoftFont?
* Corrected buffer.update[] handling so we aren't repainting entire screen each time; much faster now.
* Added OpenGL rendering by default, but doesn't change speed on emulator.
"
"34952b640da04f3dfd6cec6a27a94b92b7adb7ec","2008-08-24 23:08:37+00:00","Updated for 0.9 SDK
"
"5ea8a5330cc819890c094c8d45102ca010407550","2008-08-26 05:10:04+00:00","Update Trilead SSH-2 for Java from build 211 to build 213
"
"0405c54b1e589d690a2a32a994f4ea062aaaeaf5","2008-08-26 05:16:26+00:00","Restore Marcus Meißner's name from clobbering
"
"f6e1d0c6c40f5b4f734a5f2dc709ebd8f95b77c6","2008-08-27 04:32:07+00:00","* Fixed host PICK action
* Updated deletion to go directly to the ContentProvider
"
"999e5dbf50cd18795c3b9ee03efbf8e3660d06af","2008-08-27 04:34:38+00:00","* Removed static host entry in onCreate() and restored HostList selection
"
"d9a900ff68d0987c8a080d80d85d82ad39ec6879","2008-08-27 04:35:54+00:00","* Revert default action to HostList
* Rename <type/> tags to <data/>
"
"f00bc4706d832a4bdbe0a880408adc0591016f79","2008-08-27 04:36:58+00:00","Fixed typos that reveal the origin of this file...
"
"68185fbf6c1c9aab27faf44c31e040eb98e7b6df","2008-08-27 10:47:56+00:00","* moved all terminal logic into a Service backend.  connections are held in place by a TerminalBridge, which keeps the connection alive and renders the screen to a
bitmap if provided.  a Console creates TerminalViews for each bridge while it is active, and handles panning back/forth between them.

* volume up/down controls will change console font size
* extended trilead library to support resizePTY() command
* left/right screen gestures will pan between various open consoles
* up/down screen gestures on right-half will look through scrollback buffer
* up/down screen gestures on left-half will trigger pageup/down keys

* broke ctrl+ keyboard mapping, will need to bring back over from older code
"
"98f2a0cf42f811bd908798a5485965368ce529b4","2008-08-27 11:07:56+00:00","* fixed password prompting, still messy solution
"
"928ccf11532b9cebf5540cabc3a36d3fe1da8746","2008-08-27 11:09:00+00:00","added service definition
"
"356d0d82790fc93266ddbe9daedecb14c86a2c12","2008-08-27 11:09:26+00:00","added animations and newer layouts
"
"e3a55d0d9156c88b2190d20335cc235d13249c3f","2008-08-28 04:13:26+00:00","* Only allow deletion when a host is selected.
* Fix crash when aborting password dialog.
* Arrange menu selections in a more meaningful way when hosts are selected.
"
"97f7c5bf7736afc0cb41fa2dd5439226cdf45832","2008-08-28 04:15:53+00:00","* Fix typo in action name.
* Remove unnecessary imports
* Update onPause to not use deprecated Cursor functions.
* Update onResume to not use deprecated Cursor functions.
"
"4e4e447dd550e346234d1b083bcc74f0a0ebc166","2008-09-11 21:55:38+00:00","* WARNING: this build is broken lol

* moving more stuff over to new frontend gui in org.connectbot
* found out that we dont need a contentprovider to make desktop shortcuts, will be easy to add ssh://user@host/ uri shortcut handling
* new host-editing backend that uses preferences hack, will blog about this technique later today
* using colors to categorize hosts (does this work?)
* moved host-specific options (like disconnect/edit/delete) to long-tap menu instead of main menu
"
