"commit id","commit date","commit message"
"d117a56fd4d8a44d32156153b23a8c7aed78dbcd","2013-10-18 15:52:38+02:00","Updated readme.
"
"fdf8f9c9c59765b1498da5c90267df2bb3ad6c02","2013-11-21 18:39:07+01:00","Added ListView empty views (depending on current state).
"
"bb308013accba73e55d85d43cc0b36300e3fbf33","2013-11-21 18:41:10+01:00","Adjusted layout name to fit fragment name.
"
"a5ab978bbaa0807718a88b884d2f666625212c38","2013-11-24 21:46:24+01:00","Added missing change from previous commit, fixed player control background color.
"
"cad94167ef1fd4f7cd2092bf8f5a114a1dff7e07","2013-11-26 03:39:00+01:00","Added playback time texts to control view, slight layout changes.
"
"5b1b5390836b8674e0e7bc50e17fb7bcdba88a1c","2013-11-26 03:45:39+01:00","Adjusted activity launch mode.
"
"484fbe3bddef6df831458d1bfdf958f0d079b3ee","2013-12-10 00:39:05+01:00","Fixed notification being permanently updated.
"
"99f72ee862c1996ca3e0a393aa5b492925e6c3e1","2013-12-10 01:16:30+01:00","Fixed controls overlapping playlist.
"
"8a08fb00ec2db80ff790fee000437521302fd661","2013-12-10 19:44:28+01:00","Changed playlist to automatically scroll to current item in playlist on change.
"
"cc2fda01661d693c3cf12e39227d7ceb5112e6a0","2013-12-10 20:28:40+01:00","Changed notification to always shouw route fragment.
"
"8bdbd40c7cd32fb0e2ec1ed7c3430615d0daf1b7","2013-12-10 20:30:46+01:00","Renamed 'renderer' tab to 'route'.
"
"bb2d3854604a4d938894dbda6a4cd59a05017aa7","2013-12-12 12:49:50+01:00","Fixed RouteFragment to show correct empty view when showing playlist on start.
"
"d2a8aeeb343ae0be833370f71127da4240f28c64","2013-12-13 00:57:18+01:00","Fixed crash when exiting app during playback.
"
"5694d4566000dda85f4f433135d3553ec25210c3","2013-12-13 01:02:29+01:00","Fixed BroadcastReceiver being leaked on exit.
"
"90cec806ae7115743f88106429142720875557e8","2013-12-13 01:08:17+01:00","Fixed another BroadcastReceiver leak.
"
"6eab372680dab257104c189d22bd3f36c057e4e6","2013-12-13 01:18:05+01:00","Restore current tab if app was killed by system.
"
"956a16c5cca8a25e1a91de28ca99d09d20b7c253","2013-12-13 17:28:16+01:00","Fixed notification not showing after resuming playback.
"
"33c6eababa70565bdc52b474e73f20ab24c1b776","2013-12-13 21:14:42+01:00","Refactored ListView mode changes into seperate methods.
"
"d950487610af0fa17f8cb8d5370827f37e026481","2013-12-16 01:21:58+01:00","Workaround for crash when Windows Media Player is active.
"
"24e2b7c0ed9fd870c1d4042bbf37609b422890d5","2013-12-16 01:37:42+01:00","Fixed crash when disabling wifi.
"
"ea903376028bc26892f124582307b10b194c0007","2013-12-16 01:45:51+01:00","Fixed playlist being aligned to screen bottom.
"
"1cbee26731167dedb27edcddc8520f6ac98c0c8e","2013-12-16 02:23:48+01:00","Fixed crash when playing to XBMC.
"
"e94991c85ab3aaf9c120708f343a0af6774a4978","2013-12-17 11:33:05+01:00","Fixed playlist layout (again).
"
"82bb045911700b633789300838e4e09e8bc80263","2013-12-17 16:16:59+01:00","Fixed server icons flickering.
"
"0090dbb1075b899dad01008a96ed84a986b22453","2013-12-21 21:12:16+01:00","Changed some strings.
"
"0cbb178188d767a6c8ccc89079b4ff25aaa4d9ba","2013-12-23 20:10:57+01:00","Adjusted license file.
"
"3805ab18f9146b93d6510f5368d9d7f7094e7556","2013-12-24 17:28:10+01:00","Added project.properties to .gitignore
"
"b86bf827f0de2ec6d005bf477c038f18205433e6","2013-12-24 17:28:42+01:00","Updated targetSdkVersion to 19.
"
"e31747e44b68ffbb839013d32ec3d303254e6b1c","2013-12-29 19:31:42+01:00","Added shuffle and repeat functionality.
"
"104464713f5ff9d4bdbbbb09d470f9889839cc29","2013-12-29 19:38:21+01:00","Changed next button on last playlist item to stop playback.
"
"7f5a1f14968a9ab1dbb72d3c95a196970f81234e","2013-12-29 19:50:16+01:00","Changed behaviour of 'previous' button.

Single tap restarts current item, double tap plays previous item.
"
"81e9383dea89a3a69c4188d5fa938354853e3c83","2013-12-29 20:47:19+01:00","Bumped version to 0.5.0
"
