"commit id","commit date","commit message"
"2ca021a2898465207d35e1b6be78d971a78258f2","2016-02-05 15:52:46+01:00","Fix typo and capitalization.
"
"2c6dec7c5c8342ac79ea6fcaee2a3a9ef038049f","2016-02-05 15:55:09+01:00","Merge pull request #159 from johnjohndoe/minor-typos

Fix typo and capitalization.
"
"e162f1c5548fdba2588ed6578a8d9276f1bafd8b","2016-02-12 19:14:16+01:00","Add Catalan translation and update Spanish.
"
"2ee06fa0ee607f28755d224e79fbad29e13761af","2016-02-14 17:44:10+01:00","update toolbar and notification icons to match material spec
"
"00454223d137b6dd91d4a7b8fbf28b728c2148c6","2016-02-14 21:51:16+01:00","Merge pull request #162 from cbalster/icon_update

update toolbar and notification icons to match material spec
"
"0172b884f74c8ec8fdf9da3e6467b07e7e2e7e60","2016-02-20 22:51:15+01:00","escaped apostrophes
"
"39846b7f840c0c6642829f3c00eb8f967af4f59f","2016-02-20 22:59:53+01:00","Merge pull request #2 from stephanlindauer/rodrigoaguilera-develop

escaped apostrophes
"
"46a33ca62cebf14484f8e1ea6bb00e9a74463429","2016-02-20 23:09:16+01:00","Merge pull request #161 from rodrigoaguilera/develop

Add Catalan translation and update Spanish.
"
"8f9fe1461ad9b9c838111cdb56853fce32864705","2016-02-28 17:39:53+01:00","Merge pull request #164 from criticalmaps/develop

release 2.2.1
"
"4416599dc30f0f3ad4c4a62ea51735fa5ac9e39c","2016-02-28 17:48:59+01:00","release 2.2.1
"
