"commit id","commit date","commit message"
"782b5cf4b6edea79e2358f1a035ebd3a06887585","2011-01-04 03:42:50+00:00","Initial directory structure.
"
"0a309068a0e5935ede2659db8e8d100af11e3bba","2011-01-04 06:21:05+00:00",""
"4c93f4e5f9e2ea25967fc904bf2d17f918f74c86","2011-01-04 10:16:18+00:00",""
"eff49a969e27b655e237ccec8142cd77ca50a1aa","2011-01-04 16:11:30+00:00",""
"b247d1e7dfb7a3e6b01c50dd249ed20441ee3c08","2011-01-04 16:13:13+00:00",""
"1a797bbc372f877dff57675ccfffd37418410274","2011-01-04 16:25:43+00:00",""
"aadbca47f68b1c89ae50eac336b3ab80d15190c7","2011-01-05 06:23:44+00:00",""
"dab1947569ee2ba02f5a42e868437b87cb322224","2011-01-05 10:24:08+00:00",""
"3bc10645269c0f432dc41febaa042b5b1804ecd9","2011-01-05 10:33:15+00:00",""
"0bbe27779726197fd21b3fc00e148e007d4e32e3","2011-01-05 11:07:38+00:00",""
"c8a2e670651757843cf06808513f4cccd8d70b58","2011-01-05 16:20:36+00:00",""
"6cf4c7176716de3dcf8dde5eb71a32894205cb18","2011-01-06 05:54:56+00:00",""
"d8a9aabf56dbd7e98fe22daa38888ae54ac9edd7","2011-01-06 09:21:39+00:00",""
"2e0ac63824e0b682b246cf51fd704853e9b784e5","2011-01-06 09:25:45+00:00",""
"2087ac015f45744e1d054737639b4b9950316d0c","2011-01-06 10:36:32+00:00","preference activity
"
"04f3d20d02d935398aac93c05e4234bf88924c6d","2011-01-06 14:08:25+00:00","add cvs jar and test
"
"95b4181361e6b3c6f593ee69d296a1db9009c4ae","2011-01-06 15:35:29+00:00","account id should combine with type and name
"
"02133e56afefbeb609bba2878ddc53a19aedfa58","2011-01-07 09:42:34+00:00","desktop activity ready
"
"4cfe978716fefdb86cdc487798b41608835c15dd","2011-01-07 10:51:11+00:00","gusy indicator
"
"615f3bd55f081a32aea4dd4050851a9226fcd825","2011-01-07 11:00:52+00:00","fine tune
"
"eab578542c0748ef9ae4dfdc5d05a9a6e686195e","2011-01-07 13:30:41+00:00","export scv to sd card
"
"cb27d8fc67e5adb06ea2dfdb38b520f51c9fda2d","2011-01-07 16:47:10+00:00","v1 of detail editor
"
"f844b913d9d7ba05560e76ee600d771efff3f79a","2011-01-07 17:22:51+00:00","date picker
"
"2d65256e53008c57fd337b43155d6ea1ea4cd42f","2011-01-08 03:17:58+00:00","tune code of listener
"
"dbe167a19a70be30b4921c246596be3de7d04f26","2011-01-08 04:21:36+00:00","data provider api for detail
"
"85fc06906aa125685e165831f11cc0a49e494ce4","2011-01-08 07:13:37+00:00","refine dailog
"
"3b8e8eeb51e24bb27279fab23c2578f67b19b408","2011-01-08 08:27:27+00:00","sqlite data provider for detail
"
"9bc82a07e3daedeacad4a627c4adab7ed5015829","2011-01-08 15:17:09+00:00",""
"c7305461d9d0e01e337dfada7fc93cccebf616ad","2011-01-08 17:09:46+00:00","cud of detail
"
"b772ac5c1e0d485cc64185238297567724f5faf4","2011-01-08 18:37:29+00:00",""
"449bd0b424f29ce2cf143da00c8796031f9dfb31","2011-01-09 05:59:15+00:00",""
"a19245fe6ef77943dd8434253fb4a64118a96d03","2011-01-09 11:03:48+00:00","detail maintain, weekly, monthly and yearly list of detail is ready too.
"
"2642e884d523a29c5c18facb99a877a98b838ec4","2011-01-09 14:40:55+00:00","first day of week
"
"aaa4fd91d4654c36d5c457cfb2120320d334871e","2011-01-09 15:28:49+00:00",""
"e84f6761bc78e22985ae57655e4a63eb7d106782","2011-01-09 15:54:10+00:00","0.5 ready
"
"8c502ab3912ec702879bc91a68e4fda457e78cd0","2011-01-10 04:16:18+00:00","some date info tunning
"
"6475ec0f10841cbbb09f1703514769d5b99cc552","2011-01-10 05:46:42+00:00","modularize desktop and desktop items
"
"fc50e80ee1f7c66946151458123acd10d47fa207","2011-01-10 07:26:47+00:00","data maintenance desktop
"
"f7b120f0292eea975c308842575459631fb068a7","2011-01-10 09:20:48+00:00",""
"26b02ba4c866c234fda3d80e05c7c4ae86329d83","2011-01-10 09:49:11+00:00","csv import/export
"
"46b6d9b6d9e9c12f0b930a0a00c5f05997da80a5","2011-01-10 10:10:26+00:00",""
"5cb79c2828b73db9da95275ed3aba19cafb624f1","2011-01-10 12:45:27+00:00",""
"0dad0bb63e8f12e5a8961eb6c6c52e6be8b78bd3","2011-01-10 12:58:18+00:00",""
"a98befd5deb79e3a201e0404bd107bd4dbe3e73e","2011-01-10 13:44:43+00:00",""
"2050d20cf37442eaaa3976285cca2da630bd540a","2011-01-10 14:26:11+00:00","orientation lock issue
"
"7e7a269cc8f4e13e7231e4804aa38edcbe7a6dd4","2011-01-10 15:36:18+00:00",""
"ed2ab483b90dbbc712e6d9aa8d115a79c34004cf","2011-01-10 15:39:10+00:00","0.9.0
"
"69e5fca064119b94e1be61da1243dae16036431c","2011-01-10 17:08:50+00:00",""
"e261f7faa5bf3f5743cfc27da1869b1daeed98ad","2011-01-11 13:18:13+00:00","* 3 Add new account type Liability and Other
"
"75edeb3ef14b62b417bb8853d6beb142e6b8bcf8","2011-01-11 16:44:43+00:00",""
"724ba29508636f070f22c90da4f854351d3b3818","2011-01-11 17:33:26+00:00","6: Backup csv when do export.
"
"d53068e71a09a9513c36947e050f91bc13405523","2011-01-11 17:44:28+00:00",""
"328753481241ba32520840cb383c6a346874b652","2011-01-11 21:28:31+00:00","detail to color, csv backup time format
"
"270adbdbd56e2d0be0a5bd605a9d32edc27f9909","2011-01-11 22:06:41+00:00",""
"fa2ff2d9c65b0968cba3da3924606107bd941f97","2011-01-11 23:27:15+00:00",""
"7260ee37d8d2c0329fc3419e6d22d38e07c1d991","2011-01-11 23:36:37+00:00",""
"d65bc191219d0ce4afc6772db55a234e15f1f6df","2011-01-12 06:43:28+00:00","move some packages
"
"036a2c8f0c278e436e652b1862095e7b75809647","2011-01-12 08:56:04+00:00","7: 	Support back(share) CSV file by email
"
"d2100920afb9e81672787a065196aac32d985b8c","2011-01-12 12:33:04+00:00",""
"adbf87d600eecc34545dc83a5d5ea606c1b0ca3e","2011-01-12 15:37:16+00:00","calculator activity
"
"ba0de5915dccb978cec1473d270c00edba3ffa70","2011-01-12 15:37:56+00:00","calculator activity
"
"28c839834f28a6f5755a1ea8b1773e6001cd4792","2011-01-12 16:13:13+00:00","add calculator activity
"
"d6be6620548299dd66f6e2a9942ecaee7647b2d3","2011-01-12 16:15:28+00:00",""
"90e97b80e148c258496b3fdb2f806229e5a9e384","2011-01-13 14:47:49+00:00","reactor calculator
"
"37154260cbcd3a33c40f80738c324c620d14896a","2011-01-13 14:48:46+00:00",""
