"commit id","commit date","commit message"
"49d443cfd333cfb6328cc6ae86f79a113c4ca570","2014-03-06 20:58:38+01:00","Gradle:  Regroup libraries versions
"
"41dae2f81aa0a57d919993ef8ca5b7fa78b21173","2014-03-06 20:59:06+01:00","Build tools + Gradle plugin update
"
"8e9c7a238d254fa9a874d5ff742588c76417370f","2014-03-21 22:09:12+01:00","Arborescence Android Gradle standard
"
"89781953ccf5be67143348f5e24bc3b64bec4790","2014-04-07 22:26:08+02:00","Compilation problem correction
"
"7824a7114620b102eb310e77dc7c3b4bd8fb9e54","2014-04-07 22:27:48+02:00","Merge branch 'arbo'

Conflicts:
build.gradle
"
"d9e7ed51a573115ed2e28f1a4c6d11b5c46f5b6b","2014-04-09 00:17:52+02:00",".gitignore
"
"c1d079b3b32b13d8aedf4168a4649341e5283ffd","2014-04-07 23:00:56+02:00","Refactoring: move prefs constants to SettingActivity
"
"d2d59cbd9ecda9d97ee96b57af148eeb6e2ba447","2014-04-09 00:46:51+02:00","Better error handling (do not crash)
"
"35693e9c3454b34abee9b519589ffd2e2ab8a1d7","2014-04-08 00:19:57+02:00","DEBUG: Retrieve information about parsed contacts
"
"44b27603bce17d7a45c1a599c697baf762e3f9d1","2014-04-09 00:40:36+02:00","DEBUG: Prepare email with debug information
"
"1a8a5236056b118c787d4e4fdfe6c59f1ef003db","2014-04-20 11:11:05+02:00","DEBUG: Disable debug mode after sending the email
"
"eb500b42350bd8ea0f3712e1b74d05289b416d8e","2014-04-20 11:23:36+02:00","DEBUG: debugMode build flavor
"
"9dbe5a508d2b6483db1268e11f3fd6dac699d373","2014-04-20 21:39:47+02:00","versionName is flavor-dependent
"
"8e7a9b87a6ba3263295f1600dbf410dc6e570634","2014-04-20 21:55:38+02:00","DEBUG: Correction email destination
"
