"commit id","commit date","commit message"
"e04d2fe9ec8e694f899217dce065feaf4bf2a641","2014-01-12 18:07:09+01:00","Link to Play Store
"
"0c4d559a773a544ed00829459536834dbead14fd","2014-01-21 01:19:34+01:00","#15 Add optional mobile network support
"
"c48a2cfd08919e5e3f99484df9641eb6b9558bd1","2014-01-22 22:16:58+01:00","#20 Fix issue icon size on narrow phones
"
"8452fec7ace09f6ab041b37588bdeba760504db6","2014-01-24 20:28:48+01:00","Add checkbox for selecting items
"
"eb6faa4695fb4468d2c0d40d851ac3a9dbb46a52","2014-01-24 20:49:08+01:00","Use delete button instead of checkbox
"
"d82c2d227aef27d98da3db503b0ea976b3ea0bdb","2014-03-09 20:02:37+01:00","Smaller cleanups
"
"0c9e4295739908cf182b4930d49698fa18d883c1","2014-06-03 22:52:04+02:00","IntelliJ update
"
"cdf970375d5a8ab624f71a76f8aa79213534122b","2014-06-03 22:59:26+02:00","Merge branch 'checkbox'
"
"6fc1aaefcb8d3410e7d5ec7170a912cff7275665","2014-06-03 23:04:10+02:00","Updated Android Support Library
"
"5ac74a81e23d8d85b14ee5493495e54ebd3f87b4","2014-06-03 23:04:51+02:00","Updated version to 10/1.1
"
"f7665457c85556c9cf867b6b2c4d186fe0c65ca6","2014-11-21 12:48:40+01:00","Bugfix for Android 5.0 Lollipop (API 21)
"
"15147c69b2e029f299ed927bfdf78fd23fd5fa95","2014-11-21 13:36:03+01:00","Migrated to Android Studio Gradle based build system
"
"372b6d0b7a1fd3b1865b1baf705360c4e11a604b","2014-11-21 13:45:38+01:00","Use Gradle for library dependencies
"
"bbb75ead8ae2d6cda01de1d55e1337419c67b8a4","2014-11-21 13:59:54+01:00","Removed invalid test class
"
"9afb20c483d96e15661e32b607446fad84d07836","2014-11-21 14:06:00+01:00","Depend on v4 of the support library just like before
"
"72605919826864eccf15a70f3f3b870de49ae4fe","2014-11-21 14:06:33+01:00","Removed app version and SDK version info as they are manged my the Gradle build script
"
"c533b0f542ef84ecbc6e2ecdf4d994f0158dcb7d","2014-11-21 14:49:04+01:00","Exclude duplicate files in JARs to fix build
"
"3fdcc8a7d89c1d3cd7d086545370859e5733866d","2014-11-21 14:51:37+01:00","Merge pull request #22 from Chnoch/master

Remove explicit setting of the week start day. Bugfix for Android 5.0 Lollipop (API 21).
"
"1eb5b65a80a9ddcccbaddd41adca1d0daf460fa6","2014-11-21 14:52:17+01:00","Merge remote-tracking branch 'origin/master' into android-studio-migration
"
"26d59893eea684499e2c22fbb1744a3ee588013c","2014-11-21 15:08:33+01:00","Merge pull request #24 from notizklotz/android-studio-migration

Android studio migration
"
"6da5a278a8897fa767d1058d626cdb862a2c91c4","2014-11-21 15:13:22+01:00","Increase version number
"
