"commit id","commit date","commit message"
"15b3e0d32e9c992605e6b366c643f672c5f67938","2015-09-09 22:21:53-03:00","Initial commit
"
"bc1b696c9d6fb43327b7f30f213ffd22fabb32fe","2015-09-09 22:26:39-03:00","suporte a: videos fullscreen e modo paisagem
"
"e0d7ce6ff6adc02fe88e296974e85b3ce6086849","2015-09-24 21:55:56-03:00","Menu de navegação no aplicativo.
"
"431b5ae06bcd3435a5003fbfbb37ce3ecc5dc9c1","2015-09-24 21:58:30-03:00","Menu de navegação no aplicativo.
"
"2482b0b81889e4760058613385bca63357c505f1","2015-09-26 15:51:41-03:00","Compartilhamento
"
"dbb68029fbbe93f277be03fe06878c8aea351c50","2015-09-26 16:33:19-03:00","Compartilhamento
"
"20d392ed121c99ea64bcad229237b6d0f354d041","2015-09-29 12:01:48-03:00","Create README.md
"
"10d846991c3abae221f9336cfa2597065006ee03","2015-09-29 12:02:16-03:00","Update README.md
"
"ed0b494d2382fd7faaaea0ebe12c14d61b886bc3","2015-09-29 12:02:37-03:00","Update README.md
"
"9d3bcf926d0a6acb88c716950172e1b42f7f88f3","2015-09-29 12:03:35-03:00","Create LICENCE.txt
"
"849324d99e89c41e3fb8115a2693fa4a39912e0e","2015-10-21 14:02:31-02:00","Update README.md
"
"3dc42091e111a01dd0806c69307c8ef6d46060e7","2015-11-02 19:19:39-03:00","Configurações do projeto
"
"21f0f888ab6e8dfd89796a8162c01f12c508efda","2015-11-02 19:21:16-03:00","Adicionando gitignore
"
"d7851b4a512680dcb069de35c249ddea5cd816a3","2015-11-02 19:27:56-03:00","Refatorando a código e o layout da splash screen
"
"c02d3a76743aa74c729d347a980c1c7509fe4db6","2015-11-02 19:38:40-03:00","Criando a arvore de diretórios e finalizando a refatoração da SplashScreenActivity.java
"
"d5ba67c009a813fb0c9964fdbc228a15cff2261c","2015-11-02 22:22:24-03:00","Refatorando a MainActivity, movendo menus para arquivos de menus e movendo a classe MyWebChromeClient para uma nova classe que agora se chama DIOWebChromeClient
"
"01be9b0f823b5cd07122b251c525f0c6ea93fabd","2015-11-02 22:39:13-03:00","Refatorando o setup da webview e movendo DIOWebViewClient para uma classe fora da MainActivity
"
"daf4abe57fa1fc5692fad7949e97cc6eaa545ef7","2015-11-02 22:45:32-03:00","Removendo o compartilhar do fim do carregamento da webview e apagando o helper de compartilhar pois o compartilhar está sendo usado apenas na MainActivity
"
"951389e115e1c91f0982794d97b8dc5e30da7925","2015-11-02 22:57:30-03:00","Refatorando o dialogo de sobre
"
"117f39692fd9b9856b45f254d74e546d803a35d0","2015-11-03 00:09:26-03:00","Criando um tema para o app e refatorando os layouts
"
"4f8d0277118c1406d1f3aab94ef844aa59aa8f08","2015-11-03 00:11:41-03:00","Arrumando o titulo da toolbar
"
"8e98dd0595b55c8421af31342d4f7be65972a53d","2015-11-03 00:15:52-03:00","Atualizando as versões do app, sdk e dependencias do build gradle
"
"0a38cddcb2f64dd04761d760355684903a18bb65","2015-11-03 07:21:12-02:00","Merge pull request #2 from jackmiras/master

Refatoração do código, obrigado por contribuir.
"
"3d098098e3a4ff2d03932bc771b29cbb5bbdb337","2015-11-11 21:39:22-02:00","Update README.md
"
"381995cf81986bf0858f363db612818190f2e342","2015-12-31 18:18:18-02:00","Compartilhamento
"
