"commit id","commit date","commit message"
"2246b54ee6716d74951492724f04a591e33d7e2d","2014-01-12 03:51:32-08:00","Merge pull request #396 from hurzl/cache

Remove  albumartist option and use album cache
"
"b1f9cb9dd3cab00593118ed695e30e41fda0e4b7","2014-01-10 21:13:32+01:00","Locale-correct Item sort and Unknowns to the end
"
"fc7927bdc439c7fcf091fed59bcbcaae3baab7a2","2014-01-12 04:24:54-08:00","Merge pull request #420 from hurzl/unknowns

Locale-correct Item sort and Unknowns to the end
"
"ad2bb9b7fd01d6094ae3ef304da84998aabec691","2014-01-10 11:10:49-08:00","Return extractImageUrls() with a type-safe emptyList.
"
"cdb1506483d6cb1ddd12864d1d37f470fb968294","2014-01-10 13:10:42-08:00","Remove depreciated DSLV constructors.

Since DragSortListView is unmaintained now, it's good to just go ahead and
remove the depreciated (and unused) constructors which emit useless warnings
rather than even supress them.
"
"2a232e3bf5f98636a6f4621bd550b98c62839e12","2014-01-10 16:37:11-08:00","StreamingService: Remove old dead code.

By 'old' I mean anything over one year (or trivial) and most of the dead code
is from 2010.
"
"4863763237943d5303a4b00b88e1de93e47607d9","2014-01-10 17:02:31-08:00","StreamingService: Prefer explicit imports.

The Android Team's Code Style Guidelines for Contributors says that explicit
imports must be used, and I think it's good common sense stuff.
"
"5df6a6c27f67ca3b48c92d31cb5fa54b9e75f031","2014-01-10 17:09:09-08:00","StreamingService: Initialize remoteControlClient as RemoteControlClient.

Since we're beyond API 13, RemoteControlClient can be used rather than a
more generic object.
"
"33dd68f4b8050172fd9a261b9d4491c8a40176d5","2014-01-10 18:48:01-08:00","StreamingService: Add copyright header.
"
"5cd77fe9d0ff5e7faf1971f64a2e8ed0cc230498","2014-01-10 19:53:00-08:00","StreamingService: Remove onStart() stub.

onStart was depreciated in 2.0, should have gone away by now.
"
"5da40a5b25de7cc9e73979e17e363a53c72320cc","2014-01-11 12:07:41-08:00","StreamingService: Explicit try/catch & remove/reverse conditionals.

The point of this commit is to remove the deep layers of nested conditionals
inside showNotification(). This will make this member easier to read and
improve. I do this by removing unnecessary conditionals and reversing/returning
conditionals as required.

This commit also removes the try/catch block which encompassed the entire
method. If we crash MPDroid because we're not handling exceptions, we need to
handle them and not paper over the problem, IMHO.
"
"a9b3152da260200cde218a07f707ba0d548e48ba","2014-01-11 12:33:45-08:00","StreamingService: Don't assume that album, artist or title exist.

MPDroid's old behaviour when adding the album, artist or title to the
notification panel is if it's null the notification panel would print the
string 'null' to the notification panel.

The new behaviour checks for the field first, then is either omitted, as is the
case with album or artist, or is substituted with filename in the case of
the title tag.
"
"3ee380c31e526184e0d147325beecb1e75f975e9","2014-01-11 12:40:00-08:00","StreamingService: Rename a couple of local variables for readability.

Rename resumeStreaming() to beginStreaming() and oldStatus to prevMpdState
to improve the logical naming. They make more sense to me, I hope they do
for you as well.
"
"79230ef6ce0a8e9869e2bae396f383012eae2e9b","2014-01-11 13:29:21-08:00","StreamingService: Move all stubs to the end of the file.

Take the stubs out of the body of the code to increase readability.
"
"936d8746687f2cf5c5f2ba8c456717485dbf9c0a","2014-01-10 20:30:57-08:00","StreamingService: Comment additions, cleanups and breathing space.

Add a few comments here and there, clean up some old comments and add some
space to increase readability.
"
"6537e63a8386f862e829a3cc391004f0ddf4b34c","2014-01-11 14:22:39-08:00","StreamingService: Move coverart notification to it's own method.

Move the coverart stuff from showNotification() to it's own method. Also move
the MetadataEditor to the proper method, setMusicInfo(); this clears up a TODO
and should make things a little more clear for readability.
"
"dbd28dfe4fc33ea693a833743e4092e6636cd851","2014-01-11 13:40:30-08:00","StreamingService: Remove a couple of nested blocks.

Removing large nested blocks improves readability.
"
"65e64b9be0b7d7b3e3c6ed81b71449eda50c372a","2014-01-12 05:14:39-08:00","Unused import and local variable removals.
"
"71a3b789bce3fb4650612abe78f9987d925c849c","2014-01-12 07:32:08-08:00","Merge pull request #422 from avuton/master

StreamService & various warning cleanup
"
"00fbcf4b03bd1d022dabf17674d7c9eb9730deeb","2014-01-12 18:52:39+01:00","Use GraceNote for covers only if the user set one.
- Request quota exceeded for the shared gracenote ID.
- Fix a NPE in covermanager
"
"f4cbbff4f6506b3acffd719073deefc34cea2700","2014-01-12 21:07:51+01:00","Reindent, reorder impent and reorder members of MPDroid.
"
"251f068a9558297c7a11b99cdb0dc1e4502102c2","2014-01-12 21:10:59+01:00","Reindent, reorder impent and reorder members of JMPDComm.
"
"92aac8f663c15cc894ce496308ddd24f1ab46208","2014-01-12 21:12:14+01:00","Reindent, reorder impent and reorder members of JmDNS.
"
"fa83cc2f46ea6337db61415e3342bcb5e89ac137","2014-01-12 21:23:43+01:00","'sort()' made it look like it sorted whatever was the class. It merely returns a string for sorting that class, so rename the method to reflect the true meaning of the function.
"
"495bb93f304333975c5ea4369829fd6068ea6013","2014-01-12 21:35:30+01:00","Fix some warnings
"
"3ed08dd7063167513572f1b183841178cafb7813","2014-01-12 21:37:13+01:00","Small sorting issue
"
"cc0ab66418f9db6294491ee568b0b1d51c5be6f8","2014-01-12 13:16:35-08:00","PhoneStateReceiver: Remove a couple of nested code blocks.

Remove a couple of nested code blocks to improve on readability.
"
"b4bcc624c629ad5a130deb10495b4791251b12f9","2014-01-12 14:15:14-08:00","Add copyright header to most java files in the repository.

This also adds some fuzz from the the Android project formatter. The only
headers which are not added are ones added from other sources. It's probably
legal to add them to those files, but probably unnecessary.
"
"713453444d1d96738de29424ef416d6719ddc9bb","2014-01-12 15:00:52-08:00","Merge pull request #425 from avuton/master

v2 Add copyright headers
"
"6472177bed7b5dadac6f42fa1625115ae50319c8","2014-01-13 00:06:32+01:00","More reindentation
"
"0efcb16f11bab93d257e8bd3b0d4d18bd3bd26ea","2013-12-31 15:22:42+01:00","switched to gradle
"
"14f6eebc769e3d5372753f43e40bae5dcb5f689b","2013-12-31 16:00:10+01:00","updated IDEA files
"
"da65956d1daf71f4ffefbb3fc5476297b9801f44","2014-01-01 17:19:27+01:00","fixed some gradle stuff
"
"b80c8e11921602cd665e6f6e789b38a5ac9ce7da","2014-01-13 23:43:45+01:00","Remove ant support : Goodbye old friend !
Android Studio can now open MPDroid.
"
"bdeeb29930ec40bafd6f77dec55ea0b2122b12aa","2014-01-15 03:41:12+01:00","Delete misc.xml
"
"9fd41b92cb06ed1f220e69c0ce23a3cbfc8fc519","2014-01-15 18:46:18+01:00","Remove support lib. Gradle provides an up to date version of it
"
"e452a13c4024701e0e2d17c6be87f6f3c1353dbe","2014-01-15 20:53:22+01:00","Remove JmDNS project
"
"018f5d978b4c473413ed3f378a2387b7f91c1594","2014-01-15 21:05:40+01:00","Remove .idea/libraries folder, it causes problems.
"
"f669301c18ee71329eb7d413a0ed220ee6d659a3","2014-01-15 21:05:58+01:00","Clean gitignore
"
"c931db6a1b85525fa5de793f43f81e9683d93d93","2014-01-15 21:07:06+01:00","We don't need eclipse files anymore
"
"5bffa3799999fcf250a69a8ec5db492763b0c671","2014-01-15 21:13:45+01:00","Small JMPDComm fix
"
"e323fd507975572afb8279a069478922b2335440","2014-01-17 01:11:20+01:00","Added kitkat swipe for popup menus on some. Does not work well in SongsFragment when in portrait ...
"
"54bdd703d1b624b6016db23a03dd468a19784523","2014-01-17 01:21:17+01:00","Layout had different classes for the same ID when rotating, causing a state restoration problem.
Fixes #391
"
"874350903935647515e6950bfaed927b13a94eeb","2014-01-17 01:56:44+01:00","Fix many lint errors.
"
"029887cb7f77d4ec242e47f01235b86a99f5b844","2014-01-17 02:04:22+01:00","Workaround a lint bug by setting JMPDComm to the same minSdkVersion as MPDroid
"
"4f11b47dde330b53a3b330721df2834c78f36271","2014-01-17 02:04:54+01:00","RIP uses-sdk, replaced by build.gradle :)
"
"b177f1aae47ac206314a752c5eaf709a76ceb3ed","2014-01-17 12:06:08+01:00","Content description isn't that useful here.
"
"a9c39b0216005f2c0ce0b8f450379fd10ba00d97","2014-01-17 12:22:36+01:00","More performant song_list_item layout
"
"62ae6745bf2c8697999e35e66a113b20cd0b7f3f","2014-01-17 12:26:04+01:00","Move drawables to the right folders
"
"c9379752995f4a234312ee4e5902cfbe674adbcb","2014-01-17 12:34:07+01:00","Fix lint errors (CompoundDrawable is safely ignored. In these cases the layouts cannot be replaced by textviews with compound drawables)
"
"bbfee4efa9fcd01ca45a76826befee66ba615e91","2014-01-17 12:35:25+01:00","Ignore InconsistentLayout : Android Lint does not detect that the other layout includes the same songs layout for portrait.
"
"2555feda9d1b4c41c4604268570212fd9041f702","2014-01-17 12:39:07+01:00","No mini player in landscape mode
"
"82f6a95710291b5b90bb18fb88992d8145a4a036","2014-01-17 12:42:28+01:00","Rename card overflow button (also used in lists, but originally intended for cards) so that it does not violate the naming convention anymore
"
"5713287d5334efc30add139b72ceb5f0f4bb89f8","2014-01-17 12:44:52+01:00","Change nodpi drawable size to remove lint false positive (it's a false positive but it's useful in our case)
"
