"commit id","commit date","commit message"
"0606a766a2fceb355d39d82f304e9e1dcf00d87d","2015-05-01 23:51:38+09:00","Upgraded SDK to v22

* Upgraded `compileSdkVersion` and `targetSdkVersion` to 22
* Upgraded `buildToolsVersion` to '22.0.1'
* Upgraded Android support library to revision 22.1.0
* Upgraded Gradle plugin to version 1.2.2
"
"0f8808974ae349b28cb78b0f7f027207c55ce127","2015-05-02 01:50:51+09:00","Split apk for each ABIs
"
"804b557ce4cf210edf7c8a20ef52524498448576","2015-05-02 12:44:02+08:00","Update the version history
"
"1d0d4e692e8f6c2d009e325ddea690d361a4c909","2015-05-02 13:02:58+08:00","Update strings_preferences_ui.xml
"
"f7adb3c2d6d5dd3648c7c1d90da5f12ec66a940e","2015-05-02 13:05:05+08:00","Update strings_preferences_ui.xml
"
"f065c3095936ac89a847762dee6bd87b6ea6c55a","2015-05-02 13:18:09+08:00","Update strings_preferences_ui.xml
"
"2385e945b48c7a8b761b7f3cab98c9371edb3441","2015-05-02 08:33:33+02:00","Merge pull request #100 from KrasnayaPloshchad/patch-1

Update the version history
"
"bc89fc3714d197e83a2ab0ee016709c5a07375b1","2015-05-02 08:35:03+02:00","Merge pull request #103 from KrasnayaPloshchad/patch-4

Add more Korean localized names for UI language settings, looked up to the Wiktionary.
"
"e5a991dc714fe4de07757802f9ee1e401e542aba","2015-05-02 08:35:10+02:00","Merge pull request #102 from KrasnayaPloshchad/patch-3

Update strings_preferences_ui.xml (Chinese 'Simplified')
"
"a14d56b3d3a4b5f95f828c7e50959d9db50596c7","2015-05-02 08:35:54+02:00","Merge pull request #101 from KrasnayaPloshchad/patch-2

Update strings_preferences_ui.xml (zh)
"
"8b08741ab1b5c13d650cb6c0d51fdcbac95a3fed","2015-05-02 08:47:20+02:00","Merge pull request #99 from sss/feature-split-apk-for-each-abis

Split apk for each ABIs (and upgrade SDK to v22)
"
"23f8474ec5924f16a11f8fb3821b49aa1b0df01c","2015-05-02 21:47:12+09:00","Add EPUB file type to file browser preference
"
"834a694c5cd6ffc1108eb831b16ff29756e53b8c","2015-05-02 16:57:28+02:00","Merge pull request #104 from sss/feature-add-epub-file-type-to-file-browser-preference

Add EPUB file type to file browser preference
"
"0fb2447abffbb8b665bef32f6cdd99e7c7728dc8","2015-05-05 16:38:23-06:00","Support FZ_LINK_URI links in pdf documents.

* Modify MuPdfLinks.fillPageLinkSourceRect() to fill in the link rect for any link type, not just FZ_LINK_GOTO
* Check link.url in AbstractViewController.processLinkTap(), added a goToUrl method to open the URL.
* In MuPdfLinks.getPageLinks(), always set link.rectType and link.sourceRect
"
"a59213b14ecafc2f9075dce1e0246b748fc927be","2015-05-07 13:59:29+02:00","Merge pull request #105 from ericwa/url-links

Support FZ_LINK_URI links in pdf documents.
"
"c5431fe60ca0fae43c78f89274211bb3de81304a","2015-05-11 00:06:21+09:00","Upgrade MuPDF to v1.7a
"
"73db24a8a245df19e2c8d3c2ce610eea21292e6e","2015-05-11 00:14:18+09:00","Upgrade targetSdkVersion in AndroidManifest.xml to 22
"
"a22a676a6c925f68ebeb0751afb3c97701071cf1","2015-05-10 23:06:46+02:00","Merge pull request #107 from sss/upgrade-mupdf-to-v1.7a

Upgrade MuPDF to v1.7a
"
"dd5b6c2dbf33af32142139e84f773e75b045c893","2015-05-10 23:06:50+02:00","Merge pull request #108 from sss/upgrade-target-sdk-version-to-22

Upgrade targetSdkVersion in AndroidManifest.xml to 22
"
"253a906eb6452906eeabe2fdb8acc782973ae310","2015-06-23 13:17:43+02:00","Check the right outline flags, fixes #48.
"
"4d5f3026af5bfe937790a0076cdf010315bf63a3","2015-06-23 13:24:04+02:00","v2.7.2
"
