"commit id","commit date","commit message"
"7c4b069856158c570a441a767d84b9fe9c1a817b","2016-05-01 17:25:31-07:00","automatic changes
"
"3e9dffa961b199db766fc40c8f1a49cda1cd9073","2016-05-01 17:27:18-07:00","add localized graphics
"
"00051aa83fa3e731871d25c39ac5592b5df9cbdc","2016-05-01 20:05:05-07:00","fix screenshot orientation
"
"18f2b4ca99b736536ca7002d1332a59df322e9b5","2016-05-01 20:06:12-07:00","add store automatically translated store descriptions
"
"9ec8474b4ef464eeb3f7b83845ee4e55d5eabe0e","2016-05-02 12:08:32-07:00","automatic changes
"
"7c3e634560741472838ef34034246744a1295931","2016-05-02 12:11:25-07:00","update name of Periodic Videos
"
"ef6bc9368a686a03c4fc84986aec22b7599ecc62","2016-05-04 11:16:54-07:00","add keywords
"
"f4f26d4607b964ed7a69c68a3f8c3af2aa221c9b","2016-05-20 16:14:32-07:00","update video for Lithium
"
"31ac5e598e20827c1f8fb2180a4bce3bfbbeed59","2016-05-20 16:28:44-07:00","bump database version
"
"a143aaa0e7f2c3400840ee01b8a112cab53be217","2016-05-21 11:00:48-07:00","update support library
"
"613bcf5c4e5d1f6c3ca88747b8d5fc531b6cd1b8","2016-05-21 12:39:51-07:00","use redirect based on element number instead of direct YouTube link
"
"642c0c6c2258628bf1a91f2192a55db8c080627c","2016-05-21 12:40:13-07:00","bump version number
"
"12542972c2586c939a3e7b23b3d63b3a3e5b3574","2016-05-21 12:43:56-07:00","update changelog
"
