"commit id","commit date","commit message"
"51bc6c8aa54dcb4404008b45f635f644c6ceba2a","2012-06-25 00:11:39-07:00","Initial commit
"
"f27945567e3c2c9b9abc334d8a284a43012bca64","2012-06-25 09:14:49+02:00","- Import project sources.
"
"b7d81d11704251af38a40f3e79210704404fb9e3","2012-06-25 09:32:35+02:00","- README file, cleanup comments and code.
"
"85055fea52713b5c1b511ebdfba49d9e1cb5cf5c","2012-06-29 21:25:27+02:00","- Moved all logic into ChangePasswordTask, added error messages, check password before and after changing it.
"
"9ca9249f56649c15d383b6c20c013c78e75dabde","2012-06-29 21:34:04+02:00","-Fix broken file
"
"971c3371d89fa7e52d9e69950bf9ccac927915f5","2012-06-29 21:39:04+02:00","-Reformat, switch on checking password before changing it
"
"b9d24aefac32d530183404c4ab0a54db536ade11","2012-08-22 20:08:37+02:00","- Set type 'password' for password fields, add copyright message
"
"97df69b6da0ed82cc439376530bbff32d6ce66b8","2012-10-06 23:47:47-04:00","- Added BSD 2-Clause License.
"
"ba8ecf8a66c9bca63a2f9163d740f40fc9aa3d98","2012-12-02 16:00:22+01:00","- Jelly Bean fixes;
- Escape dangerous characters;
- Progress report;
- 'Debug output' to ease debugging problems with encryption process;
"
"691b12e9a2867586c0467e8eb4cdb38391d8600a","2012-12-02 16:09:45+01:00","- Actually commit files :)
- Bump application version.
"
"9cf6dfcedc0683bdea94c486d4cd0aba00153c32","2012-12-02 16:11:49+01:00","- Ignore Mac OS X .DS_Store files.
"
