"commit id","commit date","commit message"
"7ec286a44a08a22192079a838d6cc7855be30090","2015-09-11 23:16:32+02:00","Fixed message content types in protocol.
"
"284a4ceb02e72ada4f8fce11ad814e71e6f5ebf0","2015-09-12 20:05:29+02:00","Added FutureHelper to throw errors in Future.
"
"1c48484358f5949fc9c627667622d167b9d36ccd","2015-09-14 03:10:03+02:00","Moved unused method into tests.
"
"cdcf0ace012c39c30cf8981794ce0a95598b30cc","2015-09-19 13:42:57+02:00","Remvoed count parameter from getMessagesCursor.
"
"87632b6225113b62a1cd177f3d9f34cbf0bc7533","2015-09-23 00:21:20+02:00","Added parent activity reference in manifest.
"
"e66bccc044a49bf0110b916353f9c7bdf5518d81","2015-09-22 01:33:58+02:00","Show connections in actionbar.
"
"6042c3fb11c8ae552d307a3bb6b02aceb4711109","2015-09-23 00:31:40+02:00","EnsichatActivity.service should return option.
"
"123c56c322351d3b9710d60e2f77774f877decd3","2015-09-23 00:33:45+02:00","Removed add contact menu item.
"
"b11bf85d9041d2c09e75aa9fabfeb370b35f54fe","2015-09-23 00:46:38+02:00","Changed AddContactsActivity to ConnectionsActivity.

This means all neighbors are shown, not just non-contacts.

Also fixed a bug where the list would not be refreshed when
first opened.
"
"10066b2c834781d7bb584d0e1b7cbe3509a76b68","2015-09-23 00:54:22+02:00","Set input type for name and status.
"
"d64bf41813a30d41a4a88b31fa574329863f420b","2015-09-23 01:01:25+02:00","Fixed username and status not being updated on other devices.
"
"90069917b01cda19a2f1cd5bcd9bf82a363f1a27","2015-09-23 01:07:04+02:00","Bumped version to 0.1.7
"
