"commit id","commit date","commit message"
"5c1e88f7301161e73a82d926681509d260803ba1","2012-12-12 22:31:01+00:00","Initial commit
"
"e5c15d06a63515e541ac3b4782c9420474ebd888","2012-12-14 21:10:38+00:00","Add an 'add show' search item to the action bar

Launches the new AddShowSearchActivity with an Intent containing
the search query. Doesn't actually do anything yet though.
"
"13046402f7dde41383b329df1d40fa3ea4ba0af4","2012-12-14 23:21:53+00:00","Bump minSdkVersion to 11

Required for SearchView.
"
"c38ceaa145808b884b38aed6cd2ecf36f29af795","2012-12-14 23:43:16+00:00","Allow 'up' navigation from AddShowSearchActivity to MainActivity
"
"5a05b44e6b2d8e1aa75b27dc2af51922cd8a7a14","2012-12-16 17:30:34+00:00","Add internet permission to manifest
"
"aa497d38f07617fe6c3bdb37dbe9c6a0c840a394","2012-12-17 23:17:18+00:00","Add function to search The TVDB for shows

Create package org.jamienicol.nextepisode.tvdb for TVDB related code.
Add to it a class Client as the main interface. Its constructor
requires an API key. It has a function searchShows which takes a string
query, and returns a list of SearchResult objects. SearchResult is a
simple class which stores data about results from show searches:
currently the show's ID, name, and overview description.

Create a class SearchResultParser to extract SearchResult objects from
the response. Uses a SAX XML parser with the android.sax utility classes
to help do this.

No proper error handling yet, just logs the message and returns null if
any exceptions are thrown. This needs improved.
No UI to accompany this yet, just the backend.
"
"97312d5a536f18a8bf0bcf4eea39fc0fae784103","2012-12-18 21:33:08+00:00","Search for shows and display the results

Make AddShowSearchActivity call tvdb.Client.searchShows with the query
it received in its intent. Perform the search in an AsyncTask and display
the name of each returned show in a ListView.

Change AddShowSearchActivity to be a ListActivity for convenience.
Results are quite ugly for the time being.
"
"53f937e7fc0aa582fa2ceda400c4c2d9568be71f","2012-12-19 23:12:38+00:00","Use XMLReaderFactory instead of SAXParserFactory

Saves a couple lines of code, and avoids using the javax package.
From reading a few stackoverflow answers this seems like the better way,
if it makes a difference at all.
"
"4d53a073545ae7d5ef071c2e2e9aab0ddd433ddb","2012-12-19 23:51:01+00:00","Spin progress bar while searching

Show activity's indeterminate progress bar (the spinning circle) while
the search is being performed. Hide it when the search completes.
"
"dbea78c2b13226ef8daaf9564adb981d248f313c","2012-12-23 23:35:24+00:00","Fix indentation
"
"22fadc0e636741ff501ce6a9feaae6cea7a73c26","2012-12-24 11:38:59+00:00","Use AsyncTaskLoader to perform new show search

Create an AsyncTaskLoader subclass SearchLoader to perform the search,
and display the results in the activity's callback. Replaces using an
AsyncTask.

This is a simple AsyncTaskLoader implementation, which doesn't do
override anything besides forcing a load to start in onStartLoading.
Plenty of examples (in the docs and on stack overflow) override more
functions, which may be required in the future, but this works for now.
"
"84eebeb710e7393b2f97ab28800ddc70c574f8cd","2012-12-24 15:47:32+00:00","Cache results in SearchLoader to avoid multiple searches

Taken and slightly simplified from AsyncTaskLoader example.
"
"5a245836c5ee1fca6b756cea19d2345ce537e661","2012-12-24 16:40:57+00:00","Spin progress bar for recreated activities if loader is busy
"
"335dbf4a701c98e1a43655326884bb8098431226","2012-12-24 18:08:17+00:00","Ensure that activity always initialises the loader

Introduced a bug in previous commit where the loader wouldn't be
initialised if it had already completed for previous activity.
Fix that by always calling initLoader in onCreate.
"
"ae4295c510cabf7e7c86dd3f3b023f7826f5cc8c","2012-12-25 22:26:21+00:00","Create (empty) shows list fragment

Create ShowsListFragment as an empty ListFragment.
In the future this will read shows from the database and display them.
For the time being it does nothing.
"
"c5c62d7052b610e5c223a414262c205ea7765d52","2012-12-25 22:41:12+00:00","Fixup layout files

Rename files, replace fill_parent with match_parent, and fix XML
formatting.
"
"3423024e87b5066f98e1f94658c4d04c944c6cf8","2012-12-26 22:41:07+00:00","Add ContentProvider for television shows

Uses a SQLite database under the hood. Contains an _id column as a
primary key, a unique tvdb id column, a name column, and an overview
column.

The content provider is not exported to other applications.
"
"4de588e5cfd9bde428bb7543fcffc80d94b70403","2012-12-26 22:48:19+00:00","Add show to content provider when search result is clicked
"
"0ad9317c418b09ee66c31f43a552bf97e1bfa537","2012-12-26 22:49:27+00:00","Display added shows in list

Use a CursorLoader to load shows from the ContentProvider and display
them in ShowsListFragment.
"
"8ded67860cd34f43d0a8c9516178cd3a9310703d","2012-12-26 23:08:08+00:00","Sort displayed shows by name

In ascending alphabetical order.
"
"eacf003a3d7f51baf296244168aba7d82927fc2f","2012-12-26 23:20:53+00:00","Fixup AndroidManifest.xml

Fix indentation, newlines, spaces, etc.
"
"15f9bf196221208d1dbf353b0ae3ba312dc1300d","2012-12-26 23:33:53+00:00","URL-escape query text for TVDB searches.

Makes queries with spaces or other special characters work correctly.
"
"09d9e9f795f7ee035fc02c3a80a74968c6fc6ce4","2012-12-27 15:16:16+00:00","Don't use system search framework to search for new shows.

Just start the new activity with a simple intent specifying the query.
If in the future we do use the search framework for anything, it will
probably be to search for shows and episodes which have already been
added.
"
"7778b6254702b906bd9cce5ecded4263a97da793","2012-12-27 22:04:17+00:00","Make small name changes for a few classes and layout files
"
"e6f00958607b9a20732e3471cfe28bc78070c59c","2012-12-28 00:35:46+00:00","Store search results when adding a new show in a singleton

Create a singleton class AddShowSearchResults, which contains a list
of search result objects. The singleton instance replaces the private
list of search results that AddShowSearchActivity used to use. Keeping
the results in a singleton instead of a private member variable will
allow them to be shared with other activities/fragments, i.e. for
displaying details about each search result.

Singletons are not evil in android, apparently.

Synchronisation will probably not be needed around the singleton's
data, as long as it is only read from and written to by the UI thread.
"
"f88bf847c76b34638f0dad62c153ce4923e87749","2012-12-28 21:59:27+00:00","Split AddShowSearchActivity into an activity and fragment

Create AddShowSearchFragment and move most of AddShowSearchActivity's
functionality there. These are still too tightly coupled, but works for
the time being.
"
"9638de08d94e04ce76afc693959132c2bcfa904c","2012-12-29 00:32:09+00:00","Display a preview of the show when a search result is clicked.

Create AddShowPreviewFragment contained in AddShowPreviewActivity.
These are passed the index of the selected search result via an intent
then fragment argument. They then read the show's information from the
singleton and display its name in the activity's title, and its overview
description in a text view.

If the activity is restarted (eg by leaving it, or rotating the screen),
and if the singleton data has been destroyed (eg due to low memory),
then the activity will finish. This will take the user back to the
search results activity which will restart the search. Not ideal, but
hopefully should not happen very often in real life. A persistent
database may be required instead in the future, however.

Shows can no longer be added, as this now happens instead when a search
result is clicked. This preview activity/fragment needs that
functionality implemented.
"
