"commit id","commit date","commit message"
"407802974f0230c2fa2eb7553f756bdc7c341d21","2015-06-20 19:28:04+02:00","expanded a couple of inner classes
"
"73d7857d479cabf0476a8ee17065dfc54249c07b","2015-06-20 23:30:19+02:00","some refactoring, introduced some runtime assertions and static code checking
"
"20fdaa48f2c1e99de0522de1dcd8fce7b93def49","2015-06-21 09:02:09+02:00","fixed a whöole bunch of issues
"
"08041bda704e7161566f0cfac8c171d48fd7005a","2015-06-21 19:00:10+02:00","added decent test coverage for Reps and Duration classes - fixed a couple of bugs along the way
"
"79cd0892562507ee18d08ca3d348a0bcaeb4b99a","2015-06-22 19:59:40+02:00","main activity allows reorientation now
"
"caba917796377e1e7703bef90dafbe5c67eba3b6","2015-06-22 20:13:28+02:00","allowing abut activity reorientation
"
"8bb7d299cae2e1fe678af241ed9505c21e5a70c7","2015-06-23 09:23:55+02:00","starting rework of training UI
"
"7e308ff0f9eee4e3bf862cac0a9714236def8613","2015-06-24 07:51:21+02:00","fixed issue with database creation interruption
"
"08488e912316ad9ccb3cea5fc8b2df2d7d6edbad","2015-06-24 08:24:59+02:00","fixed another crash on db creation
"
"333289fc978f778cceff6e9317fe02ead5e77e26","2015-06-24 17:11:01+02:00","removed version numbers from manifest (when did they get there?)
"
"1ec2a8cc114b47bf9d08c563e936e6bfc5792937","2015-06-24 20:29:41+02:00","made dynamic textviews persis their value upon reorientation
"
"169d7a5aa75f458bd7d36b0513d9bc1232a6aa73","2015-06-25 10:50:22+02:00","continuing UI overhaul
"
"c84df86f6b290ddef13f188da5781fe547623119","2015-06-26 17:18:26+02:00","meh
"
"05cc47c15728ab945f9b98d5b3d28b8243a06a58","2015-06-27 18:43:36+02:00","major overhaul strikes again
"
"7fe5fd983f73f7b1ff3dd4424896d36e9c4cacb8","2015-06-28 19:08:02+02:00","added layer of abstraction for text widget access
"
"5ab9c6d347bb0e9a2b19562ff47bb7b5dd6b73fc","2015-07-03 15:32:57+02:00","major redesign of the orm - unfortunately everything is broken as a result.
"
"f4f9292493488aa3cf3b49d46f981643142c086a","2015-07-04 13:45:24+02:00","sounds and database are now services (50%) and there is a startup splash activity
"
"3eca284a4e8a446ab38c6e0c5ef9958362e9fe9c","2015-07-04 15:55:52+02:00","moved to ormlite
"
"f82dde65b3595b87b3a801298f61450e0bb7833a","2015-07-04 16:31:09+02:00","defaults import is back online
"
"ca852e6ee28462edefbf9ce98dad48d248391292","2015-07-06 12:05:23+02:00","moved to action bar activity as per recommendation, starting to move functionality to widgets
"
"163e3bbe6029a6f8f01fa5b39d532f7b7b5bfa66","2015-07-06 13:41:43+02:00","introducing menu icons, yay
"
"9358f8e96e373356e3c947d2b7df2c6f08bdce0f","2015-07-06 16:49:40+02:00","playing around with ViewPager
"
"310b54a9372c816be7591ab13d9059b3e5755df8","2015-07-07 06:19:35+02:00","pretty printing time since last session
"
"e13f8d894761f6a009a5e41bafe5f67d6a97b732","2015-07-07 15:25:49+02:00","cut!
"
"7ffb3b53b73478ce404bfd641369a21c429211da","2015-07-08 08:53:25+02:00","exercise progress bar
"
"8c3e6b7b2977578713cc2888f85698113f9ddf70","2015-07-08 15:35:42+02:00","more work on exercise fragments
"
"1da8e7d9ea9e1a0079912d21467d75f018ed4ef1","2015-07-08 20:37:52+02:00","ExerciseFragments have state
"
"366953f227d4490b557e5528ae818eff127dda56","2015-07-15 21:19:52+02:00","stash
"
"8fc536023b43870a60b4eecf8c3cd74e8182118a","2015-11-23 10:25:06+01:00","updated android version
"
"b27eb5e0442c7c13b34680b9f19d3d77ea2ffa7d","2015-11-23 15:37:16+01:00","cleaned up activities
"
"a3a1ee119d220332ea7c7fede8453c9427912222","2015-11-23 16:39:55+01:00","migrate from ActionBar to Toolbar, applied color scheme per recommendations
"
"fd42434d9c3b3040926f89b98ee1dd472b53b99a","2015-11-23 16:44:28+01:00","disabled activity transitions
"
"8508d8b968a9079a08d9d66a5ceadd2dcae5a992","2015-11-23 21:07:51+01:00","adjusted progress bar color
"
"83b63b2ec918eb4b527eeda17d1728a1fdecbebb","2015-11-24 07:55:04+01:00","fixed whitespace errors in xml files
"
"510c1b62a80b51c0aadbd95847e58db8849488a8","2015-11-24 09:43:32+01:00","the great rename
"
