"commit id","commit date","commit message"
"24b2b463d7f80ba9b68474a806fa46b72429c98c","2011-01-25 00:06:13-08:00","Initial commit.
"
"c057bfa9b0772a161dd4de1b5dce73b4e59e634f","2011-01-26 22:03:48-08:00","Moved handling of desfire record files out of ORCA code.
"
"5dfc671ce401920912ffc8cda4d10351f36afa5d","2011-01-26 22:04:00-08:00","Improved error handling.
"
"6d88e43c57fe59b764da0f27dc5f3e211f31739e","2011-02-06 22:48:31-08:00","Final details for v0.1!
"
"972a9c3c80a6662b255eb84312901ed96d14fef8","2011-02-07 17:07:45-08:00","Remove broken ant script, add missing license file.
"
"11263919949fb9eb68b5212e01f69779d2cc0238","2011-02-24 16:41:49-08:00","Updated for Android 2.3.3 - no longer needs internal APIs!
"
"3e7561cb60379debc0668a01437141d18dbc00a2","2011-02-27 16:50:19-08:00","Added TECH_DISCOVERED intent filter.
"
"a91cbbe0208d43d6d9d2eda2baa372e85a0e2c90","2011-03-08 02:11:18+08:00","cepas: Add preliminary support for CEPAS and EZ-Link for Singapore
"
"67460a7fbed9d01662d6e97d94ef0534b4e57c32","2011-03-08 23:50:28+08:00","Add EZLink transit data, and fix formatting of card detail
"
"8acea4d5b2cb516caba80d2b9ed6845a4b4127c0","2011-03-12 23:13:16-08:00","Tweaked CEPAS code to match style of everything else. I have not yet been able to test any of this.
"
"73f38f116537a711fc12c093180a00c969e02348","2011-03-13 12:45:17-07:00","Added support for Clipper cards!
Much of this work was provided by an anonymous contributor.
"
"fab842e7f952ddce3b5073aac91af057636e22e6","2011-03-13 13:41:04-07:00","Display refill information in UI (Clipper only for now).
"
"5c505b59065137e3623502a1f438f14ab1af8369","2011-03-13 14:29:24-07:00","Merged new Clipper patch and fixed typo.
"
"c3c75a0a97957c2dc3442c94560da271d4241d3e","2011-04-02 09:47:04-07:00","Improved error handling.
"
"930f411ca447ba142c58437093b0eccf0a0f07bc","2011-04-02 10:06:59-07:00","Merged anonymous patch adding Golden Gate Ferry support for Clipper cards.
"
"936bc8c1c3a217add7e20b4f329ec9819a449868","2011-04-02 10:13:02-07:00","Merge branch 'goldengate'

Conflicts:
src/com/codebutler/farebot/transit/ClipperTransitData.java
"
"a175c28dcabd6a9215bf9177ed8d3803786042da","2011-04-02 10:15:57-07:00","Normalized indents.
"
"84e222fe32bd3e331e3bc3e68c09ad307a0f6294","2011-04-02 12:57:05-07:00","Added option to import XML.
"
"90ceca3abccb4cf66c6660127153dfb4d25f7516","2011-04-02 19:58:30-07:00","Add missing imports.
"
"6f18024f38cae2f0dc79fb23833e1ec73812cb1d","2011-04-06 11:43:21-07:00","Sort new entries first.
"
"586e0fd2dd0b10a933153d4b6e915b5a70fa84a6","2011-04-07 13:27:15-07:00","Added an 'Export All' option. Added Import/Export to USB Storage.
"
"daf1b883849c85cad4dd71ce0376cd0cd9c71b4b","2011-04-07 17:56:31-07:00","Track time card was scanned, sort accordingly.
"
"4311275340240bf9db4801903031844dbb22ae1b","2011-04-09 09:26:24-07:00","Temporarily disabling EZLink and hiding Clipper route numbers.
This is all not quite ready.
"
"1743d3dd730be6e2b5e651593aa98a755a6641ba","2011-04-09 09:33:01-07:00","Bumped version number to 0.4.
"
"6ba70d00e694ee529195500512eab54fb96e6b9d","2011-04-09 09:49:33-07:00","Updated README.
"
"3504ab76e78c01c3cb9a297dda6b7540abfb0050","2011-04-13 18:10:50+08:00","EZLink: Fix reader to work with older card logs.'
"
"5c463ac2e17ed5b5da251d18591cb8f1b40de617","2011-04-13 18:13:58+08:00","layout: Increase width of fare textview
"
"43c4b456c5ee200f87f94f42c04b2ecdffbea10d","2011-04-20 22:13:33-07:00","Added support for AC Transit and VTA.
"
"1172a8ddf2a1ff603bb79bbda1e9a90a2864b57a","2011-04-20 22:13:41-07:00","Added new BART stations.
"
"f8925123c567383446d172a31c1cd115bd2e3cfe","2011-04-25 10:35:32-07:00","New BART stations
"
"43f3d9f0534b8fb3a57afcbb8498b196bf6bc271","2011-04-21 17:06:35-07:00","Speeling
"
"879e9a590e241724a4e2c5243dbbb3307ab076a8","2011-05-08 16:41:19-07:00","Treat card serial number as a String, fixing problem with EZLink cards.
"
"ce6fbfe3578cf6e6a2ee36bb187028c56db71151","2011-05-08 17:31:43-07:00","Added option to speak card balance (proof of concept).
"
"9bdb72a6f0f1f892e9136ac602d746327f9771aa","2011-05-08 21:54:43-07:00","Update version (0.5) and README.
"
"f2ad79ede4d4bb47376ac5190be4a954bf220f65","2011-05-08 22:09:49-07:00","Don't double-up unknown EZLink trip data.
"
