"commit id","commit date","commit message"
"08a7f4236ce3016ef29a554aa27a6ad264ae1f4c","2011-12-25 19:01:10+08:00","Add database parser.
"
"d84ba394e1094ac3307689ceb8a94fe501b2c20c","2011-12-25 19:18:13+08:00","Fix bug in configuration file
"
"af8fb150442cafc865c6c2164e8fa96522b7801c","2011-12-26 12:23:08+08:00","Fix zip entry size
"
"a9dcfb6ae9e6140a0f33d6d08a6e0e6b8d79adc5","2011-12-26 13:58:51+08:00","Update readme
"
"aeb4bcb1abbc660fb31e18524ac306d9c4e959ff","2011-12-26 13:59:16+08:00","Remove the new line at EOF for 'md5sum' and 'version' files
"
"e4635c506d1cd4ce3463a2a27b62dc2e136f7737","2012-01-04 19:33:21+08:00","Fix some pinyin format issues while parsing dictionary data.
"
"db09ab138e05de97192a752323aaf61e7f79fab7","2012-01-10 12:50:21+08:00","Add a column in DB with pinyin without tones/spaces.
"
"f17483499c0a9a512631933d6b2a11e8684e4188","2012-01-10 16:24:06+08:00","Insert pinyin2 in lowercase.
"
"2e857b265bf0e356a2b900c13155fab606c6ae3f","2012-01-11 14:04:19+08:00","Add an average length for each words in translation to get better accurate results.
"
"f62e91b9c6cfd4559a00b58c930c4de3c9c2ac6d","2012-02-04 23:33:31+08:00","Add android min version code in version file for database update compatibility.
"
"2b2404a0b722bc0b5a519669bd6ac62c29ecac5f","2012-02-18 13:12:42+08:00","Add a 'starred_date' column in entries table.
"
"7aed97bbb92a5814bbe7d08c2beb84837ce25e5a","2012-02-19 21:47:19+08:00","Small changes in Tables interface.
"
"51bf4cb2a8f2fdbbde50ffcecb1cae635741d1d2","2012-02-20 23:48:07+08:00","Add license.
"
"1eba67ca8409e9abe17b78a905387171cf4692d8","2012-03-09 08:38:07+01:00","Add column for french without accent.
"
"1452a532c66805b79f8bec37e05213fb59869458","2012-03-09 19:36:40+01:00","Small changes in database version.
"
"df4b55dc71e1222663631f9640d0e907535e4375","2012-03-10 16:08:54+01:00","Create index on PINYIN2 to speed up French/Pinyin queries.
"
"55c6ebc84fd2f98636178e92164b9f8bdd3b74fe","2012-05-19 14:19:50+02:00","Remove duplicates and trim every translation.
"
"2a20ad4c3e0f02885105a18ec0cf140d1cb3608b","2013-02-03 16:15:37+01:00","Change the way to generate the output file - The dictionary is now integrated in the app and not downloaded separately
"
