"commit id","commit date","commit message"
"2ea03b7a57c25f1ddad7e1b50d7f1ee4673916e3","2012-05-17 15:33:43+02:00","Fix NullPointerException when exiting starred activity
"
"203b7c1201fd0f1f28d4d08bf6149957fb93492c","2012-05-19 00:34:48+02:00","Fix NullPointerException if the service is being restarted after its process has gone away
"
"7ad823fcfc20f0fddf0f09fbff311c6351e89f75","2012-05-19 10:17:30+02:00","Trim meaning in word activity
"
"acbdd1323a66d9b6aea5199433105f044f3a6a5e","2012-05-19 10:42:51+02:00","Set update dialogs as not cancellable.
"
"580f0083ce233152ae466533f9c1093a7d135d04","2012-05-19 11:50:36+02:00","Fix issue at the end of UpdateActivity to restart app
"
"8a883130db89313b573a333fdbcea0c3d5225d54","2012-05-19 11:56:40+02:00","Specify in Manifest not to do anything when orientation change (not to fix any issue, just to make it smoother)
"
"2342483a51eecc88a380b3c534d4ea444a2be929","2012-05-19 13:13:42+02:00","Set default project encoding as UTF-8
"
"60ad1aadc53f3a48864f419580742ef2dda8d0c8","2012-05-19 13:40:04+02:00","Change way to check for updates (once every 14 days)
"
"389fd12b22af9386462a2ef7dba3275230062087","2012-05-19 13:42:50+02:00","Typo
"
"ca71b7c1a2b03cece97de86053cf0a7b7e7001a7","2012-05-19 14:34:13+02:00","Disable proguard to help me understand stacktrace more easily if an error is reported
"
"47b32e13662b18b72636ade060e2500772421e7e","2012-05-19 14:52:30+02:00","Small changes in WeakReferences.
"
"3663957a8deaead82e43f065623879f441fc6c2a","2012-05-19 15:00:39+02:00","Add wildcard support.
"
"48b20e40b6a21d975936340b462c20884bcfc33b","2012-05-19 15:14:31+02:00","Let Android handle plural form for Meaning(s) in WordMeaningActivity.
"
"902efddca75d7c2b365bef647263640368b690cb","2012-05-19 15:48:48+02:00","Change version in Manifest.
"
