"commit id","commit date","commit message"
"e252750e6b3572d2e66ce794230b931559558348","2014-12-26 11:46:23+05:00","Fix hotbar background
"
"51db5ef30c70ff9bc44e9b23ad5ef395a800211d","2014-12-26 16:13:12+03:00","Merge pull request #180 from Kotolegokot/hotbar

Fix hotbar background
"
"bfd2d4d755495b7020120b39dac9447eb949dbc6","2014-12-26 16:16:32+03:00","update games/default
"
"bef8bdb61b9fb8addcb1389c44efaf14cee155a7","2014-12-26 18:17:24+03:00","fix dig dark light
"
"3ea5ed4ffe600fa11a3deb3de58d5bd5bbb65ee1","2014-12-26 11:02:26-05:00","Uncomment version patch field
"
"d3f13b40cbffc25843c553cbcb9bd0ac8fa340ae","2014-12-27 04:04:41+03:00","Return -dev
"
"3f704d41f3177b6da871aac82ab15cedba297a1c","2014-12-27 04:10:20+03:00","Fix leaves look with new_style_leaves=0
"
"d2db1a9eff4484fd8e103f4203b3be3ea26a549b","2014-12-27 04:14:43+03:00","less log messages
"
"b67f37f27ea7d89b2098fa9fcc2533fa1091e695","2014-12-17 03:20:17-05:00","Redefine NodeResolver interface and replace with callback mechanism
"
"877ef2f5dcaa341c76a9abe073cbea5bba63ddae","2014-12-28 01:44:59+03:00","Fix windows lag
"
"6b3dc289a66070cba73c2e799fd25cc43b1f30ab","2014-12-28 02:05:51+03:00","update games/default
"
"08d259cf41db805ada7c39a39ffe9dcec4f0c230","2014-12-27 22:20:04-05:00","Set fallback content if resolving content vector requires everything
"
"ae2721f2c84183cea4e447009a59ce606601702e","2014-12-27 22:35:05-05:00","VoxelManipulator: Remove unnecessary deallocation steps
"
"8334100fe1b1bb40bfebff9ec9780c18fe3fd0c7","2014-12-27 23:09:36-05:00","LuaVoxelManip: Add option to allocate blank data
"
"8c98f497d957835803dd43a98a23a5d0eb98124c","2014-12-28 03:09:24-05:00","PseudoRandom: Expose constant PSEUDORANDOM_MAX
"
"900fa26965a2fbdf2b9de74e2d680c083de91482","2014-12-28 03:11:00-05:00","Ore: Add Blob ore type
"
"93a0688149652b670760ea9bbac9d1f1ada3cb9d","2014-12-28 20:51:11+09:00","Update Japanese translation
"
"5b5267e516ce998c444041832b06d8b63e35839b","2014-12-28 14:59:46+03:00","Merge pull request #182 from Rui914/patch-1

Update Japanese translation
"
"6f8670b90c30555f04b2a52a6de12144650c7013","2014-12-28 19:10:57+03:00","fix double chat messages
"
"2900d70bbb5ef3985b517ebb370a5ca836bc035b","2014-12-28 21:15:56+03:00","default_privs_creative : allow by default fly and fast in creative mode
"
"de26febccc9d026136ce6d224a6d2c28270203b6","2014-12-28 21:23:10+03:00","delete comment
"
"61dfa912f5f37f435e41b3c7d8cdb6244562e597","2014-12-28 21:17:12-05:00","Ore: Add Vein ore type
"
"570c2042b1b11fc1581dceb22c74cf47bb217134","2014-12-28 05:20:42+00:00","Biome API: Add shore top and shore filler nodes, underwater node, water top node. Add water top depth and shore height parameters. Remove water dust node
"
"c5faa644056c892ccf5e41cfde87a5b107149951","2014-12-28 22:35:14-05:00","Cavegen: Fix copy & paste error (solves #2020)
"
"863379a4c68b9862ea6913c1b1e475d022aba100","2014-12-28 22:37:27-05:00","Decoration: Add height_min and height_max parameters

Also set default height_min/height_max to -31000 and 31000,
respectively, for ore and biomes
"
"91c00d29a53a944d910d2adb40c25188a37749ed","2014-12-28 16:52:51+01:00","Skip further loading of client if there was an exit signal
"
"86cfbc21da10e9984a1b9f8f2f5bf259fba5efb9","2014-12-27 16:13:07+01:00","MainMenu: Save 'hide gamemods' and 'hide modpack contents' checkbox state (fixes #1960)
"
"ab55da589c27e65e54956b32a1550e21169447ae","2014-12-18 23:50:31-03:00","Faster string.split implementation.
"
