"commit id","commit date","commit message"
"6e50c1f7b3a2935094659fefd42c2e364c1f55bc","2012-08-30 10:47:32+02:00","Add README
"
"acf00cd2c5f6968e9cdeef5d1c7f5c6ccaa4646e","2012-08-30 13:59:40+02:00","What if the error reporting library got an error?
"
"692ae87d02e6171aee717b62bab1a79cf4673b44","2012-08-30 14:00:19+02:00","Update artwork
"
"9ae2b12ef6851d54ef0761e0468d8ea2f60067ee","2012-08-30 14:33:43+02:00","Fix README
"
"7f1caf308e47fbb0fdb884b03443f91633244fbc","2012-08-30 15:39:10+02:00","Update artwork
"
"3ed6e905056ec7c961782178437419766ae83240","2012-09-04 17:14:33+02:00","Add an option for the notification action
"
"677b55e44498072681d46cfd0c2773ef05241e41","2012-09-04 17:22:13+02:00","Update status bar icons
"
"049d297f4382280216de737b12157555c26dc9a7","2012-09-04 18:46:43+02:00","Add large icon notification for Honeycomb devices
"
"ce9ff6e9a4afc70addd11b492187a3550c7cff70","2012-09-04 18:47:45+02:00","Rename drawable-hdpi-v14 to drawable-hdpi-v11
"
"1d8806072e6cc06eb50110a124b1a4c2a4882d11","2012-09-05 13:21:41+02:00","Add a notification action for Jelly Bean devices

This notification action opens the network operator settings page.
"
"22633f8c75b472754a7654a3c6655796127483a0","2012-09-05 13:28:14+02:00","Clean up unused resources
"
"2617ec7b07d5444c474af7912b2b07a9e0c9f3ac","2012-09-05 13:47:52+02:00","Disable BugSense for development builds
"
"2f972d8cade1e5307a05539462c7ca3adc2e7072","2012-09-05 13:58:47+02:00","Update notification icons
"
"ae172f51fd28610f44d9b93cdc9ac8c5865d895c","2012-09-06 10:49:07+02:00","Fix strings
"
"0f03064971b7f845f69de39166b7b191f985ba70","2012-09-06 11:03:00+02:00","Update content
"
"200282a8abf21f3ef5621fa2fe048e3d85ad76d0","2012-09-06 11:03:34+02:00","Update version to 17
"
