"commit id","commit date","commit message"
"5dc3e3b8091c122bb5922103e24021d66f97cc9b","2014-11-18 22:13:48+01:00","Updated logo.
"
"9bbdac46f667f8ec6cddb228d8fdcb6a53e1b6cb","2014-11-18 23:59:00+01:00","Fixed division by zero exceptions.
"
"3e0cf07b7858f72ae0ad801e36b84fe6137b02b1","2014-11-19 00:26:36+01:00","Try-with-resources is not supported in API < 19.
"
"f32fdaee801e827e47341940b6d85e048658180f","2014-11-19 00:32:52+01:00","Magic number.
"
"dfc165e8040f02fdb1113ba156ba90bf4c0f4c67","2014-11-19 13:45:30+01:00","Femtocell use percent was not updating.
"
"e29ef5700685efbfcb351cf4f9ff8c426c985dea","2014-11-19 13:59:08+01:00","Logo alignment and logo color (red was too intense)
"
"72d87affef8156960ecda17d0389e4f57813ecf9","2014-11-19 14:04:25+01:00","Restored freemobilenetstat.iml file.
"
"1294fe36826292e2723b692a9f58cf420c28ee01","2014-11-19 14:12:58+01:00","Release 2.0.0-beta3
"
"5b813950ec413f64a3f2e0e38b7b38e180d05319","2014-11-19 13:48:55+01:00","Add missing % on femtocell use on pie chart
"
"4ec656522aa9267e15e1a41f55921a5f5539b5ba","2014-11-19 13:53:20+01:00","Cancel double code modification
"
"15f18ea958c76ec85670dbbec32e250e7934a31e","2014-11-19 14:29:53+01:00","Release beta 4
"
