"commit id","commit date","commit message"
"1c89e4b0878245037415a79ced008e7b1eac6705","2014-12-09 11:06:07+01:00","Avoid NPE
"
"83fc5cf70f92d4e91121fb26886eb50a49a21b1a","2014-12-09 11:41:44+01:00","Fix ActivityNotFound Exception (reported on ACRA)
"
"465023b7b3ce22bd44d3092bc1f081d440589a01","2014-12-10 09:31:06+01:00","Avoid NPE on content intent
"
"5f6c3dbeeb46a7e8c147b71487e4c80f561f9e40","2014-12-10 10:03:03+01:00","Avoid NPE on sound alerts
"
"fd99b3e7d932a30907f4edc7e0c3653418df1d1d","2014-12-10 10:07:47+01:00","Better support is the fragment is not properly attached
"
"58736fcaa3b93f356a83ec3a59dc732785d992b2","2014-12-10 17:53:25+01:00","Refactorized updateNotification and made it work more logically. Changed notification action in airplane mode.
"
"1d1c2f45f2456ff52090c026efa4f0afb0b3a150","2014-12-11 09:36:47+01:00","Improved screen resolution support.
"
"7be00b2b053f2e992490ccf7777b4fd9e7f7d35c","2014-12-10 12:00:08+01:00","Avoid detached fragment exception on mobile network chart
"
"8e47cd4a7a9c0cfe8fc8ce797132742cc53dbd58","2014-12-12 13:13:03+01:00","Fix width = 0 illegal argument exception
"
"751d0a23b5624e5d30813b6d7517f2cac06b33cd","2014-12-12 13:30:33+01:00","Fix ACRA bug 'IllegalStateException: Can not perform this action after onSaveInstanceState'
"
"332ba58841a1c7c8b8f85921919a4492218f0c97","2014-12-12 13:49:00+01:00","Fix Large icon ACRA bug : see http://stackoverflow.com/questions/15642900/bad-notification-posted-from-package-couldnt-expand-remoteviews
"
"f67091151db18a393cea3d0e31d92cb7e7cd0576","2014-12-12 13:53:53+01:00","Release 2.0.3
"
