"commit id","commit date","commit message"
"5f84a60ebe1082000dbcebe6fa3ee5d4f6f5ddcf","2014-05-10 03:11:58-04:00","removing httpclient
"
"fb5bbf17fd392c6f8726f9e441e7a4311e02d988","2014-05-10 03:36:53-04:00","can't use toURL() as url isn't absolute. refactored splitquery to just receive the query string.
"
"8f05a04034c19db31e3c50954d8057472e2fefc2","2014-05-12 16:48:49-04:00","Merged frostwire-common changes
"
"311c901061cb2498625fb0e252d02632421dd9f7","2014-05-12 16:49:15-04:00","Merged frostwire-common changes
"
"56a534b0bd60f1d769842de20475ae37147d618b","2014-05-12 16:58:07-04:00","the one conflicting change after commons cleanup and httpclient removal from commons.
"
"2836c954d92d9aabf23bd04f849beefec720a1d1","2014-05-13 18:02:37-04:00","Fixes issue where Torrents would start downloading even if the user had Disconnected in preferences.
"
"14fcd32f184f43b350aaca72d0a48151f0e6a35b","2014-05-13 18:07:18-04:00","changelog
"
"83dd971070c15b04874d1c779c652e214aa51f05","2014-05-13 18:19:10-04:00","Transfer fragment menu adapters now take into consideration wether or not Bittorrent is disconnected.
"
"6d04fe68f27c8a3cb2ff170a0f48d5224c9042dc","2014-05-14 15:52:50-04:00","Fixes broken EZTV search.
"
"055eff57ab53b0d374ac8450706445298531b8eb","2014-05-15 15:02:00-04:00","version/build bump -> 1.3.1 build 129
"
"d36b10f19cb406b606c8ff0c177cd615b4d419a1","2014-05-15 15:09:11-04:00","Merged frostwire-common changes
"
"74e673d73a870437dac614871fc9b45652d85bed","2014-05-15 16:33:14-04:00","Don't bother pausing torrents when starting an non-torrent download if user has disconnected bittorrent.
"
"34ddacd01e6a8bc1a1a5df9b160fa9a908a8c19b","2014-05-15 16:39:22-04:00","Should fix crash 'java.lang.RuntimeException: Unable to pause activity.. java.lang.IllegalArgumentException: Receiver not registered', no broadcast receiver was registered on create.
"
"64d9abe63b6a09f3f22eb72dfdfbc224109b1bf4","2014-05-15 16:48:31-04:00","should fix crash when starting transfer - java.lang.IllegalStateException: Can not perform this action after onSaveInstanceState
"
"85e3cb066d5b6fd96ea34817026369fec9725c92","2014-05-15 17:25:41-04:00","fixes ConcurrentModificationException on transfer manager. We have way too many traversal operations going on, and those lists aren't that big so it shouldn't be a big issue with memory using CopyOnWriteArrayList containers instead of LinkedLists.
"
"85152e34c3ded9a92edc3795066c58de345b22c6","2014-05-15 17:29:37-04:00","changelog
"
