"commit id","commit date","commit message"
"de14e71957e5eeeaaa47123ff764f4009da62982","2014-11-16 14:52:47+02:00","Use the cleaner github json api when checking for new releases
"
"ae0f8da2134a28550929bbbc95a5b93995c48a5f","2014-11-16 14:58:09+02:00","prevent a crash when pressing the up button in the settings activity
"
"e36e0b226a1f8eacf753cc9d609ceed4b148bc59","2014-11-16 16:31:37+02:00","Tweak the crash dialog style
"
"15741f5cb52cbb8449e640b08861bdc57c506944","2014-11-18 13:21:42+04:00","Updated localization to version 0.9.93
"
"eeb1f6afaefa880a4c82c7f55e2af6538b6c987a","2014-11-18 13:24:10+04:00","Updated localization to version 0.9.93
"
"c0c51f663fea77d647118e1531ca4a585030b8b7","2014-11-18 14:03:20+01:00","Added German translation.
"
"9b33de25bab625b20320b49c4ed97deb81d1f983","2014-11-18 14:26:41+01:00","Updated German translation.
"
"77fb3713d061d3d269af84f297662b0c93f77da3","2014-11-18 20:17:58+02:00","lighten up the side menu, except for the profiles
"
"96811e0403c05ac74a857c7da66c706174904073","2014-11-18 20:36:04+02:00","Remove the settings list divider
"
"cfb0c5f92272bc497d4aefdebfc8a7e141b6b4d8","2014-11-18 20:53:19+02:00","Merge pull request #2 from BytEvil/master

Russian localization updated to version 0.9.93
"
"610349a4005cabea25142ada994897cdd1fae48c","2014-11-18 20:53:54+02:00","Merge pull request #3 from dinyar/master

German translation string
"
"c58b1873c4c8690f7f14ececb9e7c186a117d202","2014-11-18 23:32:40+02:00","move the settings and about menu items in the nav drawer
"
"970381110269ebef4134a6b7ec363c106fe3f2bd","2014-11-19 00:04:49+02:00","do a delayed post
"
"c85e1a94655d38e461bd2f0341bb0137a2d681e2","2014-11-19 23:44:35+02:00","move the sort options out of the navigation drawer, and into the menu
"
"1037d1a09514e78bdd80c2c596eaf50d2600ec13","2014-11-20 00:59:26+02:00","show the sort menu item as a toolbar button if there's space
"
"896820f4c4a973fd9ef195226e32bff137edff0c","2014-11-20 09:20:47+02:00","Move the refresh button from the toolbar to the overflow menu

Always use the swipe-refresh as a refresh indicator in the list
"
"82dbd75fe1719b3d22354ca7ed60bd13fa7f58a0","2014-11-20 09:35:38+02:00","Move the find filter to the toolbar
"
"6bf72b095a236ba58b882eaa7258d591aa474c86","2014-11-20 11:46:50+02:00","WIP: remove the nav items related to a session when one doesn't exist
"
"2e3917963fceaac7c5c26d6e12dd46f07d276410","2014-11-21 00:36:24+02:00","remove the filters and sort entries when there's no sesion
"
"dafec3a66b2ae4d184e635b2e15d757d1e66182e","2014-11-21 00:47:52+02:00","Set the activity transitions again

Sometimes the recyclerview might crash because of this bug:
https://code.google.com/p/android/issues/detail?id=77846
"
"87f1db7377fb3e3f441c66d60cbc0dcd4752a34b","2014-11-21 10:01:37+02:00","Revert 'Move the refresh button from the toolbar to the overflow menu'

This reverts commit 896820f4c4a973fd9ef195226e32bff137edff0c.

This approach doesn't work. It causes the refresh to trigger on every
up movement, rather than at the top of the list.
"
"3f5df2433815fb058d313b7ae16b2b192d409cac","2014-11-21 11:20:53+02:00","disable more item change notifications until the recyclerview is fixed
"
"9d3f59dffbc1c92770c4ec876648bf4a8b2411f0","2014-11-21 15:44:44+01:00","Create strings.xml

Italian translation for Gear Shift App
"
"d1f05448e632d9087c26fde2acf4b3295c84dfe4","2014-11-21 19:16:51+02:00","if there is no session, remove the trackers and directories
"
"7537d2e1270643e7a0bb107140611e9bc677db94","2014-11-21 20:31:22+02:00","handle correcting the selected states during  item change operations
"
"0a811176162058f889c0a37513e2c1d345d28d4f","2014-11-21 22:00:08+02:00","Merge pull request #4 from patton82/patch-1

Italian translation
"
"207caab5b4a28d2088f39fc5250b34251f2e878a","2014-11-21 22:37:57+02:00","re-select the elements since the adapter doesn't know what has changed
"
"99ef3c28b80d77dc8e582e66290fe3fdf746491d","2014-11-21 22:38:36+02:00","Merge branch 'master' of github.com:urandom/gearshift
"
"d6bfb8c8ac829662311d78779ded6f030993d03c","2014-11-21 22:45:26+02:00","Escape the single quotes
"
"72885fb81f7ed1a3d04d5712dcfffe78a5ed7dc2","2014-11-21 22:46:02+02:00","clear the directory and tracker caches
"
"17229b343bca6fc9084ef1d05026172223d35002","2014-11-21 23:01:00+02:00","++version
"
