"commit id","commit date","commit message"
"178a537e52e8c4cdd0703de1c307a357a1a5a0b0","2014-10-26 18:57:34+01:00","start working on v0.5
"
"9fa14e5387de703e8e01e901387f31a49eb8d135","2014-10-27 05:45:42+01:00","update version and features [skip ci]
"
"04cfd5e7a5528f579abdfc96f7a20eecf6e1910b","2014-11-03 03:12:30+01:00","Translated using Weblate (Hindi)

Currently translated at 100% (0 of 0 strings)

Created new translation.
"
"facd99e623b02adc7dd1ef5ad72dcb0ea7507239","2014-11-06 19:09:29+01:00","remove unused strings
"
"90dbe51c8f22cb33bf76728d422a76f452fc2fe1","2014-11-06 19:19:24+01:00","remove string dialog_store_location
"
"789b5ff346e7c800288ebc11e507875a28b4d7e8","2014-11-06 19:20:15+01:00","remove string 'no'
"
"58de30454afb1d1a764241b56e44de9509bd6611","2014-11-06 19:24:08+01:00","remove string 'location'
"
"9d6246653d50950f39c804403bec03b863a058f1","2014-11-06 19:24:28+01:00","remove string 'stored_location'
"
"3fb4ab37f49562d4e7c07f8893cc754ba0a34398","2014-11-05 00:17:39+01:00","Translated using Weblate (Hindi)

Currently translated at 50.5% (43 of 85 strings)
"
"dfda4925ac84ac70a29d127aeff003a11c335f40","2014-11-06 19:25:02+01:00","Merge remote-tracking branch 'origin/master'
"
"0df7a8a629be3c3004c8351e04c26fcec76cc0c3","2014-11-15 02:09:22+01:00","Translated using Weblate (Sardinian)

Currently translated at 100% (0 of 0 strings)

Created new translation.
"
"ca763b7baf4553fad1bf98592b0553b1bc2bdbd8","2014-11-15 02:52:40+01:00","Translated using Weblate (Sardinian)

Currently translated at 100.0% (83 of 83 strings)
"
"84cccee45a874d73173aab5d6d3cd4a90cc39896","2014-11-15 16:25:32+01:00","fix escaping, add newlines
"
"43c6595df9013d66fe73da6258a1c44a96f92a53","2014-11-15 20:55:20+01:00","translated to Sardinian, thanks to Lu Ca [skip ci]
"
"9abfea382213a47de2c64f7b47384302c235b751","2014-11-17 22:34:17+01:00","Translated using Weblate (Hindi)

Currently translated at 100.0% (83 of 83 strings)
"
"5a6d5885b24f27a21cc3a957567065cab59038f4","2014-11-18 11:22:21+01:00","translated to Hindi, thanks to Atul Pratap Singh [skip ci]
"
"017bfa48d3827c3ad33eedded93fd049d648e30e","2014-11-20 14:33:28+01:00","remove trailing whitespace [skip ci]
"
"8f1c53682150c2a8b9c653a5e8b80fc441a87330","2014-11-21 14:21:39+01:00","add stackshare badge [skip ci]
"
"00b66606a391e8090554d69d659e893e0843b9c2","2014-11-25 20:23:59+01:00","use new buildtimetrend repo
"
"193eb963ad81310587d2b55c7a10923b73fcd696","2014-11-25 20:28:25+01:00","specify folder name to clone into
"
"c6cf316f8b0ef3fb2b944d09818878eaa32de092","2014-12-03 20:31:26+01:00","notify Buildtimetrend service at the end of a build
"
"fd91491a83ed37eb60c9feb7da58353192c58b4a","2014-12-25 07:59:30+01:00","Translated using Weblate (Korean)

Currently translated at 100.0% (83 of 83 strings)
"
"3eacf3cee0d5086da306ffcfa7c51293dd91621f","2014-12-29 12:13:08+01:00","add newlines
"
"1d0fd8c27f53e9cd3c282db37ebe184c867e3f1f","2014-12-29 12:17:03+01:00","use latest buildtime badge
"
"92bad0e9244f20abcdf8379eeb14bca233ff9d73","2014-12-29 12:30:11+01:00","upgrade buildtools 21.1.1
"
"ea91b236ad8bfaa3f2c1fe81caaf3fc21c83055f","2014-12-29 12:36:05+01:00","upgrade to buildtools 21.1.2
"
"dda5550fe180e881a1fb9c0e58b8bb680dc13604","2014-12-31 00:57:58+01:00","Translated using Weblate (Romanian)

Currently translated at 100.0% (83 of 83 strings)
"
"d9e0bfaac64817b89b360495b06847d6521c33e6","2015-01-03 19:25:45+01:00","add buildtimetrend badges to README [skip ci]
"
"fc96b21cd96def151d8904b0540274ea1eefcf99","2015-01-05 08:20:32+01:00","Translated using Weblate (German)

Currently translated at 100.0% (83 of 83 strings)
"
"f2c923461aabbd662f4c61453bb37841a8dfbd3b","2015-01-08 19:47:55+01:00","release v0.4.1
"
"c60928fa206ba0e51b5937e788b6c8fab10152c8","2015-01-08 19:57:53+01:00","update copyright span to 2015
"
"1e25ce7e51c4bb2eebad66569ade8c01b8996b5a","2015-01-08 19:58:41+01:00","Merge branch 'master' into release
"
"3f1c7dc08108ff0791183e056f21ea7cdfc57512","2015-01-05 08:21:06+01:00","Translated using Weblate (German)

Currently translated at 100.0% (83 of 83 strings)
"
