"commit id","commit date","commit message"
"ac63b8ac525c634f0ec24b45d52d5aac4099d8af","2015-10-04 14:05:23+02:00","Also sort review entries
"
"f1d6db02b124b5cf4781587abf21dae0a99d3180","2015-10-04 14:17:42+02:00","Show folders before files - closes #149
"
"b80555a0c1e7af7cbb993861a12ab2906e1d4012","2015-10-23 21:50:31+02:00","Use support 23.1.0
"
"74b17cc23a560294e7e12e4b166de90f133e2afc","2015-11-04 13:27:37+01:00","Close response body and add Missing finals
"
"327692a1b92b68a165ecae076eeb232dad82c240","2015-11-17 05:01:41+01:00","Simplify how we get AppVersionName ( now via BuildConfig ) and move this
"
"0b3ffde7fdda8f27a26aff1a9668a2ba3e34123f","2015-11-17 05:02:22+01:00","Bump tooling
"
"e78010f854ea80453e2fa252f7850fb3d418213a","2015-11-23 01:50:18+01:00","Use gradle 2.9
"
"f951d4644905c8c817475d756b5ee34f93a3765f","2015-11-23 01:50:37+01:00","Use unmock plugin 0.3.6
"
"45e7a1234c7fb15f57923ec6dfd27655a211068e","2015-11-23 02:04:40+01:00","Use new build-plugin 1.5.0 - switch spoon plugin ( to felixschulze's one ) to be compatible to 1.5.0
"
"432cbbaa3559da746c6c3749c7a6276ea2eb9640","2015-11-23 02:53:00+01:00","Add dependency check and apt plugin
"
"99ea9c4767e30527135b1511ae2b8cc231791ec4","2015-11-23 03:06:03+01:00","Use okhttp 2.6.0
"
"7fc1de93f1bc3e06303770a33d87198205255b88","2015-11-23 03:12:06+01:00","Use latest espresso 2.2.1
"
"7c1a1959e51633944eb602b0a12b5d46a393be0a","2015-11-23 03:13:11+01:00","Use assertj 1.1.1
"
"cd2dc2b9d1c47ff5b696fa6cf4b327bb0fd56ecd","2015-11-23 03:19:01+01:00","Get versions via BuildConfig
"
"2e139a66e4499e8c515ac2f4f35009ba91a644ad","2015-11-23 05:53:27+01:00","Use AlertDialog from support library
"
"edda239b4008eedf62ee2ad2d40f2e238eefedf4","2015-11-23 20:11:01+01:00","Bump version to 2.1.2
"
