"commit id","commit date","commit message"
"a5429c63577656a0062637ae65aeb79ccf5e6396","2011-07-11 11:33:11+00:00","git-svn-id: https://gogodroid.googlecode.com/svn/trunk/gogodroid@32 b37ea183-b515-81d5-43d7-ba06cba82b02
"
"78742d36d1f5e0c69c57f802ce843a5a0c50f1e3","2011-07-11 11:48:46+00:00","git-svn-id: https://gogodroid.googlecode.com/svn/trunk/gogodroid@33 b37ea183-b515-81d5-43d7-ba06cba82b02
"
"7882a23aa7aeb28ed2365bbfa0a0987ea03f95f2","2011-07-12 13:53:42+00:00","some adjusting

git-svn-id: https://gogodroid.googlecode.com/svn/trunk/gogodroid@34 b37ea183-b515-81d5-43d7-ba06cba82b02
"
"223de4e560b6aae7f3ebbdf0712c5c3d7fb2507e","2011-07-12 13:55:02+00:00","git-svn-id: https://gogodroid.googlecode.com/svn/trunk/gogodroid@35 b37ea183-b515-81d5-43d7-ba06cba82b02
"
"0169a27a1c09d17ee7971a4386e81da8477f391b","2011-07-12 14:17:37+00:00","some adjusting

git-svn-id: https://gogodroid.googlecode.com/svn/trunk/gogodroid@36 b37ea183-b515-81d5-43d7-ba06cba82b02
"
"27ab78e0c183b81c44fd3c68301fed59c072bd32","2011-07-12 14:40:04+00:00","git-svn-id: https://gogodroid.googlecode.com/svn/trunk/gogodroid@37 b37ea183-b515-81d5-43d7-ba06cba82b02
"
"78fe73bc0dfb8c3888f959864a196cd087867a47","2011-07-13 02:30:23+00:00","git-svn-id: https://gogodroid.googlecode.com/svn/trunk/gogodroid@38 b37ea183-b515-81d5-43d7-ba06cba82b02
"
"f011a3d5f9277f971b650fbe868ec840af1c1b41","2011-07-13 12:33:06+00:00","git-svn-id: https://gogodroid.googlecode.com/svn/trunk/gogodroid@39 b37ea183-b515-81d5-43d7-ba06cba82b02
"
"8ce4b33c2942c33d7055d533998b749169f747e7","2011-07-17 10:56:55+00:00","git-svn-id: https://gogodroid.googlecode.com/svn/trunk/gogodroid@40 b37ea183-b515-81d5-43d7-ba06cba82b02
"
"15a5fc866793f11de6b6dc172c7ff100259f3abe","2014-02-15 06:34:12+02:00","Remove binaries & other stuff generated during build
"
"6c11a794b1a64ce694848257da10dd0ec31d46f6","2014-02-15 08:44:30+02:00","Added main menu & PreferencesActivity
"
"c1379055ee403be95e78d9c83497425062b388c6","2014-02-15 09:03:14+02:00","Added BootReceiver (still in progress)
"
"94cf25fe7195146b6403bcd89dc97efd8b3497e6","2014-02-15 09:10:57+02:00","Simpler Intent construction call
"
"7572290fdd6aa817999a3323a3d70e8106c0e5d6","2014-02-15 10:06:43+02:00","Fix security issue when using *printf functions and the format string is not a string literal.
"
"74803ea9fb2fbedadfc6c8413f42697f23ac0944","2014-02-15 10:07:32+02:00","Remove duplicate struct definition that is already defined in the NDK headers
"
"845b68b4e1db86af482c32205a3541bc31b6facc","2014-02-15 10:11:58+02:00","Moved native code to jni/

* Renamed gogoc-android/native/ to jni/ under toplevel
* Moved gogoc-android/jni/Application.mk to jni/, and updated
APP_PROJECT_PATH accordingly
"
"b346c35cd573b0cbe1a553334efa2716660acbda","2014-02-15 16:27:00+02:00","Revert 'Moved native code to jni/'

This reverts commit 845b68b4e1db86af482c32205a3541bc31b6facc.
"
"247d9802593b3684c9d7ba7ff68ef562b044d58b","2014-02-15 16:52:33+02:00","Set preferences title to Settings
"
"f4cf59fa4270cb899b28021f3ded662f5cf21e79","2014-02-15 18:24:24+02:00","* Moved Set DNS to menu
* Added Start/Stop menu item (in progress)
* Use switch to check for clicked menu item
"
"ac24ef0f63337fdfd27eec66c3a5989ce9de5391","2014-02-15 19:42:49+02:00","Avoid blocking app while connecting to gogoc

TODO: statusConnection should be moved to some sort of service
"
"d00913ed952668e65db4fa7639944b38e22aa74c","2014-02-15 20:43:19+02:00","Use a single button for start/stop
"
"2ba390d7a67703307913ac034e80fc7099e3ae8e","2014-02-15 20:56:46+02:00","Move all constants to Constants class
"
"9b25b2c84e52f052cb010f0e5880e01faa888b5c","2014-02-15 23:05:18+02:00","Move most of the gogoc control & shell methods to GogoCtl class

* Remove unused setPermission method.
* Also moved showToast & showDialog methods to GogoCtl class.
"
"64a3fbae09a29da935513572c90b9294bf34708c","2014-02-15 23:38:07+02:00","Moved statusConnection method to GogoCtl class

* Removed calls to showIndicator from statusConnection method, instead
it is called after every call for statusConnection
* In case of connection establishment, set return of statusConnection
to: established <IP6 addr>, and showIndicator method then uses
substring to print <IP6 addr> to status text box
"
"12b7c09314a4f88c927add5045d353ebdb320333","2014-02-15 23:56:19+02:00","Set address text field to focusable, to allow users to copy the IPv6 address
"
"a15ef76a4579293260a74d21fc987f9fd9214c9f","2014-02-22 10:44:22+02:00","Added a service

BootReceiver calls GogoService on boot
"
"96ecad49a8e2f4ceaa6f2e4de0b1d66fdeac492e","2014-02-22 10:56:41+02:00","Code cleanup
"
"14a1ce68af728e49c63650177b8ddf7e8e55b6cc","2014-02-23 18:37:03+02:00","Added a BroadcastReceiver for connectivity state, which would call the
service to start/stop gogoc depending on the current connectivity state

* Added stateChanged method to the service interface to check the
connectivity state & accordingly start/stop gogoc
* Added override for onStartCommand method, which calls stateChanged.
"
"78fe7ae5d1313ab8b035e3429117b819f75ddeda","2014-02-23 20:31:55+02:00","Use .equals method for string comparison instead of ==
"
"83068be76182c542c9de323c50a6ab1d2f9fd3f1","2014-02-23 22:56:13+02:00","Remove BootReceiver, ConnectivityStateReceiver is sufficient
"
"25e738990598bf1f15b6ecfaabf2ecae1c43815e","2014-02-24 01:02:53+02:00","Fix IPv6 address string building
"
"fb4543b38c1e5e284aaef316951038e03000e60d","2014-02-24 05:56:10+02:00","Enhanced logic to start/stop gogoc upon network status change

* Do not stop gogoc in case of failover
* Only start gogoc if auto_connect is set or gogoc was previously
connected/connecting
* Removed checkNetworkConnection method
* auto_connect setting default value is false
"
"e0740983c4e0f4cff272ed3725e560f8eea7c16b","2014-02-28 17:05:42+02:00","Set preferences file name to 'preferences'
"
"c420e15b03e0771185ff0bfcc6d52ecd352f0ffe","2014-02-28 17:06:46+02:00","Add a little code comment
"
"2e4db3734bb30ab8847c53144676226a9e6a1dfb","2014-02-28 17:31:36+02:00","Enhance gogoc start/stop logic

* Set lastStatus in statusConnection method
* Properly fetch shared preferences
* stop gogoc if there is no network available or: if there is no
connection attempt nor failover state.
"
"2b3bdbb1f7b57b96c3d3030835b8c24bf0f0a44a","2014-02-28 17:38:20+02:00","Added TODO file
"
"9f17df9129056f6799bf16dc849370a8a3e06379","2014-02-28 21:51:03+02:00","In GogoCtl methods: replaced calls to showToast with Log.d, user doesn't
really need to see those.
"
"27d7d1351e1ed059c9ce66616cefa872a1106474","2014-02-28 22:30:44+02:00","Added thread to monitor connection status

It ends itself if gogoc is stopped
"
"4ab9a616ee8f6848495b8d5c35f188f07f326f7a","2014-03-01 00:05:54+02:00","Added offline icons
"
"99ccbc5901fa2ae48f1be2ab7432d58e6e70905a","2014-03-01 01:11:55+02:00","Add notification

Also try to fix thread re-invocation (in progress)
"
"1ad02e96ecc099a0b5b1b8c5a53c735e5b44ccb4","2014-03-01 08:04:54+02:00","Fixed monitorConnection thread re-invocation problem

Create new thread after startGogoc call.
"
"9d7c17e130203eb9767b3e6edf6460754c06626d","2014-03-01 13:38:40+02:00","Update TODO list
"
"4648e74e029234380adc0d7f7d48ef982e39a737","2014-03-01 13:48:37+02:00","Cancel notification in stopGogoc method
"
"18c83f909358ce9b63dc5f1707aa2e2e763fc824","2014-03-01 14:36:05+02:00","Enhancements in main activity

* Refresh menu in onPrepareMenu method
* Add startStopGogoc method, which is called by Start/Stop button and
menu item
* Remove redundant logic
"
"58d8f5c4e8df7ce50ddbc4e19d12befaf9150a9d","2014-03-01 17:37:07+02:00","Register a broadcast receiver in main activity to receive refresh UI
requests from background service
"
"55bcda04c4cca0f2a1dd4eaf0db23fc8406a27f0","2014-03-01 19:49:44+02:00","register receiver @ activity's onStart instead of onServiceConnected
"
"96beac2aa5f26907ba0430adb100c908efd3c76a","2014-03-01 21:46:40+02:00","Added basic gogoc settings to shared preferences (not used yet by app)
"
"faa1a422ab99b685914380df8fd8eaa8782f5d3f","2014-03-01 21:57:57+02:00","Simplified enable/disable logic for userid/passwd entries by using
Preference.OnPreferenceChangeListener instead of the overhead of
registering/unregistering a SharedPreferences.OnSharedPreferenceChangeListener
"
"1c2a2282b1ffaab09bbf2165c723e077cc76566b","2014-03-01 22:23:07+02:00","Main activity UI enhancements

* Display the window after connected with servie
* Move UI setup to onContentChange method
* Fix crash if attempting to open menu before being connected to service
"
"79eac42c50f0d95db3fe2a27cc80452a4c913704","2014-03-01 23:32:59+02:00","saveConf gets config from shared preferenes

* Remove saveConf(String conf) from GogoService interface
* saveConf() is called at each startGogoc() call
TODO: a sharedPreferences listener should be implemented instead.
"
"e1b10f9d1f7b4006fdb943edf31a0e4664277a2d","2014-03-02 00:16:55+02:00","Changed EditText views to TextView

* Cleaned up main layout XML
"
"bc279c73704b8e97be53f4bc014b76edb870bd49","2014-03-02 14:28:16+02:00","Register broadcast receiver in onContentChanged method
"
