"commit id","commit date","commit message"
"3835ec801d465b5e8b48b2d57998a4f90721af6b","2014-04-16 10:44:09-07:00","Fix crash on pre JELLY_BEAN devices on guide intro

Solution from stack overflow:
http://stackoverflow.com/questions/15162821/why-does-removeongloballayoutlistener-throw-a-nosuchmethoderror/15162928#15162928
"
"dfaa504ba78d0f42906a2ff1280697038ff53908","2014-04-16 11:00:20-07:00","Prevent NPE in onRestart of offlineguides
"
"ee435613355277ac284ff655bcdb06d54a5a34ed","2014-04-16 16:31:10-07:00","Make sure drawable exists before resizing
"
"c9aaff9df5779f253942b32ab763b02f45dc3852","2014-04-21 15:16:28-07:00","Merge pull request #227 from iFixit/v2.5-fixes

V2.5 fixes
"
"1d14c368bf6d061390adcd87d006d1ee0ff0af98","2014-04-22 11:32:52-07:00","Merge branch 'master' into guide-comments-new

Conflicts:
App/res/values/ids.xml
App/res/values/strings.xml
App/src/com/dozuki/ifixit/ui/guide/view/GuideViewActivity.java
"
"14840e38659bb79d441724a982083b0c4d8ee049","2014-04-22 11:41:13-07:00","Fix merge conflict errors
"
"f74def3722383746ded9bb1d34124f3b77cf5f8e","2014-04-23 11:56:16-07:00","Merge remote-tracking branch 'origin/master' into category-hierarchy--respect-display-order
"
"f063f16f4072c7c568211f234bcb7bfc44d7f63c","2014-04-23 12:07:36-07:00","Merge category-hierarchy--respect-display-order (#223) into master

Category hierarchy: Respect display order

Because of the inherently unordered nature of JSON objects, we couldn't
respect the display order of the category hierarchy. This switches the
hierarchy response to a new endpoint that uses arrays to specify the
order of the children. This removes the need to perform a
lexicographical sort on the children before displaying them in the list.
"
"9b351ff5ed438e364d8d577c536c21863eaf8e62","2014-04-23 13:37:24-07:00","Merge remote-tracking branch 'origin/master' into guide-comments-new
"
"dca056f59fcd25cd6a538b8de68e8be713658366","2014-04-23 13:51:32-07:00","Comments: Check for updated comments on CommentActivity load
"
"fe72e346e6175007484d7984fbc7c35da36586b4","2014-04-23 14:40:09-07:00","CommentsActivity: Remove debug log
"
"59a2219d9a12f1701b58083f5a1517941b45e759","2014-04-23 15:33:25-07:00","Comments: add long press text hint on comments menu item
"
"3f05e50411cf083ebdb454f136154264622e7fb8","2014-04-24 11:19:48-07:00","Comments: Add exit reply button and add comment progress spinner
"
