"commit id","commit date","commit message"
"ce1dba9a001049264449eadd138a9b1d93eccba3","2013-12-09 22:37:22+01:00","update translations

--HG--
extra : source : ef9adab61e0a4e6f846a51792a5aa1edbe8fef4e
"
"49653f7c3811a29afc92b3def7430e962a39fe0b","2013-12-11 10:18:06+01:00","Move activities and views into packages

--HG--
rename : src/de/blinkt/openvpn/ConfigConverter.java => src/de/blinkt/openvpn/activities/ConfigConverter.java
rename : src/de/blinkt/openvpn/app/CreateShortcuts.java => src/de/blinkt/openvpn/activities/CreateShortcuts.java
rename : src/de/blinkt/openvpn/DisconnectVPN.java => src/de/blinkt/openvpn/activities/DisconnectVPN.java
rename : src/de/blinkt/openvpn/FileSelect.java => src/de/blinkt/openvpn/activities/FileSelect.java
rename : src/de/blinkt/openvpn/LogWindow.java => src/de/blinkt/openvpn/activities/LogWindow.java
rename : src/de/blinkt/openvpn/MainActivity.java => src/de/blinkt/openvpn/activities/MainActivity.java
rename : src/de/blinkt/openvpn/FileSelectLayout.java => src/de/blinkt/openvpn/views/FileSelectLayout.java
rename : src/de/blinkt/openvpn/RemoteCNPreference.java => src/de/blinkt/openvpn/views/RemoteCNPreference.java
rename : src/de/blinkt/openvpn/fragments/SeekBarTicks.java => src/de/blinkt/openvpn/views/SeekBarTicks.java
extra : rebase_source : fccff1bc269dbc0ae33b96a4947b8a6e2924efeb
"
"a51eda3d7de8387316814cadddc1f5fde3c8b3aa","2013-12-11 10:52:38+01:00","Also move VpnPreferences and implement isValidFragment

--HG--
rename : src/de/blinkt/openvpn/VPNPreferences.java => src/de/blinkt/openvpn/activities/VPNPreferences.java
"
"1e710399e226b4b18ea29e20c32c1aa7d5293dd4","2013-12-15 16:42:28+01:00","Always log Exception to log
"
"8f72298ff84ec156782eff668c5aca9ee4971272","2013-12-15 21:58:04+01:00","Update translations
"
"092098bdbd40c5bfea2b848e9c6094120d943b80","2013-12-15 22:32:17+01:00","Exclude launchVPN and CreateShortcuts from recent activities
"
"e98778422238ce370eea1a04a56231140ead5d1f","2013-12-15 22:48:50+01:00","remove broken strings for now
"
"eef58658e519097d53af33ced636246c669f9a80","2013-12-16 18:55:28+01:00","Added tag v0.6.3 for changeset bf65cf4a961b
"
"c986dc374b1c6579918d976701c000178a6ea281","2013-12-17 13:48:54+01:00","Add a note for the xposed module to the FAQ

--HG--
extra : source : a853fe367b5b31c1c315bbd4501ad07870bfa385
"
"44fa042fc540005dc909c3fb43715e6ddf5b1117","2013-12-28 13:54:17+01:00","Add PRNG security fixes.

ICS OpenVPN should not need this but it is better to be safe than sorry.

--HG--
extra : rebase_source : 36df6499b7bb24654adc2f2897e04ac751feddfe
"
"9048871d989f3dd0fc751e973a83cbf27de44f19","2013-12-28 13:54:55+01:00","Add plain text as acceptable openvpn profile mime type

--HG--
extra : rebase_source : 3b54c59afdc094ec47b480445247ef4656504dd9
"
"a7b8099e3e4ab8e255f823daee2075f0ed1c5eb2","2013-12-28 13:55:38+01:00","Add a list of which options can be used in a <connection>, currently unused

--HG--
extra : rebase_source : b42a75d1e8af9afd53594b8b46b432a324bda09e
"
"59d82987c594cf6cbf9e1fb9cd0be222fec81b16","2013-12-28 13:56:27+01:00","tune log message

--HG--
extra : rebase_source : 76c78de6dbb9dfe27d247c6f45c1f4e9f4199bbd
"
"2dde271d7058e989fccbee3d2e9c09ee3cc77b27","2013-12-28 13:56:45+01:00","lint fixes

--HG--
extra : rebase_source : 3255789b1dc3b39dddf101f46ac78d68b01ec5e4
"
"879a13d097ff369ddf145252492e0843a18c7548","2013-12-28 13:57:13+01:00","gradle plugin 0.7.+

--HG--
extra : rebase_source : 1fc756a2ce4e0ea4b3ed5242b1d7a2b81ca3847d
"
"5852526c8dc5fcd3189ad36782c924eff01421f9","2013-12-28 13:57:49+01:00","Update translations

--HG--
extra : rebase_source : 1e4d7e97ee8b1447d71876c8cf7e61b42a7aa666
"
"8fa4ce92ac943030b13695e5e122322e0344d901","2013-12-28 14:07:36+01:00","Remove old strings from Chinese translations
"
"786f531907675739f6a3e068b5b123256ebd119b","2013-12-28 14:07:49+01:00","Fix wrong string being used
"
"68b6f8915630c8d68d3371092dced487447aea6b","2014-01-01 17:48:13+01:00","Ignore certain status changes
"
"9e0e3572c2133f2396d27ced5ddb265b6e604b58","2014-01-03 04:21:15+01:00","Sigh. State the obvious
"
"4f244609f3cf32ae2ab17069f0e267eb59f05f04","2014-01-03 16:02:48+01:00","Update build script to include revision, update openvpn code, remove openssl compat (disables export ciphers)
"
"9c4b5a51e3e8e8d5176d29bf6a70d07958ccc5c1","2014-01-03 16:04:41+01:00","Add config-version.h matching openvpn source code
"
"08cce14bd56d431f4d18bcf97ea56667fb5a1138","2014-01-03 16:12:56+01:00","Don’t show the connection profile store in options->ce if there is a connection_list defined.

Entries in options->ce are never used and overwritten by the first usable connection profile on initialisation.
"
"6c31ffa5066e562477ed1a1982ca5389cdf93306","2014-01-05 18:47:51+01:00","Update OpenVPN source (adds lz4, disables export openssl ciphers)
"
"97deae46f78cc96540d207f452f2bd97cf540b13","2014-01-07 23:05:53+01:00","Up number of cached log entries
"
"dd6f4ac1248e73106cf54ba78856dc27265bc5e1","2014-01-09 22:18:17+01:00","rename IV_OPENVPN_GUI_VERSION to IV_GUI_VER
"
"383044cf103dac085463d07beb5f3ab495a08453","2014-01-11 15:22:26+01:00","Update Openvpn, fix config parser for trailing whitespace on <foo> and </bar> options
"
