"commit id","commit date","commit message"
"bcc52b962d0084e5666a9fb947a85708638883ac","2015-12-28 18:09:52+01:00","Bump gradle version
"
"8afd9adf13d659cc106093cb70945aa27b4a08de","2015-12-28 18:11:24+01:00","Ignore Google TV Stub framework
"
"de37e25defd096b9f31c27177ecbffeb4636da62","2015-12-28 18:33:23+01:00","Make long click immediately select a file.
"
"0a4c9cda1dacb3541f17dbb8e097310a65555680","2015-12-28 21:52:23+01:00","Fix lifecycle bug
"
"d51431a8871fc06796af0440463cfacc95110ec0","2016-01-02 02:48:35+01:00","Make push-peer-info selectable in the UI
"
"73c31638211240d2e75b810a24330e954907093f","2016-01-02 11:18:08+01:00","Fine tune UI ver
"
"0afca29d2cbc338e8fbae6f41780fd4f41995670","2016-01-05 15:44:01+01:00","Fix code google links in README.md
"
"2fc13a452f0140ffaba10078cde299917de81ab3","2016-01-06 11:35:14+01:00","Fix typo
"
"f125693d7d4ea2aab944c042da42d63a8bb43fb0","2016-01-06 13:16:48+01:00","Parse route-nopull on import (closes #431)
"
"7dc3bb722082ffd3b8d8e375c5dd98f981aa0022","2016-01-06 13:17:30+01:00","Allow install on nonsuch devices. The app is not really good on non touch devices but good enough to be useable.
"
"a3354eb8ca16240ae869e8a86611528c6ab651d3","2016-01-07 15:29:37+01:00","Show VPN Status in profile list, tweak Status reporting
"
"37b02565eb2ce3d3143290d4b505db138ff84354","2016-01-08 11:24:36+01:00","Automatically apply DNS workaround for Samsung devices (closes #424)
"
"12e4e985b2e90ba3a10cb2fd735d01c1459f877f","2016-01-10 18:13:11+01:00","Display toasts for connection status on Android TV
"
"a71df5fde27f29a32725e5f729f6ae429545cb0e","2016-01-10 18:47:30+01:00","Fine tune toasts
"
"4f71315dcd2d8899d2fc8ce32358f098b991e22e","2016-01-11 10:48:23+01:00","Remove breakpad, it currently does not compile and is not used in builds (closes #428)

Infrastructure for breakpad still but the breakpad itself at the moment does not even compile
"
"19410ba8f191c9850009ca491055d6a52a1034b5","2016-01-11 14:00:26+01:00","change breakpad default
"
"84112714f61796145148b32382a8b725d5349ba4","2016-01-13 23:05:09+01:00","Minor cleanups
"
"e5a67778838b7a8ff9a61e59e1add239ceed1caa","2016-01-14 00:35:10+01:00","Parse multiple ca certs in <ca> for android device key configurations (closes #426)
"
"8414c4f167feebda70397c5ebc8cc13728315731","2016-01-14 00:52:04+01:00","Set notification category
"
"0e6e77c476586f0f6ec37da0b0996631dfbe9cd0","2016-01-24 14:30:23+00:00","Implement persistent disk log cache.  (closes #340)
"
"81471934e7da4c24263adb641a9fe0afc68e62c8","2016-01-24 21:27:17+01:00","Upgrade gradle version
"
"2894377e1dbcabc267566fc2c962e80f66e51d2a","2016-01-25 10:47:25+01:00","Update copyright year to 2016
"
"95549472859660bb6bd4bd45fc0d00c86e970d22","2016-01-28 16:46:10+01:00","Change icon to something a bit more good looking
"
"1e4205e221c6b4ac08da16359aa1d79800bd05a3","2016-01-28 16:46:39+01:00","Make parsing of cached log more resilient
"
"b85d1b4e2427b9e8c0e85df7d0a0871e85b23306","2016-01-28 17:12:40+01:00","Update to OpenSSL 1.0.2f
"
"2fe0c6581fa271aa990ed1df051d27ff1460d2ed","2016-01-28 17:12:59+01:00","Update copyright in about dialog
"
"15b5c7316b118dfc1ae2f3f1085532f9582ecd1d","2016-02-04 11:53:14+01:00","Don't add colon postfix if not required.
"
"c4c1bbc23624b850469c289b07ae2c67a8473653","2016-02-04 11:54:09+01:00","Move hardcoded string to string resources.
"
"88aa92013f79e50909dc66b9405922bca4a0397c","2016-02-04 11:55:04+01:00","Don't launch disconnection activity in the main activity task.
"
"dde7ad84c04071e5acf6596967ed87ddcfc4f846","2016-02-04 11:55:41+01:00","Use own accent colors for alert dialogs.
"
"1ab0cb1e422b45c3a90de51b2d797c743fb957bf","2016-02-04 12:07:10+01:00","Refresh notification action icons.
"
"3ebdb6482f3bab9423436e6b208963d5d7c07656","2016-02-04 12:12:56+01:00","Don't show action text.

The descriptions get pretty long at times and hardly fit on screen even
for large phones.
"
"6b269d931319667d327c5a8f69bd1c2a877babe3","2016-02-05 13:20:38+01:00","Remove preference style override.

Doesn't serve a visually recognizable purpose, and causes the simple
(non-list, -dialog, etc.) preference titles to be overly large on API
21+ due to the framework using a fallback to the non-material preference
layout.
"
"4891622972d196770bb7aab5f5157ecf97713ce7","2016-02-05 13:22:56+01:00","Extract another hardcoded string.
"
"7b40f937756bc30e126a4e0c35440e3a7f14c4b8","2016-02-05 17:14:52+01:00","Update gradle version
"
"ceb91f512191fdbeb034e9b816bc269866bc2f9b","2016-02-08 15:32:54+01:00","Update translation (many thanks @maniac103 for fixing the german translation!)
"
"1c4857daad824ec25531a868be5fb963c431085c","2016-02-10 14:21:37+01:00","Update OpenVPN, increase version number
"
"c13357869c10a0fd97804f8963e770359cb00c10","2016-02-10 14:23:48+01:00","Revert the icon change for the release
"
