"commit id","commit date","commit message"
"a07ee0cc3db3e839e006c122b6a2d9553e9074fb","2013-02-01 13:11:14+01:00","so others may contribute
"
"7136a292344a3d2e96feeb2c05422fa3674d0d69","2013-02-01 13:48:28+01:00","fix bugs
"
"eb94f5fa77ff61546b3a91fed5dfb6d78104e2b4","2013-02-01 13:48:43+01:00","new build
"
"453d099b658171fa0abf9440bf7216054bc92b66","2013-02-01 13:49:22+01:00","fix link
"
"dbbabb3c9220f6b303bff742384786473bbe16d9","2013-02-01 13:51:44+01:00","fix bugs introduces by beautifier
"
"ea579dddd01c63c2238f0bf7fb5c6080e664630e","2013-02-01 13:51:59+01:00","remove now superfluous part
"
"ca6879e8b9fea43cfa6ad0dc6e81dcf7fcd75c08","2013-02-01 13:57:29+01:00","fix updatebar
"
"d3466f03daa3c75916ae585e84eb056da551c4e6","2013-02-01 14:25:19+01:00","give proper id
"
"e6ea40fbaab570cf64e09d97865c28e31c25f109","2013-02-01 14:25:33+01:00","more docs
"
"f9048e81e0f172215aa16b7d8f4ed57cd2607764","2013-02-01 14:26:11+01:00","come one markdown, you can make that newline
"
"5f71e4569c71aa5da889dbbc68537f93cd00cce6","2013-02-01 14:28:21+01:00","no it can’t
"
"8e08fba4d96892b46a62df87765f19677fa87eea","2013-02-01 15:36:26+01:00","remove loading message when zoomed out
"
"50d21ce03af1d4b774ed8d694e54407a640bdb9d","2013-02-01 15:36:42+01:00","display which portals are being requested
"
"e83a582f7ca446c4971cb5fcb917256e6f6c2f18","2013-02-01 15:37:07+01:00","fix map status sometimes being wrong
"
"25d6b4cdc5569fb1d35a72a0d2790e26dd638421","2013-02-01 22:27:43+01:00","preliminary chat support
"
"8cb99f475206738e14193ee9c22b659969b7a018","2013-02-01 22:32:45+01:00","fix font size in input boxes
"
"9a568d8ca09d0968772e06c959981759e6a6a435","2013-02-01 22:33:40+01:00","de-emphasize update status
"
"1369422ce356a14a60a5aa2fc5960e3717f2edbe","2013-02-01 22:54:58+01:00","don't show title on enlarged img
"
"0a2890f196334ea9127f5aec2af620b3eff0ad2a","2013-02-02 00:35:15+01:00","improve actual and perceived performance
"
"1c7a6ab70dc19eb377a00b913232eeb83654169f","2013-02-02 00:35:37+01:00","fix error when no error handling function was defined
"
"0e57e008d5e250f3f2efa46e4a5776ea28105b6d","2013-02-02 00:35:58+01:00","update build
"
"8e108e7caf7631e1fd73e325c63839b17fbcaeb1","2013-02-02 21:22:36+01:00","update chat styles
"
"4da97f48e3bd33c5f0d9913f5e5bbbc3089e8bc5","2013-02-02 21:29:56+01:00","fix
"
"b7f1270ff6d0811efbd3434a9bb45ad9e4a4a123","2013-02-03 13:19:56+01:00","make faction chat display almost work
"
