"commit id","commit date","commit message"
"44d078ae0537904c4ef8b3acf9180c80f16b2613","2013-08-14 12:26:46+02:00","Fix ISC license link.
"
"f3aa8850b10799cfbea472a8f335d38ab3b2d80f","2013-08-15 03:34:54-07:00","Merge pull request #487 from tyrope/patch-1

Fix ISC license link.
"
"7d8e583273823cace077f2a6d2c2592d044e65c8","2013-08-16 17:34:59+01:00","increase refresh delays after a move, and repeated refresh limit, to reduce unnecessary requests to the servers
"
"92433c5d4ba29060b4318b209712cf036132a344","2013-08-16 17:36:17+01:00","merge patch from #491, that updates things to getThinnedEntitiesV4
also a couple of plugins that were missed
"
"3f1b8ba47f1a138b514c36202eed26d424019e96","2013-08-16 17:41:25+01:00","increase refresh timeout considerably when zoomed out. this will reduce requests to the servers when lots of data is visible
also, with the new higher tile count when zoomed out (#491) it reduces the odds of a new refresh starting before the old ones have finished
"
"6b2ba1b57f1ee934cf3d6f5dda86e4cf4038ed36","2013-08-16 17:44:05+01:00","Merge branch 'master' of https://github.com/jonatkins/ingress-intel-total-conversion
"
"532d8aaa2639bc7bac1e53522ca5775cd1a163e1","2013-08-16 18:25:53+01:00","bump version number, as another IITC release is required...
"
"9f077dd6a2bfaad9159d2871b97edcbfd1a7ec6c","2013-08-16 18:37:22+01:00","show more portals plugin: don't boost zoom level when zoomed out - gets silly with the new getThinnedEntitiesV4 changes
"
"56af2b887d7899156040e534f2fa11e244401660","2013-08-16 18:50:40+01:00","bump android version number - required for f-droid build, and to reduce user confusion
"
"19bd25a17f1614ed58ae7ea89de27a4878e50eb1","2013-08-16 18:55:16+01:00","update website for new release
"
