"commit id","commit date","commit message"
"b509d0a46baa862573fcb5e2f2e1e353e9c166b5","2015-01-10 02:03:29+00:00","website: fix missing </ul>
"
"249f78859ce07a4f15081c6058ab2e948090c0d5","2015-01-10 02:03:55+00:00","bump version after new release
"
"bc37dc78cb74825c0ee35c66063387410cebe607","2015-01-10 17:04:56-08:00","Add [t] as an access key for Portals List.
"
"c551c41609a2d5ea37736adb272bacb6d52c083e","2015-01-13 12:33:24+01:00","launch some intents as new task
"
"86bec261dc68baf0300e59d2e54f57206a73ad25","2015-01-13 13:06:39+01:00","launch IITCm in singleTask mode, move let preferenceActivity handle plugin installation
"
"eaf65e005b48ec5204ec5d9ff3a8588ac828499d","2015-01-14 18:13:33+01:00","[bookmarks-by-zaso] variable not properly renamed

Fixes #928
"
"2fc7433bf307899aff7d399c6cd9975d4e2a533f","2015-01-14 19:41:24+01:00","[bookmarks-by-zaso] improved distance calculation
"
"1c9d0bf44e01dcabc527dd7d17d7815c36b05e91","2015-01-14 20:13:51+01:00","[bookmarks-by-zaso] allow bookmarking without waiting for portal details
"
"bfdedaa6421dd4e2d16283959d3e6449c85f797d","2015-01-15 00:33:33+01:00","Fix portal position-to-guid cache

(thanks @dustingraham)
"
"634c0fd0e0f380cb309d9938bce1671d34ddab8a","2015-01-16 16:02:50+00:00","fix comparing of PLAYER.team with team in portal data (#929)
also, fix portals-list plugin from defaulting to the wrong sort column when bookmnarks plugin is active, and changed default sort order to decending for several columns
"
"e4daeaa9cde123da3eca261d8839c6db2a8c9157","2015-01-16 20:23:20+01:00","remove unused variable
"
"6a0e021e3031fe5315966e90d89c7c3f81328c0b","2015-01-16 20:41:31+01:00","chat: guid is no longer available
"
"74f051fef3ac51ff628ab6d832e98135fb373749","2015-01-16 20:56:07+01:00","[player-tracker] portal selection doesn't work if portal is offscreen
"
"62f9dd2a21d1396547182122aa474bbfe067b8c9","2015-01-19 16:45:37+01:00","Update portal_detail_display_tools.js
"
"2d674e904a936dfb7f89bcb7f9f193844abf8d3a","2015-01-19 16:51:53+00:00","Merge remote-tracking branch 'origin/fkloft-patch-1'
"
"0bdaa2f5c3babf6df25250b4ce8dfc375399cb70","2015-01-19 21:13:57+01:00","include force amplifier, attack frequency and hit bonus in portal details
"
"e8d46c4300d6cef6bdf7f15dfb72d10c5acdc2f9","2015-01-19 22:34:01+01:00","Tweaks to new style
"
"7311b850596e8e4f50f0cfff07e73f18cd2f7b44","2015-01-19 22:34:27+01:00","selectPortalByLatLng: allow Array as single parameter
"
